Unidade da Federação	Ano	Ano	Ano	Ano	Ano	Ano	Ano	Ano	Ano
Unidade da Federação	2016	2017	2018	2019	2020	2021	2022	2023	2024
Rondônia	49.9	49.4	50.7	49.7	43.9	46.9	47.3	46.1	45.9
Acre	49.4	52.2	50.4	50.2	47.3	48.3	46.3	45.5	46.1
Amazonas	57.0	55.9	55.2	57.9	57.2	58.7	57.4	54.0	53.8
Roraima	41.8	45.6	44.6	50.7	45.3	48.6	44.1	45.6	47.8
Pará	61.0	61.8	61.0	63.6	59.2	58.6	62.7	56.5	58.1
Amapá	47.3	51.6	49.3	54.5	50.5	51.2	47.5	41.7	47.9
Tocantins	45.8	44.8	44.9	47.5	43.8	44.0	42.8	44.9	44.1
Maranhão	63.1	61.6	60.1	60.4	59.6	59.6	58.5	56.5	55.3
Piauí	60.5	61.1	56.7	60.5	57.5	58.6	54.8	54.4	56.6
Ceará	52.7	53.7	54.7	53.9	50.7	51.8	53.4	53.1	54.9
Rio Grande do Norte	46.7	49.0	48.6	47.5	42.0	45.3	40.0	44.7	42.7
Paraíba	51.1	51.9	53.8	54.4	47.6	51.0	50.5	49.8	50.6
Pernambuco	47.0	49.2	48.3	50.7	45.7	51.2	51.9	50.1	49.5
Alagoas	46.4	46.9	44.2	46.5	46.3	47.6	45.8	45.7	46.9
Sergipe	50.1	53.3	52.7	54.5	48.3	52.9	52.3	51.9	49.6
Bahia	54.9	54.6	55.2	54.7	48.6	54.3	54.5	53.7	51.4
Minas Gerais	38.5	39.4	40.2	39.8	37.0	38.1	37.7	37.4	36.4
Espírito Santo	37.8	40.3	42.9	41.6	38.7	39.9	38.2	39.0	38.6
Rio de Janeiro	33.3	36.4	36.0	37.5	34.4	37.2	37.2	37.1	38.3
São Paulo	28.1	30.8	32.4	31.3	28.7	30.2	30.3	31.5	31.1
Paraná	32.5	35.5	34.4	33.2	30.7	31.9	31.4	31.9	31.9
Santa Catarina	27.1	28.0	27.5	27.1	25.7	25.8	27.4	26.4	26.4
Rio Grande do Sul	33.5	33.9	34.3	33.6	30.2	31.2	31.1	31.9	31.9
Mato Grosso do Sul	35.8	36.2	35.8	39.2	35.0	36.2	33.6	34.5	32.7
Mato Grosso	37.8	38.8	39.9	39.0	37.8	39.1	36.0	34.5	32.9
Goiás	39.9	40.4	40.7	41.2	38.6	40.1	39.1	38.2	36.5
Distrito Federal	26.6	28.6	29.6	30.8	27.9	29.8	30.1	29.7	29.6
