Tabela 6735 - Domicílios e Moradores com banheiro, sanitário ou buraco para dejeções, por situação do domicílio e tipo de esgotamento sanitário (de 2016 até 2018)	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7
Variável - Domicílios com banheiro, sanitário ou buraco para dejeções (Mil unidades)							
Unidade da Federação	Tipo de esgotamento sanitário	Ano x Situação do domicílio					
		2016		2017		2018	
		Urbana	Rural	Urbana	Rural	Urbana	Rural
Rondônia	Total	399	132	417	127	426	123
	Rede geral, rede pluvial ou fossa ligada à rede	59	2	53	1	52	1
	Fossa não ligada à rede	338	128	361	122	372	118
	Outro tipo	2	3	3	5	3	4
Acre	Total	167	38	174	44	183	52
	Rede geral, rede pluvial ou fossa ligada à rede	72	2	79	1	90	0
	Fossa não ligada à rede	79	25	75	25	71	34
	Outro tipo	16	11	20	18	21	18
Amazonas	Total	819	122	878	142	898	137
	Rede geral, rede pluvial ou fossa ligada à rede	314	4	383	2	365	0
	Fossa não ligada à rede	431	54	418	85	463	85
	Outro tipo	74	65	77	55	71	51
Roraima	Total	115	20	122	20	128	23
	Rede geral, rede pluvial ou fossa ligada à rede	38	1	39	0	62	0
	Fossa não ligada à rede	77	17	82	16	65	21
	Outro tipo	1	2	1	3	1	2
Pará	Total	1568	597	1641	600	1702	612
	Rede geral, rede pluvial ou fossa ligada à rede	227	16	259	13	327	17
	Fossa não ligada à rede	1266	409	1296	454	1294	434
	Outro tipo	75	172	87	133	80	162
Amapá	Total	175	15	178	20	182	12
	Rede geral, rede pluvial ou fossa ligada à rede	18	-	22	0	26	0
	Fossa não ligada à rede	127	11	137	14	124	9
	Outro tipo	30	5	19	6	32	3
Tocantins	Total	379	65	386	78	400	83
	Rede geral, rede pluvial ou fossa ligada à rede	144	0	143	1	152	1
	Fossa não ligada à rede	234	62	239	69	246	69
	Outro tipo	1	3	3	9	2	13
Maranhão	Total	1245	492	1297	560	1295	567
	Rede geral, rede pluvial ou fossa ligada à rede	310	29	349	30	390	54
	Fossa não ligada à rede	888	350	892	366	829	352
	Outro tipo	47	113	56	165	76	161
Piauí	Total	642	238	662	239	650	249
	Rede geral, rede pluvial ou fossa ligada à rede	70	2	84	2	68	1
	Fossa não ligada à rede	569	223	576	225	579	234
	Outro tipo	2	14	2	12	4	13
Ceará	Total	2082	564	2142	602	2209	625
	Rede geral, rede pluvial ou fossa ligada à rede	1203	32	1208	30	1215	20
	Fossa não ligada à rede	850	500	903	535	957	564
	Outro tipo	29	32	31	36	38	41
Rio Grande do Norte	Total	807	220	815	217	821	221
	Rede geral, rede pluvial ou fossa ligada à rede	223	9	254	8	238	4
	Fossa não ligada à rede	578	206	556	203	575	210
	Outro tipo	5	6	5	5	8	7
Paraíba	Total	953	240	971	250	980	260
	Rede geral, rede pluvial ou fossa ligada à rede	627	19	612	6	617	16
	Fossa não ligada à rede	305	186	336	206	335	209
	Outro tipo	21	35	23	38	28	35
Pernambuco	Total	2456	468	2470	485	2514	490
	Rede geral, rede pluvial ou fossa ligada à rede	1682	44	1765	43	1643	36
	Fossa não ligada à rede	693	361	640	373	757	393
	Outro tipo	81	64	65	69	114	62
Alagoas	Total	735	218	761	230	789	237
	Rede geral, rede pluvial ou fossa ligada à rede	303	15	371	14	449	20
	Fossa não ligada à rede	396	189	368	192	313	195
	Outro tipo	36	14	22	24	27	21
Sergipe	Total	540	175	558	170	553	165
	Rede geral, rede pluvial ou fossa ligada à rede	377	24	374	17	359	23
	Fossa não ligada à rede	158	146	171	140	179	130
	Outro tipo	5	5	13	13	15	13
Bahia	Total	3483	1087	3516	1170	3480	1256
	Rede geral, rede pluvial ou fossa ligada à rede	2562	81	2507	124	2559	120
	Fossa não ligada à rede	831	921	927	932	831	1024
	Outro tipo	90	86	83	114	90	113
Minas Gerais	Total	5947	842	6049	847	6172	867
	Rede geral, rede pluvial ou fossa ligada à rede	5449	84	5652	86	5724	67
	Fossa não ligada à rede	384	579	318	591	357	627
	Outro tipo	113	179	80	169	91	172
Espírito Santo	Total	1123	188	1130	180	1165	184
	Rede geral, rede pluvial ou fossa ligada à rede	1024	14	1018	6	1051	9
	Fossa não ligada à rede	73	141	87	148	86	150
	Outro tipo	26	33	26	27	28	25
Rio de Janeiro	Total	5947	192	5985	187	6018	195
	Rede geral, rede pluvial ou fossa ligada à rede	5349	48	5343	45	5430	51
	Fossa não ligada à rede	456	127	511	116	427	118
	Outro tipo	142	17	131	27	161	26
São Paulo	Total	14291	628	14345	622	14736	617
	Rede geral, rede pluvial ou fossa ligada à rede	13851	190	13789	138	14100	102
	Fossa não ligada à rede	363	415	422	449	460	490
	Outro tipo	77	23	134	35	176	26
Paraná	Total	3315	458	3336	473	3380	499
	Rede geral, rede pluvial ou fossa ligada à rede	2558	61	2639	48	2629	58
	Fossa não ligada à rede	737	385	673	410	727	427
	Outro tipo	19	13	24	15	24	14
