Unidade da Federação	Grupo de idade	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo
Unidade da Federação	Grupo de idade	2016	2016	2017	2017	2018	2018	2019	2019	2022	2022	2023	2023	2024	2024
Unidade da Federação	Grupo de idade	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres
Rondônia	15 anos ou mais	35	40	40	44	37	40	36	41	33	36	38	36	33	43
Rondônia	18 anos ou mais	35	40	40	44	37	39	36	41	32	36	38	36	33	43
Rondônia	25 anos ou mais	34	38	38	43	36	39	35	40	32	35	37	35	31	42
Rondônia	40 anos ou mais	32	37	33	41	33	37	32	38	30	33	35	34	29	40
Rondônia	60 anos ou mais	18	22	22	26	19	26	19	24	19	25	22	24	21	31
Acre	15 anos ou mais	39	32	36	32	36	32	38	30	30	27	33	31	32	31
Acre	18 anos ou mais	38	32	36	32	36	32	37	30	30	26	33	31	32	31
Acre	25 anos ou mais	37	31	34	31	35	31	36	30	30	26	32	30	31	31
Acre	40 anos ou mais	29	24	27	26	28	26	30	25	25	23	28	28	27	27
Acre	60 anos ou mais	13	13	12	13	13	13	15	12	12	13	15	16	12	13
Amazonas	15 anos ou mais	92	83	79	80	81	74	80	67	79	69	79	76	77	77
Amazonas	18 anos ou mais	90	82	79	80	80	74	79	67	78	69	79	76	77	77
Amazonas	25 anos ou mais	86	80	75	77	77	73	75	66	75	68	75	75	76	75
Amazonas	40 anos ou mais	66	67	60	66	64	64	61	56	63	60	64	68	66	71
Amazonas	60 anos ou mais	28	33	26	34	33	35	30	33	35	35	31	46	38	45
Roraima	15 anos ou mais	11	10	10	10	11	10	10	7	9	8	11	8	11	6
Roraima	18 anos ou mais	11	10	10	10	11	10	10	7	9	8	11	8	11	6
Roraima	25 anos ou mais	10	9	10	9	10	10	10	7	9	8	11	8	10	6
Roraima	40 anos ou mais	9	8	8	9	9	9	9	7	8	7	9	7	10	6
Roraima	60 anos ou mais	4	5	5	6	5	5	5	4	5	5	5	5	5	4
Pará	15 anos ou mais	290	226	276	223	284	226	270	222	271	220	252	212	256	189
Pará	18 anos ou mais	286	225	274	222	282	224	267	220	269	220	251	210	254	186
Pará	25 anos ou mais	276	220	261	214	270	219	259	211	261	215	244	208	248	184
Pará	40 anos ou mais	223	201	210	190	224	201	205	186	223	192	209	187	217	172
Pará	60 anos ou mais	109	113	96	108	102	116	103	112	120	119	102	100	112	105
Amapá	15 anos ou mais	11	15	15	13	16	18	15	16	16	17	20	19	18	19
Amapá	18 anos ou mais	11	15	15	13	16	17	15	16	16	17	20	19	18	19
Amapá	25 anos ou mais	10	13	13	13	16	17	15	16	15	17	19	19	18	19
Amapá	40 anos ou mais	9	11	8	11	14	16	13	14	13	15	18	17	16	18
Amapá	60 anos ou mais	5	6	3	7	7	10	7	8	8	8	10	12	8	13
Tocantins	15 anos ou mais	59	47	58	48	59	47	55	50	51	40	50	46	48	36
Tocantins	18 anos ou mais	58	47	58	48	59	47	55	50	50	40	50	46	47	36
Tocantins	25 anos ou mais	57	47	57	48	57	46	53	50	50	38	50	46	46	36
Tocantins	40 anos ou mais	50	42	52	45	53	42	48	45	47	35	47	43	43	33
Tocantins	60 anos ou mais	29	29	30	30	33	28	31	31	29	27	28	31	28	25
Maranhão	15 anos ou mais	409	368	423	369	421	357	398	360	345	302	332	291	343	281
Maranhão	18 anos ou mais	407	366	419	367	417	357	395	360	344	302	331	290	340	280
