Tabela 7129 - Pessoas de 14 anos ou mais de idade, por cor ou raça e nível de instrução	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
Variável - Pessoas de 14 anos ou mais de idade (Mil pessoas)															
Unidade da Federação	Nível de instrução	Ano x Cor ou raça													
		2016		2017		2018		2019		2022		2023		2024	
		Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda
Rondônia	Sem instrução	26	71	23	62	23	58	19	50	24	64	28	68	27	65
	Ensino fundamental incompleto ou equivalente	133	331	132	356	130	348	124	350	124	309	132	313	104	310
	Ensino fundamental completo ou equivalente	38	108	34	93	35	94	30	83	36	86	37	82	32	96
	Ensino médio incompleto ou equivalente	30	81	28	93	33	90	33	103	35	101	37	116	33	96
	Ensino médio completo ou equivalente	88	206	94	215	89	239	92	255	107	294	110	292	110	328
	Ensino superior incompleto ou equivalente	17	38	18	43	21	47	30	55	21	43	18	48	22	45
	Superior completo	44	65	56	66	52	79	56	85	73	118	80	103	78	131
Acre	Sem instrução	9	50	7	49	6	48	6	49	7	48	7	60	8	47
	Ensino fundamental incompleto ou equivalente	26	160	29	160	32	160	24	163	26	155	24	148	25	149
	Ensino fundamental completo ou equivalente	9	54	12	53	9	50	10	51	11	44	8	53	9	51
	Ensino médio incompleto ou equivalente	10	48	9	47	8	45	9	45	10	52	9	51	12	55
	Ensino médio completo ou equivalente	25	110	27	119	29	118	29	131	32	149	32	161	36	159
	Ensino superior incompleto ou equivalente	6	26	7	26	8	28	8	24	9	28	8	26	9	25
	Superior completo	16	42	19	44	18	51	24	59	28	77	24	67	28	71
Amazonas	Sem instrução	23	163	19	125	18	136	9	106	19	118	19	118	16	119
	Ensino fundamental incompleto ou equivalente	93	683	99	706	99	716	94	707	89	633	92	618	82	573
	Ensino fundamental completo ou equivalente	39	235	33	203	31	203	35	202	35	196	34	194	34	195
	Ensino médio incompleto ou equivalente	35	208	36	222	38	230	30	244	41	237	40	236	37	230
	Ensino médio completo ou equivalente	135	665	133	734	139	765	142	779	198	881	179	935	220	1002
	Ensino superior incompleto ou equivalente	30	112	44	113	42	122	43	145	37	136	34	131	35	128
	Superior completo	78	170	105	177	95	220	116	226	111	280	109	297	119	322
