Unidade da Federação	Nível de instrução	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça
Unidade da Federação	Nível de instrução	2016	2016	2017	2017	2018	2018	2019	2019	2022	2022	2023	2023	2024	2024
Unidade da Federação	Nível de instrução	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda
Rondônia	Sem instrução	25	64	22	58	22	55	18	49	23	60	27	65	26	61
Rondônia	Ensino fundamental incompleto ou equivalente	113	263	114	283	109	283	106	288	111	267	117	270	95	271
Rondônia	Ensino fundamental completo ou equivalente	23	66	22	58	23	57	19	50	23	56	24	54	20	62
Rondônia	Ensino médio incompleto ou equivalente	11	30	13	42	16	41	14	46	14	45	22	59	16	37
Rondônia	Ensino médio completo ou equivalente	62	145	68	158	65	168	67	190	83	212	84	222	84	260
Rondônia	Ensino superior incompleto ou equivalente	9	22	9	25	9	25	14	31	11	25	10	27	12	26
Rondônia	Superior completo	41	61	52	61	48	75	53	74	70	112	77	99	71	125
Acre	Sem instrução	8	47	7	47	6	47	5	48	6	46	7	56	7	44
Acre	Ensino fundamental incompleto ou equivalente	19	121	22	119	24	121	19	121	19	115	16	109	20	116
Acre	Ensino fundamental completo ou equivalente	5	27	6	26	5	26	5	28	6	23	4	30	5	30
Acre	Ensino médio incompleto ou equivalente	2	15	3	16	3	16	3	16	3	22	3	20	4	20
Acre	Ensino médio completo ou equivalente	17	74	18	79	20	78	20	89	23	107	21	119	27	115
Acre	Ensino superior incompleto ou equivalente	4	14	3	13	5	14	4	12	4	15	5	15	4	14
Acre	Superior completo	15	39	18	41	17	48	21	54	26	73	22	63	27	68
Amazonas	Sem instrução	21	148	18	120	17	129	8	101	18	109	18	113	15	113
Amazonas	Ensino fundamental incompleto ou equivalente	64	487	70	516	78	523	68	527	70	473	62	475	61	446
Amazonas	Ensino fundamental completo ou equivalente	21	126	19	114	18	108	18	106	21	128	16	117	19	119
Amazonas	Ensino médio incompleto ou equivalente	10	67	10	74	9	85	6	87	14	89	14	89	11	77
Amazonas	Ensino médio completo ou equivalente	100	495	101	543	109	577	110	578	149	655	137	680	156	752
Amazonas	Ensino superior incompleto ou equivalente	16	63	24	70	23	74	28	81	22	91	20	86	17	76
Amazonas	Superior completo	74	165	100	170	92	207	110	215	103	268	105	287	116	310
Roraima	Sem instrução	3	17	3	15	2	15	3	14	3	15	4	14	4	12
Roraima	Ensino fundamental incompleto ou equivalente	10	48	11	46	11	52	9	47	9	51	11	49	10	52
Roraima	Ensino fundamental completo ou equivalente	3	11	3	11	3	12	2	11	3	17	3	17	5	14
Roraima	Ensino médio incompleto ou equivalente	2	8	3	12	3	10	3	12	3	13	3	17	4	16
Roraima	Ensino médio completo ou equivalente	15	55	18	61	16	61	17	71	20	98	25	92	25	90
Roraima	Ensino superior incompleto ou equivalente	4	8	4	10	5	11	4	13	4	13	4	12	6	17
Roraima	Superior completo	16	27	16	28	17	35	21	34	18	43	23	41	21	46
Pará	Sem instrução	44	326	45	305	40	297	34	269	51	314	41	286	51	269
Pará	Ensino fundamental incompleto ou equivalente	247	1528	248	1508	231	1523	248	1506	266	1468	264	1436	246	1362
Pará	Ensino fundamental completo ou equivalente	55	285	53	294	62	289	53	294	62	284	63	308	65	331
Pará	Ensino médio incompleto ou equivalente	46	217	59	233	38	241	38	238	49	271	48	256	55	267
Pará	Ensino médio completo ou equivalente	194	921	210	953	203	1005	233	1060	267	1119	275	1249	304	1280
Pará	Ensino superior incompleto ou equivalente	28	88	24	114	33	119	31	115	42	123	37	141	50	189
Pará	Superior completo	109	278	115	289	148	341	165	348	178	463	200	492	228	525
Amapá	Sem instrução	3	22	5	19	3	29	6	28	4	31	5	37	4	37
Amapá	Ensino fundamental incompleto ou equivalente	16	90	14	93	17	98	13	93	14	88	10	86	15	90
Amapá	Ensino fundamental completo ou equivalente	4	22	5	25	5	21	4	25	3	26	3	22	5	27
Amapá	Ensino médio incompleto ou equivalente	3	16	3	22	3	18	4	22	3	20	3	21	3	19
Amapá	Ensino médio completo ou equivalente	25	101	20	100	19	112	25	120	24	135	25	151	30	145
Amapá	Ensino superior incompleto ou equivalente	6	12	5	21	4	14	6	17	8	19	5	18	5	20
Amapá	Superior completo	19	47	17	53	20	54	19	56	30	73	28	90	31	87
Tocantins	Sem instrução	19	89	19	90	19	88	13	75	12	73	14	79	11	61
Tocantins	Ensino fundamental incompleto ou equivalente	52	215	54	235	50	236	50	256	51	217	38	220	50	240
Tocantins	Ensino fundamental completo ou equivalente	14	47	10	41	9	44	8	48	9	39	10	47	10	47
Tocantins	Ensino médio incompleto ou equivalente	8	30	6	34	8	31	6	40	9	39	12	38	8	40
Tocantins	Ensino médio completo ou equivalente	52	167	52	171	49	186	49	199	55	215	50	220	58	223
Tocantins	Ensino superior incompleto ou equivalente	5	23	8	26	11	21	9	22	9	31	11	25	12	35
Tocantins	Superior completo	35	66	41	81	47	87	49	89	62	123	58	129	67	129
Maranhão	Sem instrução	99	524	91	534	87	505	84	513	73	443	74	444	70	436
Maranhão	Ensino fundamental incompleto ou equivalente	226	1128	210	1128	200	1126	208	1084	194	1062	179	1077	184	1093
Maranhão	Ensino fundamental completo ou equivalente	57	241	48	239	52	234	51	236	53	259	45	263	47	284
Maranhão	Ensino médio incompleto ou equivalente	29	127	25	156	33	162	37	160	30	184	25	186	28	184
Maranhão	Ensino médio completo ou equivalente	189	660	182	748	184	751	207	792	212	939	222	977	228	1026
Maranhão	Ensino superior incompleto ou equivalente	20	59	19	61	30	74	24	75	26	81	27	88	25	86
Maranhão	Superior completo	74	176	85	188	93	225	99	248	136	324	160	336	163	367
Piauí	Sem instrução	46	220	47	198	43	191	36	185	52	224	50	209	35	164
