Tabela 7139 - Taxa de escolarização, por cor ou raça e grupo de idade	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
Variável - Taxa de escolarização (%)															
Unidade da Federação	Grupo de idade	Ano x Cor ou raça													
		2016		2017		2018		2019		2022		2023		2024	
		Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda
Rondônia	0 a 5 anos	39.8	41.8	34.5	47.2	36.5	36.7	37.7	41	29.4	40.8	37.6	42.3	41.8	43.2
	0 a 3 anos	14.3	17.4	18.8	20.4	16	17.1	18.3	13	12.3	17.4	17.1	17	22.1	20.9
	4 a 5 anos	88.1	79.6	83.7	87.2	92.9	86.6	81.1	85.7	87.3	85	83.3	85.8	86.9	83.6
	6 a 14 anos	99.4	99.3	100	99.4	98.4	99	99.1	99.4	99	98.5	99.1	99.8	98.4	99.4
	15 a 17 anos	89.5	84.5	87.4	85.5	90	85.2	89.6	87.6	93.8	96.1	93.5	93.3	91.4	94.3
	18 a 24 anos	30.5	30	31.2	30.1	33.5	27.8	34.5	28.8	38.9	28.4	39.4	29.3	36.4	27.9
	25 anos ou mais	6.7	6.6	4.6	5.3	4.7	4.9	6.4	6.2	5.2	6	6.3	5.3	4.5	4.1
Acre	0 a 5 anos	40	34	36.4	39.5	36.4	41	47.8	41.1	38.8	38.4	37.9	38.4	43.5	38.9
	0 a 3 anos	19.3	13.8	19.6	17.4	19.2	20.1	27	22.5	16.9	18.2	20.8	15.2	23.2	14.9
	4 a 5 anos	82.3	75.9	79.2	79.1	81.9	77.5	88.4	74.7	75.4	75	79.1	77.8	81.9	79.6
	6 a 14 anos	98.3	98.1	96.6	97.7	98.2	98.2	98.3	97.7	97.8	98.3	98.1	98	99.7	98.1
	15 a 17 anos	88.9	85.8	84.3	83.7	90.2	80.8	91.3	83.6	90	88.9	92.7	89.9	94.5	90.4
	18 a 24 anos	43.3	37.3	41.4	32.7	28.4	32.4	39.8	31.2	37.4	33.7	37	31.7	41.6	31.8
	25 anos ou mais	10.2	10.5	10.4	7.9	10.1	8.7	7.3	7.3	7.8	5.6	6.1	4.9	5.3	5.1
Amazonas	0 a 5 anos	36.2	34.1	32.2	33.1	38.6	37.3	40.2	37.6	37.5	37.3	37	41.3	36.6	39.4
	0 a 3 anos	15	11.1	13.8	9.1	14.6	12.3	14.5	12.8	19.6	14.6	19	17.9	17.2	16.6
	4 a 5 anos	87.2	79.2	74.3	77.9	92.5	83.9	92	83.4	81	77.4	84.8	84.7	80.8	85
	6 a 14 anos	99.2	97.5	97.8	98.4	99.2	98.7	97.5	98.7	98.5	98	98.3	99.2	98.3	99.3
	15 a 17 anos	89.8	86.5	89.5	88.2	92.3	88.2	91.8	89.1	95.9	90.9	93.1	88.3	90.9	93.3
	18 a 24 anos	38	36.5	40.7	31.4	39.4	33.9	38.7	32.1	31.2	28.6	40.3	28.8	36.5	29
	25 anos ou mais	8.5	7.2	8.3	6.6	8.3	6	6.3	6	8.3	6.6	7.6	5.6	6.5	6.6
Roraima	0 a 5 anos	42.3	37.2	41.7	43	49	40.9	40.2	36.7	35.8	41.1	34.3	41.2	52.4	46.1
	0 a 3 anos	17.6	16.2	26.7	18.5	26.1	17.5	15.4	8.9	17.1	22	18.9	20	31	24.8
	4 a 5 anos	99	88.2	92	91	96.7	88.2	89.7	84.1	77.5	81.5	65.5	81.2	93.6	84.6
	6 a 14 anos	99.9	99.5	99.5	99.5	97.6	98.3	99	96.9	97.9	94.9	96.9	96.2	97.3	96.9
	15 a 17 anos	92	89.2	92	90.7	88	87.5	86.8	88.3	94.5	88.9	94.1	88.1	89.1	92
	18 a 24 anos	33.3	28.1	41	32.8	47	28.8	39.1	30.5	27.4	25.8	29.5	29.8	34.9	31.8
	25 anos ou mais	9.2	8.3	8	8.2	8.1	6.4	8.7	6.8	6.2	5.6	5	5.4	8	6.6
Pará	0 a 5 anos	40.3	36.9	38.8	43.1	41.3	42	38.9	43.7	38.7	42.6	43.4	45.6	48.8	48.7
	0 a 3 anos	15.1	13.6	14.3	20.4	16.8	18.5	16.4	19.4	21.8	19.7	20.6	23.4	27.5	24.9
	4 a 5 anos	94.2	84.3	95.4	87.9	92	87	91.7	87.2	86.8	86.6	91	90.1	88.1	92.9
	6 a 14 anos	99.5	99.3	99.1	99.2	98.9	99	98.7	98.6	99.2	99.1	99.9	99.1	99	99
	15 a 17 anos	93.8	87.3	83.1	85.5	88.2	87.6	91.9	87.4	92.8	90.9	89.8	88.2	89.8	92
	18 a 24 anos	39.1	30.4	37.6	29.8	36.2	32.7	35.2	30.2	37.6	31.8	39.8	31.2	42	32.5
	25 anos ou mais	6.7	5	5.4	5.5	8.2	5.1	6.1	5.1	6.4	5.1	6.3	5.3	7.2	6.7
Amapá	0 a 5 anos	37	32.9	26.6	30	28.9	28.1	30.3	39	23.4	30.2	34.2	26.6	33.3	28.9
	0 a 3 anos	15.3	9.8	8.5	5.4	10.1	9.9	13.3	11.3	5.2	10.6	14.4	6.3	10.2	8.6
	4 a 5 anos	83.1	70.1	70.9	72.2	71.5	61.8	67.6	75.8	58.7	67.6	81	61.9	76.1	65.9
	6 a 14 anos	97	98.2	96.8	98.1	99.8	99.3	99.4	99.1	98.2	98.9	99.2	98.7	98.4	98.7
	15 a 17 anos	90.9	89	90.9	85.6	66.1	90.3	100	85.2	96.5	89.4	78.6	86.8	100	90.2
	18 a 24 anos	32.3	36.8	51.4	37.3	54.3	41.2	51.6	38.2	42.8	29.3	38.7	32.7	34.3	32.5
	25 anos ou mais	9.4	6	11.2	7.8	7.7	6.5	6.5	5.2	8.1	4.9	6.8	4.5	4.8	4.6
Tocantins	0 a 5 anos	48.7	48	45.3	51.8	50.9	54.6	51.3	50.3	45.6	52.9	49.1	53.1	49.9	58.1
	0 a 3 anos	24.4	22.9	26.9	28.4	32.7	29.7	31	26.7	23.5	35.1	27.9	33.8	27.6	35.6
	4 a 5 anos	94.8	90.1	87.3	91.6	91.6	94	94.1	92.3	99	88	100	95.3	100	96
	6 a 14 anos	100	99.3	100	99.9	99.1	99.5	99.1	99.1	99.6	99.5	99.4	99.3	100	99.6
	15 a 17 anos	83.6	84.3	89.8	87	91.1	92	97.1	89.6	97.7	94.8	98	86.8	98.7	91
	18 a 24 anos	41.3	27.1	34.8	33.2	43.9	28.9	34.3	30.3	46.7	33.3	39.6	28	43.5	31.7
	25 anos ou mais	4.7	5.1	5.2	5	7.7	4.5	5.5	3.4	6.1	5.8	5.9	4.8	7.1	5.5
Maranhão	0 a 5 anos	48.1	51.8	49.1	51.9	50.8	54	50.8	52.9	49.5	56.4	53.2	60.2	52.7	60.7
	0 a 3 anos	27.2	27.1	27	28.1	27.3	30.6	28.4	30.8	33.3	33.8	29.7	37.2	32.3	39.9
	4 a 5 anos	94.8	97.4	98.3	95.8	99	96.8	97.1	96.4	95.2	96.7	97.5	95.5	94	94.4
	6 a 14 anos	99.2	99.3	99.3	99.3	98.9	98.9	99.1	99.1	99.4	99.4	99.1	99.3	99	99.7
	15 a 17 anos	86.4	86.6	82.8	84.4	82.9	86	90.3	85.1	90.4	89.6	90.4	91.4	92.6	91
	18 a 24 anos	32	24.8	27.1	25.6	30.9	27.3	31.5	25.9	31.6	21.7	35.3	25	35	26
	25 anos ou mais	4.6	4	4.7	4.1	6.5	4.4	6	4.6	5.8	3.7	3.9	4.3	4.6	4
Piauí	0 a 5 anos	47.7	50.4	48.5	50.4	47	50.9	54.8	54	61.3	52.4	58.5	62.4	52.2	60.7
	0 a 3 anos	22.6	21.6	24.9	26.6	23.6	26.7	24.9	30.6	42.7	28.1	38.1	36.5	30.5	37.9
	4 a 5 anos	98.8	98.2	98.9	97.3	95.6	97.3	99.1	97.6	91.6	97.3	98.7	98.8	96	99.7
	6 a 14 anos	99.4	98.7	99.7	99.5	98.5	99.5	99.3	99.6	99.8	99.7	99.7	99.3	100	99.7
	15 a 17 anos	92.2	87.2	91.5	90.6	83.8	92	94.3	89.7	93.3	89.8	91.3	90.4	98.8	90.6
	18 a 24 anos	39.7	34.1	38.8	34.3	40.6	35.1	45.7	34.6	34.4	34	39.2	30.3	43	31
	25 anos ou mais	5.2	4.7	5.1	5.1	5.7	5.3	6	5.1	6.4	7.2	5.1	4.4	5.6	4
Ceará	0 a 5 anos	53	56.7	51.5	57.7	53.4	56.9	48.3	54.4	53.3	58.4	60.7	59	54.1	63.4
	0 a 3 anos	32.2	34.5	29.5	34.8	34.9	35	29.3	33.4	34.3	37	41.4	38.1	27.5	43.7
	4 a 5 anos	98	96.2	99.2	97.2	97.3	97.5	98.7	96.3	95.6	96.6	96.5	95.1	95.9	95.7
	6 a 14 anos	99.1	98.5	99	98.7	99.5	99.5	98.9	99.3	98.9	99	100	99.5	99.4	99.5
	15 a 17 anos	85.8	81.2	87.9	85	88.4	87.1	89.6	87.7	88.8	93.3	90.4	90.6	94.7	93.3
	18 a 24 anos	32.1	22.8	31.1	24	32.8	24.4	34.6	27.4	33.9	23.6	35.4	24.6	34.5	25.3
	25 anos ou mais	5	4	5.9	3.9	6.3	4.6	6.1	4.1	5.3	4.5	5	4.2	5	4.1
Rio Grande do Norte	0 a 5 anos	56	52.3	58.7	56.7	56.8	53	57.7	59.4	50.4	58.1	58.7	59	60.9	58.2
	0 a 3 anos	33.8	27	36.7	32.5	37.6	33	33.4	38.1	34.8	37.9	41.7	40.3	40.9	36.3
	4 a 5 anos	95.3	96.4	96	95.8	97.9	94.7	98.6	96.8	89.3	91.7	98.2	92.9	94.9	97.7
	6 a 14 anos	99.4	98.3	99	99.2	99	99.3	99.2	99.3	99.2	99.7	99.5	98.9	99.4	99.5
	15 a 17 anos	83.1	90	88.2	86.5	88.9	87.7	94.5	92.9	93.6	94.6	95.4	91.5	91.6	97
	18 a 24 anos	33.1	29.5	34.6	30.8	39.8	30	44	33	44.9	32.3	40.9	27.2	42.6	27.9
	25 anos ou mais	5	4.1	6.1	3.8	4.6	5.3	6.7	5.1	5.8	3.9	6.4	3.7	5.5	5.2
Paraíba	0 a 5 anos	46.7	51.5	54.2	50.6	54.3	48.3	52.6	52.1	43.9	52	51.6	57.8	52.6	53.8
	0 a 3 anos	24.1	29	33.7	27.8	33.9	25.1	35.5	31	24.4	30.7	31	37	33	36.8
