Tabela 7221 - Pessoas de 15 a 29 anos com o ensino médio completo ou superior incompleto que não frequentam escola, curso técnico, normal (magistério), pré-vestibular ou curso de qualificação profissional, por sexo e principal motivo de atualmente não frequentar	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
Variável - Pessoas de 15 a 29 anos com o ensino médio completo ou superior incompleto que não frequentam escola, curso técnico, normal (magistério), pré-vestibular ou curso de qualificação profissional (Mil pessoas)									
Grande Região	Principal motivo de atualmente não frequentar escola ou outro curso	Ano x Sexo							
		2019		2022		2023		2024	
		Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres
Norte	Precisa trabalhar	320	172	379	212	430	237	451	256
	Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado	43	51	50	59	50	52	31	38
	Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)	110	157	92	100	77	85	51	77
	Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais	5	138	6	135	6	172	5	156
	Estudando para concurso ou estudando por conta própria para vestibular/ENEM	29	29	21	27	28	26	20	21
	Por já ter concluído o nível de estudo que desejava	58	60	101	85	104	108	116	115
	Não tem interesse	70	48	89	71	71	64	84	64
	Outro motivo	16	34	27	43	19	27	17	25
Nordeste	Precisa trabalhar	981	663	1026	667	1130	722	1108	732
	Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado	98	143	104	141	74	108	74	110
	Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)	264	423	221	346	190	256	146	217
	Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais	10	336	5	356	7	363	8	395
	Estudando para concurso ou estudando por conta própria para vestibular/ENEM	77	99	80	90	79	81	72	68
	Por já ter concluído o nível de estudo que desejava	203	240	322	289	384	362	363	376
	Não tem interesse	199	163	263	236	256	202	243	202
	Outro motivo	42	74	71	107	73	102	64	85
Sudeste	Precisa trabalhar	1839	1378	1858	1364	1947	1350	1868	1347
	Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado	64	80	57	70	41	58	58	42
	Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)	557	689	403	491	313	355	287	313
	Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais	9	411	12	352	9	356	17	347
	Estudando para concurso ou estudando por conta própria para vestibular/ENEM	78	78	75	65	53	65	68	62
	Por já ter concluído o nível de estudo que desejava	414	382	472	451	568	530	438	410
	Não tem interesse	432	283	479	326	492	308	487	362
	Outro motivo	93	137	139	170	122	151	123	163
Sul	Precisa trabalhar	577	405	576	400	619	421	621	441
	Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado	22	23	28	19	19	27	14	22
	Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)	88	141	75	95	61	80	63	74
	Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais	4	124	4	108	4	109	5	106
	Estudando para concurso ou estudando por conta própria para vestibular/ENEM	18	25	16	15	14	17	21	14
	Por já ter concluído o nível de estudo que desejava	97	85	139	113	143	122	149	117
	Não tem interesse	137	91	136	111	141	102	144	107
	Outro motivo	36	44	39	44	39	42	45	48
Centro-Oeste	Precisa trabalhar	288	203	348	218	365	236	399	289
	Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado	16	24	19	17	13	20	16	21
	Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)	87	113	66	90	53	75	37	46
	Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais	0	67	3	82	2	69	4	89
	Estudando para concurso ou estudando por conta própria para vestibular/ENEM	16	17	17	16	11	19	11	13
	Por já ter concluído o nível de estudo que desejava	38	24	57	47	62	57	61	56
	Não tem interesse	74	45	94	59	94	61	106	69
	Outro motivo	22	27	22	38	21	32	22	36
Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 2º trimestre									
