Tabela 7307 - Domicílios e Moradores, por situação do domicílio e existência de utilização da internet no domicílio	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17
Variável - Domicílios (Mil unidades)																	
Unidade da Federação	Existência de utilização da Internet no domicílio	Ano x Situação do domicílio															
		2016		2017		2018		2019		2021		2022		2023		2024	
		Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural
Rondônia	Havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Não havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Acre	Havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Não havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Amazonas	Havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Não havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Roraima	Havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Não havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Pará	Havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Não havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Amapá	Havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Não havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Tocantins	Havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Não havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Maranhão	Havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Não havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Piauí	Havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Não havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ceará	Havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Não havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Rio Grande do Norte	Havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Não havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Paraíba	Havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Não havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Pernambuco	Havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Não havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Alagoas	Havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Não havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Sergipe	Havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Não havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Bahia	Havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Não havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Minas Gerais	Havia utilização de internet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
