Unidade da Federação	Existência de deficiência	2022	2022	2022	2022
Unidade da Federação	Existência de deficiência	Sem instrução e fundamental incompleto	Fundamental completo e médio incompleto	Médio completo e superior incompleto	Superior completo
Rondônia	Pessoa com deficiência	92	15	19	10
Rondônia	Pessoa sem deficiência	361	132	322	180
Acre	Pessoa com deficiência	38	4	10	5
Acre	Pessoa sem deficiência	154	52	141	91
Amazonas	Pessoa com deficiência	126	20	51	18
Amazonas	Pessoa sem deficiência	571	231	897	372
Roraima	Pessoa com deficiência	16	4	7	3
Roraima	Pessoa sem deficiência	70	34	135	59
Pará	Pessoa com deficiência	471	69	117	30
Pará	Pessoa sem deficiência	1637	587	1441	675
Amapá	Pessoa com deficiência	33	5	12	4
Amapá	Pessoa sem deficiência	113	50	174	103
Tocantins	Pessoa com deficiência	92	11	17	9
Tocantins	Pessoa sem deficiência	276	89	293	180
Maranhão	Pessoa com deficiência	398	43	78	29
Maranhão	Pessoa sem deficiência	1421	482	1196	451
Piauí	Pessoa com deficiência	226	25	34	16
Piauí	Pessoa sem deficiência	729	194	507	327
Ceará	Pessoa com deficiência	588	95	139	35
Ceará	Pessoa sem deficiência	1895	686	1771	707
Rio Grande do Norte	Pessoa com deficiência	197	33	51	20
Rio Grande do Norte	Pessoa sem deficiência	748	272	676	321
Paraíba	Pessoa com deficiência	224	26	45	19
Paraíba	Pessoa sem deficiência	988	248	655	314
Pernambuco	Pessoa com deficiência	572	77	149	35
Pernambuco	Pessoa sem deficiência	2010	614	1877	800
Alagoas	Pessoa com deficiência	216	21	38	15
Alagoas	Pessoa sem deficiência	745	217	522	242
Sergipe	Pessoa com deficiência	166	19	37	12
Sergipe	Pessoa sem deficiência	481	142	392	177
Bahia	Pessoa com deficiência	899	112	242	77
Bahia	Pessoa sem deficiência	3265	947	3017	1074
Minas Gerais	Pessoa com deficiência	1123	158	280	93
Minas Gerais	Pessoa sem deficiência	4290	1604	4301	2389
Espírito Santo	Pessoa com deficiência	195	35	53	19
Espírito Santo	Pessoa sem deficiência	740	307	856	512
Rio de Janeiro	Pessoa com deficiência	622	185	308	130
Rio de Janeiro	Pessoa sem deficiência	2225	1417	4447	2816
São Paulo	Pessoa com deficiência	1745	411	698	310
São Paulo	Pessoa sem deficiência	6123	3496	11446	7547
Paraná	Pessoa com deficiência	604	94	152	53
Paraná	Pessoa sem deficiência	1997	952	2240	1505
Santa Catarina	Pessoa com deficiência	262	62	85	29
Santa Catarina	Pessoa sem deficiência	1217	690	1530	992
Rio Grande do Sul	Pessoa com deficiência	639	141	164	64
Rio Grande do Sul	Pessoa sem deficiência	2008	1021	2385	1491
Mato Grosso do Sul	Pessoa com deficiência	130	18	37	18
Mato Grosso do Sul	Pessoa sem deficiência	453	210	523	354
Mato Grosso	Pessoa com deficiência	168	36	53	24
Mato Grosso	Pessoa sem deficiência	566	277	656	368
Goiás	Pessoa com deficiência	344	61	92	39
Goiás	Pessoa sem deficiência	1234	577	1506	827
Distrito Federal	Pessoa com deficiência	92	23	51	31
Distrito Federal	Pessoa sem deficiência	273	157	608	735
