Tabela 9499 - Pessoas de 5 a 17 anos de idade em situação de trabalho infantil, por grupo de idade e tipos de atividades realizadas - Estatísticas experimentais	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29	Unnamed: 30	Unnamed: 31	Unnamed: 32	Unnamed: 33	Unnamed: 34	Unnamed: 35	Unnamed: 36
Variável - Pessoas de 5 a 17 anos de idade em situação de trabalho infantil (Mil pessoas)																																				
	Tipos de atividades realizadas	Ano x Grupo de idade																																		
		2016					2017					2018					2019					2022					2023					2024				
		5 a 13 anos	5 a 9 anos	10 a 13 anos	14 ou 15 anos	16 ou 17 anos	5 a 13 anos	5 a 9 anos	10 a 13 anos	14 ou 15 anos	16 ou 17 anos	5 a 13 anos	5 a 9 anos	10 a 13 anos	14 ou 15 anos	16 ou 17 anos	5 a 13 anos	5 a 9 anos	10 a 13 anos	14 ou 15 anos	16 ou 17 anos	5 a 13 anos	5 a 9 anos	10 a 13 anos	14 ou 15 anos	16 ou 17 anos	5 a 13 anos	5 a 9 anos	10 a 13 anos	14 ou 15 anos	16 ou 17 anos	5 a 13 anos	5 a 9 anos	10 a 13 anos	14 ou 15 anos	16 ou 17 anos
Brasil	Realizam atividade econômica	191	32	159	398	958	173	30	142	317	872	157	23	134	356	873	162	29	133	320	823	228	49	179	331	868	128	18	110	258	805	110	21	89	270	815
	Realizam apenas atividade econômica	160	25	135	347	883	153	29	124	279	804	145	23	122	320	807	147	26	121	286	764	201	46	156	297	809	116	17	99	234	761	96	19	77	241	776
	Realizam atividade econômica e produção para o próprio consumo	31	8	24	51	75	20	2	18	38	68	12	0	12	36	66	15	3	12	34	59	26	3	23	34	58	13	1	11	24	44	15	2	12	29	39
	Realizam produção para o próprio consumo	295	85	210	193	222	307	92	215	174	225	278	78	201	162	198	237	69	168	154	182	248	86	162	152	188	231	83	148	134	141	276	103	173	122	139
	Realizam apenas produção para o próprio consumo	264	78	186	142	147	287	90	197	136	158	266	77	189	126	132	222	67	156	120	124	222	83	139	118	130	218	81	137	110	97	261	101	161	93	100
Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 5ª visita.																																				
