Tabela 9552 - Domicílios e moradores, por situação do domicílio e situação de segurança alimentar existente no domicílio	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5
Variável - Domicílios (Mil unidades)					
Unidade da Federação	Situação de segurança alimentar existente no domicílio	Ano x Situação do domicílio			
		2023		2024	
		Urbana	Rural	Urbana	Rural
Rondônia	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Acre	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Amazonas	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Roraima	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Pará	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Amapá	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Tocantins	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Maranhão	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Piauí	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Ceará	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Rio Grande do Norte	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Paraíba	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Pernambuco	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Alagoas	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Sergipe	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Bahia	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Minas Gerais	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Espírito Santo	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Rio de Janeiro	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
São Paulo	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Paraná	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Santa Catarina	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Rio Grande do Sul	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Mato Grosso do Sul	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Mato Grosso	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Goiás	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Distrito Federal	Com segurança alimentar	-	-	-	-
	Com insegurança alimentar	-	-	-	-
	Com insegurança alimentar leve	-	-	-	-
	Com insegurança alimentar moderada	-	-	-	-
	Com insegurança alimentar grave	-	-	-	-
Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 4º trimestre.					
