Unidade da Federação	Principal fonte de abastecimento de água	2016	2016	2017	2017	2018	2018	2019	2019	2022	2022	2023	2023	2024	2024
Unidade da Federação	Principal fonte de abastecimento de água	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural
Rondônia	Total	401	135	418	128	426	124	426	131	461	131	521	127	527	118
Rondônia	Rede geral de distribuição	226	5	249	4	238	2	256	1	284	2	334	4	301	4
Rondônia	Poço profundo ou artesiano	97	39	96	29	102	29	73	29	101	41	108	44	96	36
Rondônia	Poço raso, freático ou cacimba	76	70	71	74	84	72	97	87	74	73	77	61	128	60
Rondônia	Fonte ou nascente	0	20	0	19	1	18	0	14	1	14	1	16	1	18
Rondônia	Outra	1	0	1	2	2	2	0	0	0	1	0	2	0	0
Acre	Total	175	51	176	59	185	65	186	66	211	54	211	58	225	56
Acre	Rede geral de distribuição	119	2	122	3	135	1	136	2	154	2	151	4	169	2
Acre	Poço profundo ou artesiano	29	9	23	4	25	15	28	12	36	9	37	9	35	8
Acre	Poço raso, freático ou cacimba	25	19	29	28	24	23	20	27	18	26	22	20	21	29
Acre	Fonte ou nascente	1	12	0	16	-	14	1	16	1	12	0	19	0	12
Acre	Outra	1	9	1	8	0	11	1	8	1	6	1	5	1	6
Amazonas	Total	837	156	880	159	903	151	895	160	976	160	1032	155	1077	165
Amazonas	Rede geral de distribuição	703	32	773	14	764	11	765	13	814	19	889	19	942	20
Amazonas	Poço profundo ou artesiano	120	36	98	39	120	40	114	37	140	31	127	39	118	41
Amazonas	Poço raso, freático ou cacimba	11	11	8	39	16	26	11	13	18	13	8	16	13	17
Amazonas	Fonte ou nascente	1	32	-	30	-	42	1	47	1	33	1	38	0	36
Amazonas	Outra	2	45	0	37	3	33	3	51	3	63	8	42	3	51
Roraima	Total	116	21	122	21	128	24	125	25	147	25	153	25	167	25
Roraima	Rede geral de distribuição	114	6	118	8	126	5	122	8	144	6	148	4	162	5
Roraima	Poço profundo ou artesiano	1	7	1	6	1	4	0	5	2	8	3	9	3	8
Roraima	Poço raso, freático ou cacimba	1	7	2	6	1	14	2	11	0	11	1	11	2	12
Roraima	Fonte ou nascente	-	0	0	0	-	0	-	1	-	0	0	1	-	1
Roraima	Outra	-	0	0	0	0	1	0	0	0	0	0	1	0	0
Pará	Total	1600	645	1655	624	1711	639	1753	672	1907	627	1996	638	2077	642
Pará	Rede geral de distribuição	960	189	947	168	980	190	1003	197	1111	181	1146	156	1224	192
Pará	Poço profundo ou artesiano	406	152	452	132	462	138	536	160	601	174	587	162	643	200
Pará	Poço raso, freático ou cacimba	197	151	225	186	260	176	196	171	183	129	244	132	197	113
Pará	Fonte ou nascente	2	57	0	49	1	43	-	45	-	60	0	65	0	56
Pará	Outra	35	97	30	88	7	92	18	100	12	83	19	123	12	81
Amapá	Total	177	17	178	20	182	12	174	24	195	23	219	15	214	23
Amapá	Rede geral de distribuição	114	1	110	1	114	2	104	5	107	3	125	4	123	4
Amapá	Poço profundo ou artesiano	40	5	39	7	47	6	53	7	54	15	68	6	52	10
Amapá	Poço raso, freático ou cacimba	21	3	28	3	20	2	17	3	29	2	24	3	36	4
Amapá	Fonte ou nascente	0	0	-	0	-	1	0	1	-	1	-	-	-	1
Amapá	Outra	2	9	0	8	1	2	1	8	4	2	2	2	4	3
Tocantins	Total	381	79	387	87	401	90	409	87	439	73	454	78	474	70
Tocantins	Rede geral de distribuição	373	18	377	15	387	14	395	14	420	13	432	16	449	16
Tocantins	Poço profundo ou artesiano	2	23	5	24	6	30	6	26	11	31	10	31	13	29
