Unidade da Federação	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio
Unidade da Federação	2016	2016	2017	2017	2018	2018	2019	2019	2022	2022	2023	2023	2024	2024
Unidade da Federação	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural
Rondônia	399	131	413	123	421	122	424	125	459	128	519	125	527	118
Acre	169	29	169	30	181	42	184	44	209	37	209	38	224	43
Amazonas	826	85	875	87	897	83	885	74	974	88	1023	88	1072	86
Roraima	116	19	121	18	128	21	125	21	147	22	152	21	166	22
Pará	1555	474	1594	445	1661	512	1697	491	1860	509	1960	532	2051	551
Amapá	176	11	177	16	177	11	173	21	191	21	217	14	211	21
Tocantins	381	66	386	78	400	80	407	80	437	67	453	75	473	66
Maranhão	1242	487	1264	488	1260	518	1310	525	1509	470	1604	508	1608	518
Piauí	649	261	669	260	655	281	664	302	713	291	787	298	811	292
Ceará	2083	429	2104	474	2182	495	2172	526	2375	533	2510	579	2544	587
Rio Grande do Norte	797	174	806	173	812	179	842	184	930	173	972	185	1020	178
Paraíba	935	143	937	145	947	168	988	181	1027	204	1136	231	1161	220
Pernambuco	2417	313	2390	314	2454	321	2555	325	2659	329	2869	330	2968	348
Alagoas	735	162	755	162	780	170	811	171	813	154	864	162	878	152
Sergipe	533	147	550	137	544	134	571	133	610	143	641	138	646	142
Bahia	3493	1008	3502	1015	3456	1119	3600	1166	3735	1241	3914	1276	4173	1151
Minas Gerais	5948	855	6048	858	6170	878	6273	892	6462	1014	6845	977	7140	865
Espírito Santo	1127	189	1131	180	1164	184	1176	188	1243	168	1309	176	1329	177
Rio de Janeiro	5933	173	5969	180	6006	195	6093	176	6233	158	6367	162	6512	148
São Paulo	14314	628	14336	610	14721	607	14881	598	15556	558	16319	557	16569	528
Paraná	3319	461	3333	473	3376	496	3436	499	3671	484	3775	480	3874	453
Santa Catarina	2027	357	2105	352	2194	355	2225	353	2365	361	2537	340	2670	315
Rio Grande do Sul	3447	535	3485	532	3524	521	3621	526	3664	573	3770	562	3843	493
Mato Grosso do Sul	773	89	791	86	805	91	815	86	887	89	924	95	936	87
Mato Grosso	924	163	948	162	968	173	964	171	1061	158	1162	151	1206	120
Goiás	2009	195	2075	201	2123	197	2200	193	2358	167	2507	166	2585	157
Distrito Federal	877	52	901	56	905	60	893	57	964	45	1021	43	1008	36
