Unidade da Federação	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio
Unidade da Federação	2017	2017	2018	2018	2019	2019	2022	2022	2023	2023	2024	2024
Unidade da Federação	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural
Rondônia	415	124	425	120	425	129	461	127	521	125	526	116
Acre	166	28	171	30	168	32	199	32	202	35	212	32
Amazonas	861	94	864	85	861	79	955	92	993	78	1037	75
Roraima	120	18	126	19	122	21	147	21	152	23	164	21
Pará	1578	415	1640	421	1689	411	1844	440	1949	415	2021	429
Amapá	170	11	181	11	171	24	193	23	216	14	213	20
Tocantins	385	73	398	78	405	75	437	68	452	71	469	64
Maranhão	1215	415	1213	392	1282	427	1470	370	1563	404	1580	419
Piauí	660	222	646	226	654	250	702	244	780	268	803	273
Ceará	2123	554	2193	562	2166	553	2387	564	2519	590	2553	600
Rio Grande do Norte	812	214	819	211	845	211	930	194	975	208	1027	199
Paraíba	968	234	970	234	994	252	1031	286	1147	289	1157	271
Pernambuco	2459	455	2492	449	2598	464	2662	456	2859	431	2978	440
Alagoas	758	213	783	217	815	209	819	184	869	189	882	187
Sergipe	554	160	550	154	575	147	610	164	643	157	650	155
Bahia	3484	1079	3440	1178	3591	1224	3720	1268	3903	1275	4157	1209
Minas Gerais	6038	830	6159	841	6261	877	6461	1002	6832	969	7134	853
Espírito Santo	1129	180	1163	184	1174	187	1245	169	1307	176	1328	177
Rio de Janeiro	5976	186	6014	195	6109	176	6260	165	6392	164	6530	149
São Paulo	14325	618	14720	614	14885	607	15547	568	16315	564	16556	540
Paraná	3334	465	3377	493	3435	497	3672	480	3775	481	3871	456
Santa Catarina	2103	351	2191	356	2224	352	2364	362	2537	339	2669	317
Rio Grande do Sul	3480	528	3520	517	3617	526	3663	579	3765	558	3840	492
Mato Grosso do Sul	791	86	805	90	813	86	886	89	923	95	936	87
Mato Grosso	947	161	970	173	965	170	1060	161	1163	151	1205	119
Goiás	2074	200	2128	198	2200	192	2363	169	2507	167	2593	156
Distrito Federal	900	56	905	60	892	58	964	46	1021	44	1009	37
