Tabela 6736 - Domicílios e Moradores, por situação do domicílio e destino do lixo	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
Variável - Domicílios (Mil unidades)															
Unidade da Federação	Destino do lixo	Ano x Situação do domicílio													
		2016		2017		2018		2019		2022		2023		2024	
		Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural
Rondônia	Total	401	135	418	128	426	124	426	131	461	131	521	127	527	118
	Coletado diretamente por serviço de limpeza	343	26	364	12	343	6	361	5	398	8	499	10	515	8
	Coletado em caçamba de serviço de limpeza	50	3	49	3	78	2	63	5	54	2	19	3	9	1
	Queimado (na propriedade)	6	96	4	105	4	100	2	106	6	108	1	99	2	96
	Outro destino	2	9	1	9	1	16	1	17	2	12	1	15	-	13
Acre	Total	175	51	176	59	185	65	186	66	211	54	211	58	225	56
	Coletado diretamente por serviço de limpeza	142	7	145	9	158	9	162	7	182	7	177	8	188	4
	Coletado em caçamba de serviço de limpeza	30	3	28	3	24	3	21	5	25	5	31	5	33	5
	Queimado (na propriedade)	2	34	2	42	2	45	2	46	2	38	2	39	3	41
	Outro destino	2	7	1	6	1	8	1	8	1	4	1	6	1	5
Amazonas	Total	837	156	880	159	903	151	895	160	976	160	1032	155	1077	165
	Coletado diretamente por serviço de limpeza	755	12	797	13	807	5	790	11	863	9	967	7	1023	14
	Coletado em caçamba de serviço de limpeza	48	3	47	2	66	17	74	7	93	7	49	5	44	1
	Queimado (na propriedade)	29	133	27	130	24	121	13	126	17	134	11	138	7	142
	Outro destino	5	8	8	14	7	8	17	16	3	10	5	5	3	8
Roraima	Total	116	21	122	21	128	24	125	25	147	25	153	25	167	25
	Coletado diretamente por serviço de limpeza	97	2	100	4	124	1	120	6	146	6	150	4	162	4
	Coletado em caçamba de serviço de limpeza	17	2	20	1	3	1	2	0	1	1	1	0	3	0
	Queimado (na propriedade)	1	15	1	15	1	18	0	16	1	16	1	18	1	18
	Outro destino	1	3	1	1	0	3	3	3	-	2	1	2	0	3
Pará	Total	1600	645	1655	624	1711	639	1753	672	1907	627	1996	638	2077	642
	Coletado diretamente por serviço de limpeza	1379	134	1392	131	1511	108	1615	116	1738	123	1864	121	1926	155
	Coletado em caçamba de serviço de limpeza	158	17	207	20	133	37	92	42	119	27	90	18	117	16
	Queimado (na propriedade)	41	461	36	450	33	464	24	479	38	452	31	477	26	444
	Outro destino	21	34	20	23	34	30	22	34	12	25	11	22	8	27
Amapá	Total	177	17	178	20	182	12	174	24	195	23	219	15	214	23
	Coletado diretamente por serviço de limpeza	147	1	145	5	164	2	165	3	159	6	202	3	205	5
	Coletado em caçamba de serviço de limpeza	29	0	32	0	18	0	9	-	33	6	15	1	8	1
	Queimado (na propriedade)	1	15	1	15	0	10	0	21	1	8	1	11	1	15
	Outro destino	1	1	-	1	0	1	-	0	2	2	1	0	1	1
Tocantins	Total	381	79	387	87	401	90	409	87	439	73	454	78	474	70
	Coletado diretamente por serviço de limpeza	300	8	296	9	318	10	339	8	417	8	412	11	450	15
	Coletado em caçamba de serviço de limpeza	77	8	85	5	77	4	62	4	18	4	41	6	18	4
	Queimado (na propriedade)	2	56	4	66	4	68	6	66	2	53	1	51	5	43
	Outro destino	1	7	1	8	2	9	2	9	2	8	0	10	1	8
Maranhão	Total	1290	637	1313	633	1305	650	1355	653	1531	549	1632	594	1642	591
	Coletado diretamente por serviço de limpeza	787	107	871	109	890	109	1017	124	1220	81	1299	85	1354	82
	Coletado em caçamba de serviço de limpeza	333	28	309	38	302	38	238	38	237	34	250	32	211	40
	Queimado (na propriedade)	140	432	99	414	85	431	75	427	55	397	71	444	63	436
	Outro destino	29	70	35	72	28	73	25	63	19	37	12	34	14	34
Piauí	Total	655	341	671	340	659	340	667	353	718	330	788	355	819	326
	Coletado diretamente por serviço de limpeza	586	60	609	47	612	64	628	61	676	55	757	92	780	94
	Coletado em caçamba de serviço de limpeza	46	5	42	6	36	5	27	6	32	7	11	3	17	4
	Queimado (na propriedade)	19	242	13	259	9	256	8	264	8	250	7	245	19	217
	Outro destino	5	34	7	27	1	15	4	21	2	17	13	14	3	12
Ceará	Total	2131	624	2151	638	2219	666	2199	670	2405	629	2543	687	2571	695
	Coletado diretamente por serviço de limpeza	1794	118	1838	138	1934	139	1974	165	2085	191	2309	247	2414	241
	Coletado em caçamba de serviço de limpeza	270	49	253	62	246	63	187	68	277	59	194	67	136	66
	Queimado (na propriedade)	50	418	33	401	27	423	34	392	33	350	35	347	14	360
	Outro destino	18	39	27	37	11	41	4	46	10	29	5	26	6	28
Rio Grande do Norte	Total	808	226	816	222	823	223	852	231	936	205	978	212	1033	206
	Coletado diretamente por serviço de limpeza	746	107	770	98	742	93	807	112	913	84	880	93	951	92
	Coletado em caçamba de serviço de limpeza	56	8	38	13	74	15	38	9	21	11	93	21	79	23
	Queimado (na propriedade)	4	104	3	101	5	107	3	104	1	101	4	92	3	85
	Outro destino	2	7	5	10	3	10	3	6	0	9	1	6	1	6
Paraíba	Total	958	263	973	267	982	279	1004	282	1045	317	1154	323	1168	303
	Coletado diretamente por serviço de limpeza	886	46	911	56	880	67	910	69	977	72	1073	77	1109	63
	Coletado em caçamba de serviço de limpeza	51	17	47	15	88	13	81	9	59	14	72	15	44	11
	Queimado (na propriedade)	9	186	12	185	8	183	8	188	4	223	4	224	5	223
	Outro destino	13	14	2	12	5	15	6	15	5	8	4	7	10	7
Pernambuco	Total	2466	530	2472	520	2517	536	2620	520	2708	504	2913	509	3023	505
	Coletado diretamente por serviço de limpeza	2201	92	2181	120	2170	115	2171	100	2495	116	2645	110	2809	112
	Coletado em caçamba de serviço de limpeza	193	37	227	44	279	45	358	45	183	24	194	25	141	27
	Queimado (na propriedade)	32	366	21	325	18	338	22	343	12	349	15	359	18	338
	Outro destino	40	35	42	31	50	39	69	32	19	15	60	16	55	28
Alagoas	Total	740	241	763	243	791	244	820	236	827	213	877	226	891	212
	Coletado diretamente por serviço de limpeza	591	61	593	73	657	68	711	81	746	81	802	111	796	96
	Coletado em caçamba de serviço de limpeza	139	41	162	32	124	53	98	37	76	19	64	8	85	11
	Queimado (na propriedade)	7	129	3	126	2	116	2	110	2	107	4	99	2	99
	Outro destino	4	10	6	12	7	8	9	8	3	6	6	7	7	5
Sergipe	Total	541	181	558	175	556	170	582	170	614	174	650	172	659	170
	Coletado diretamente por serviço de limpeza	422	71	440	74	508	84	555	87	577	93	626	112	652	117
	Coletado em caçamba de serviço de limpeza	111	41	107	31	34	17	17	6	33	16	18	3	5	2
	Queimado (na propriedade)	5	65	5	68	6	63	8	71	2	62	3	54	2	49
	Outro destino	3	4	6	2	8	5	2	5	2	4	4	3	0	3
