Unidade da Federação	Fonte de energia elétrica	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio	Ano x Situação do domicílio
Unidade da Federação	Fonte de energia elétrica	2016	2016	2017	2017	2018	2018	2019	2019	2022	2022	2023	2023	2024	2024
Unidade da Federação	Fonte de energia elétrica	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural	Urbana	Rural
Rondônia	Rede geral ou fonte alternativa	401	133	417	128	425	124	426	131	459	130	521	126	525	118
Rondônia	Rede geral	401	131	417	125	422	124	424	130	456	129	519	126	521	116
Acre	Rede geral ou fonte alternativa	175	43	176	51	184	57	186	59	210	50	211	52	225	53
Acre	Rede geral	175	36	176	43	184	48	186	51	210	42	210	45	224	45
Amazonas	Rede geral ou fonte alternativa	837	145	880	146	900	137	892	146	975	148	1028	140	1074	155
Amazonas	Rede geral	837	116	880	120	899	113	892	119	975	124	1028	114	1072	121
Roraima	Rede geral ou fonte alternativa	116	20	122	20	128	23	125	24	147	24	152	25	167	24
Roraima	Rede geral	116	20	122	20	128	23	125	24	147	23	152	23	166	24
Pará	Rede geral ou fonte alternativa	1599	611	1654	597	1707	616	1753	639	1905	606	1994	613	2076	626
Pará	Rede geral	1599	509	1653	508	1707	538	1753	539	1902	517	1990	504	2067	543
Amapá	Rede geral ou fonte alternativa	177	16	178	19	182	12	174	24	194	22	219	15	214	22
Amapá	Rede geral	177	14	178	17	182	12	174	20	194	20	218	14	214	20
Tocantins	Rede geral ou fonte alternativa	381	74	386	85	400	85	408	85	438	73	453	77	473	69
Tocantins	Rede geral	381	73	386	84	400	83	407	84	437	72	449	76	467	69
Maranhão	Rede geral ou fonte alternativa	1288	629	1312	624	1302	640	1350	645	1530	543	1629	590	1641	586
Maranhão	Rede geral	1288	626	1312	621	1302	638	1350	643	1528	542	1624	590	1638	585
Piauí	Rede geral ou fonte alternativa	655	327	671	324	658	332	666	344	716	324	787	349	814	322
Piauí	Rede geral	655	323	671	322	658	330	666	339	714	321	777	347	812	320
Ceará	Rede geral ou fonte alternativa	2128	623	2149	636	2216	662	2197	668	2396	625	2536	683	2561	691
Ceará	Rede geral	2128	623	2149	636	2216	662	2196	668	2394	624	2533	682	2553	690
Rio Grande do Norte	Rede geral ou fonte alternativa	808	225	816	222	821	222	850	230	934	205	977	212	1032	205
Rio Grande do Norte	Rede geral	808	225	816	222	819	222	848	230	930	205	968	212	1019	204
Paraíba	Rede geral ou fonte alternativa	958	261	973	267	981	279	1004	280	1044	316	1151	322	1166	301
Paraíba	Rede geral	958	261	973	267	981	279	1003	280	1043	315	1150	322	1164	301
Pernambuco	Rede geral ou fonte alternativa	2466	529	2466	519	2508	528	2617	516	2699	502	2912	505	3021	502
Pernambuco	Rede geral	2465	529	2466	519	2508	525	2617	516	2696	502	2905	504	3007	501
Alagoas	Rede geral ou fonte alternativa	739	240	763	241	788	242	819	234	826	212	876	224	888	211
Alagoas	Rede geral	739	240	763	241	788	242	819	234	824	212	874	224	881	211
Sergipe	Rede geral ou fonte alternativa	541	181	558	175	554	168	579	167	613	172	649	171	658	169
Sergipe	Rede geral	541	181	558	175	552	168	579	167	613	172	648	171	658	169
Bahia	Rede geral ou fonte alternativa	3509	1213	3518	1238	3480	1312	3624	1342	3749	1403	3925	1426	4179	1320
Bahia	Rede geral	3509	1201	3517	1223	3480	1298	3622	1325	3742	1393	3920	1417	4160	1311
Minas Gerais	Rede geral ou fonte alternativa	5948	868	6052	874	6169	890	6271	908	6460	1026	6842	980	7133	873
Minas Gerais	Rede geral	5947	868	6052	873	6167	887	6271	907	6450	1023	6834	978	7121	870
Espírito Santo	Rede geral ou fonte alternativa	1127	189	1131	180	1164	185	1177	188	1245	169	1307	176	1330	178
Espírito Santo	Rede geral	1127	189	1131	180	1163	185	1176	188	1244	168	1304	175	1324	177
Rio de Janeiro	Rede geral ou fonte alternativa	5957	192	5984	187	6018	196	6116	178	6259	166	6395	164	6539	149
Rio de Janeiro	Rede geral	5957	192	5984	187	6018	196	6116	177	6255	166	6391	164	6534	149
São Paulo	Rede geral ou fonte alternativa	14321	630	14347	620	14734	617	14893	611	15566	570	16329	563	16557	540
São Paulo	Rede geral	14318	625	14346	619	14732	615	14889	609	15535	567	16314	558	16544	537
Paraná	Rede geral ou fonte alternativa	3321	465	3338	474	3379	496	3439	500	3669	486	3776	482	3870	458
Paraná	Rede geral	3321	465	3334	474	3377	495	3438	500	3664	483	3771	479	3859	456
Santa Catarina	Rede geral ou fonte alternativa	2027	358	2106	353	2193	358	2226	354	2364	363	2537	340	2667	318
Santa Catarina	Rede geral	2027	358	2106	353	2193	357	2225	353	2362	362	2534	339	2663	316
Rio Grande do Sul	Rede geral ou fonte alternativa	3449	538	3490	534	3525	525	3625	529	3665	581	3769	563	3842	495
Rio Grande do Sul	Rede geral	3449	538	3490	534	3524	525	3623	528	3659	580	3762	560	3837	494
Mato Grosso do Sul	Rede geral ou fonte alternativa	775	90	791	87	807	91	816	86	886	89	921	96	936	86
Mato Grosso do Sul	Rede geral	775	90	791	86	807	91	815	86	879	89	913	93	924	84
Mato Grosso	Rede geral ou fonte alternativa	927	166	948	166	971	177	967	172	1062	161	1164	152	1205	123
Mato Grosso	Rede geral	927	164	948	164	970	174	967	171	1048	160	1150	151	1180	121
Goiás	Rede geral ou fonte alternativa	2009	196	2075	199	2127	198	2202	194	2363	169	2508	168	2592	156
Goiás	Rede geral	2009	194	2075	194	2126	197	2200	189	2361	168	2503	167	2582	155
Distrito Federal	Rede geral ou fonte alternativa	880	57	901	56	904	60	891	58	964	46	1021	45	1007	37
Distrito Federal	Rede geral	880	57	901	56	904	60	891	58	964	45	1021	45	1004	36
