Unidade da Federação	2016	2016	2016	2016	2016	2017	2017	2017	2017	2017	2018	2018	2018	2018	2018	2019	2019	2019	2019	2019	2022	2022	2022	2022	2022	2023	2023	2023	2023	2023	2024	2024	2024	2024	2024
Unidade da Federação	Próprio de algum morador - já pago	Próprio de algum morador - ainda pagando	Alugado	Cedido	Outra condição	Próprio de algum morador - já pago	Próprio de algum morador - ainda pagando	Alugado	Cedido	Outra condição	Próprio de algum morador - já pago	Próprio de algum morador - ainda pagando	Alugado	Cedido	Outra condição	Próprio de algum morador - já pago	Próprio de algum morador - ainda pagando	Alugado	Cedido	Outra condição	Próprio de algum morador - já pago	Próprio de algum morador - ainda pagando	Alugado	Cedido	Outra condição	Próprio de algum morador - já pago	Próprio de algum morador - ainda pagando	Alugado	Cedido	Outra condição	Próprio de algum morador - já pago	Próprio de algum morador - ainda pagando	Alugado	Cedido	Outra condição
Rondônia	357	27	89	62	0	370	15	93	65	2	375	9	96	70	0	370	19	93	75	1	378	8	130	73	2	439	9	138	61	0	414	7	159	64	0
Acre	180	5	25	16	0	186	3	27	19	0	196	6	28	20	0	195	4	25	27	0	206	2	36	21	-	209	2	32	26	1	209	4	39	30	0
Amazonas	726	18	168	79	1	769	14	158	99	0	771	18	166	99	0	770	24	162	97	2	847	41	164	82	2	849	23	206	107	1	874	16	227	124	1
Roraima	90	3	26	17	0	95	5	27	16	0	97	3	32	19	1	93	4	33	20	0	107	4	40	20	-	103	5	48	21	0	105	6	50	30	0
Pará	1738	64	243	196	3	1719	70	275	212	3	1761	76	276	236	2	1829	50	284	259	3	1924	70	319	221	1	1894	79	410	244	7	1970	83	391	275	1
Amapá	154	1	28	12	-	152	2	29	15	0	160	2	21	12	-	155	2	29	13	-	172	2	27	15	1	180	0	36	15	3	186	1	34	16	-
Tocantins	309	28	80	43	1	327	10	86	50	1	332	13	95	50	1	332	17	87	60	1	323	14	120	56	0	322	14	132	64	1	342	15	130	56	2
Maranhão	1560	39	194	134	1	1601	34	177	135	1	1625	23	166	140	1	1653	33	176	143	3	1658	44	237	139	1	1772	41	270	143	1	1777	32	266	154	4
Piauí	759	68	82	86	1	821	30	86	74	0	807	32	88	71	0	827	29	85	78	1	829	29	107	83	1	871	36	140	93	1	868	40	143	95	1
Ceará	1890	70	519	265	11	1902	110	530	237	9	1945	107	548	279	6	1956	106	555	248	5	2097	73	581	280	4	2174	99	666	285	6	2193	70	706	284	13
Rio Grande do Norte	708	78	167	80	1	710	63	185	78	2	703	87	162	88	6	717	72	194	100	1	729	77	242	91	1	754	66	260	109	2	787	73	276	103	1
Paraíba	851	52	195	121	2	833	54	213	135	5	829	66	219	145	1	855	64	229	135	2	887	81	249	139	6	931	82	299	155	9	900	96	313	159	3
Pernambuco	2182	89	513	207	5	2140	103	514	228	7	2047	127	611	260	10	2209	100	560	268	2	2246	62	637	259	8	2346	61	723	290	2	2286	72	794	368	8
Alagoas	696	15	179	91	0	742	15	155	93	2	725	21	179	109	2	731	22	202	100	2	684	47	208	100	1	705	47	236	112	2	721	39	234	108	1
Sergipe	528	25	126	44	1	524	20	135	52	1	499	35	123	64	4	484	29	150	84	5	489	37	173	86	4	532	33	172	80	5	503	54	206	66	-
Bahia	3531	199	616	393	15	3582	185	612	404	11	3565	159	666	434	6	3796	124	665	404	7	3841	154	773	405	8	4032	116	770	443	18	4114	115	822	454	9
Minas Gerais	4405	455	1221	741	8	4394	469	1261	803	5	4501	459	1332	770	9	4588	548	1315	729	9	4731	450	1563	736	17	4706	522	1798	795	11	4677	533	1982	820	8
Espírito Santo	938	36	217	125	1	855	63	240	153	1	851	61	251	185	1	874	67	270	153	2	901	66	302	141	4	919	66	340	159	1	926	56	352	171	1
Rio de Janeiro	4538	104	1120	376	12	4444	133	1174	413	9	4260	185	1285	470	14	4402	182	1185	505	20	4291	240	1375	506	17	4245	279	1475	543	18	4236	272	1552	617	14
São Paulo	8707	1473	3487	1240	45	8845	1246	3404	1430	46	8950	1329	3567	1491	18	8612	1570	3805	1462	60	9208	1352	4067	1453	59	9388	1502	4438	1509	64	9417	1568	4564	1510	53
Paraná	2332	392	738	319	6	2393	382	715	313	9	2407	360	752	351	9	2395	383	780	374	9	2391	420	965	377	8	2443	387	1008	415	10	2468	434	1032	391	9
Santa Catarina	1588	210	445	141	2	1679	188	466	124	3	1695	201	497	157	2	1707	187	532	153	3	1762	159	638	167	6	1779	172	760	162	5	1793	171	862	161	2
Rio Grande do Sul	2708	336	617	316	12	2810	314	598	298	8	2714	387	613	319	20	2824	356	657	302	17	2824	369	713	334	8	2788	418	778	344	11	2833	373	788	332	14
Mato Grosso do Sul	514	72	175	103	2	495	75	179	126	5	504	88	178	126	2	471	98	199	132	2	500	118	230	123	4	499	104	276	137	5	528	100	270	121	4
Mato Grosso	700	30	237	127	2	708	39	247	121	2	710	57	252	126	6	683	65	260	128	2	720	70	308	123	4	732	65	392	124	3	673	96	425	133	2
Goiás	1331	191	463	222	3	1286	242	516	233	6	1247	256	563	257	4	1327	245	552	269	7	1290	293	685	260	3	1367	272	760	275	2	1357	291	838	264	1
Distrito Federal	506	35	283	109	4	512	43	281	118	2	495	64	299	107	1	520	44	291	94	2	468	68	357	115	1	508	67	359	129	3	508	38	362	136	1
