Tabela 7113 - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade, por sexo e grupo de idade	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
Variável - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade (%)															
Unidade da Federação	Grupo de idade	Ano x Sexo													
		2016		2017		2018		2019		2022		2023		2024	
		Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres
Rondônia	15 anos ou mais	5.6	6.4	6.2	6.8	5.6	6	5.4	6	4.7	5	5.3	4.9	4.5	5.7
	18 anos ou mais	6	6.9	6.6	7.2	6	6.3	5.7	6.4	4.9	5.3	5.6	5.2	4.8	6
	25 anos ou mais	7.3	8.1	7.7	8.6	7.1	7.8	6.7	7.9	5.9	6.1	6.4	5.9	5.4	7
	40 anos ou mais	12.2	14.7	12.3	15.1	11.8	13.3	11	12.3	9.1	9.5	9.5	9	8	10.5
	60 anos ou mais	25.4	32.1	26.8	33.2	23.6	31.5	21.1	27.4	17.9	22.7	18.6	18.5	16.5	21.8
Acre	15 anos ou mais	13.8	10.8	12.2	10.8	12.2	10.5	12.2	9.6	9.3	7.8	10	8.9	9.6	9
	18 anos ou mais	15.2	12	13.5	11.8	13.2	11.4	13.3	10.4	10.1	8.4	10.9	9.7	10.3	9.6
	25 anos ou mais	18.6	14.7	16.8	14.5	16.3	13.9	16.2	13	12.4	10	13.2	11.7	12.5	11.7
	40 anos ou mais	27.9	22.5	25	22.7	24.6	21.6	24.4	19.5	18.7	15.5	20.4	18.3	19	17.7
	60 anos ou mais	44.6	39.5	37.6	36.8	37.7	35.4	37.6	31.5	31.2	26.4	32.9	31.4	28.2	28.2
Amazonas	15 anos ou mais	6.9	6.3	5.8	5.9	5.7	5.3	5.6	4.7	5.3	4.5	5.2	4.9	4.9	4.8
	18 anos ou mais	7.5	6.8	6.4	6.4	6.1	5.7	6	5.1	5.6	4.8	5.6	5.2	5.3	5.2
	25 anos ou mais	9	8.4	7.7	7.7	7.4	6.9	7.3	6.3	6.8	5.8	6.7	6.4	6.4	6.2
	40 anos ou mais	13.6	13.3	11.8	12.5	11.2	10.8	10.8	9.8	10.3	9.2	10.3	10.1	9.9	10
	60 anos ou mais	21.9	23.2	18.8	22.4	20	19.9	18.6	18.6	18.8	18	18.3	21	19.1	20.2
Roraima	15 anos ou mais	6.3	5.9	5.7	5.4	5.8	5.3	5.3	3.9	4.2	3.5	5	3.5	5	2.9
	18 anos ou mais	6.9	6.5	6.2	5.9	6.2	5.8	5.6	4.2	4.5	3.8	5.3	3.8	5.3	3.1
	25 anos ou mais	8.4	7.7	8	7.4	7.7	7	6.8	5.4	5.5	4.6	6.5	4.5	6.3	3.8
	40 anos ou mais	13.6	13.4	13	13.4	12.8	12.3	11.9	9.9	10.1	8.7	10.4	8.3	10.8	6.2
	60 anos ou mais	26	32.7	29.2	32.4	25.1	26.5	26.1	21.8	19.1	18.2	21.6	19.9	20.9	15.9
Pará	15 anos ou mais	9.8	7.5	9.2	7.1	9.1	7.2	8.7	6.9	8.2	6.7	7.6	6.1	7.6	5.5
