Unidade da Federação	Grupo de idade	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça
Unidade da Federação	Grupo de idade	2016	2016	2017	2017	2018	2018	2019	2019	2022	2022	2023	2023	2024	2024
Unidade da Federação	Grupo de idade	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda
Rondônia	0 a 5 anos	39.8	41.8	34.5	47.2	36.5	36.7	37.7	41.0	29.4	40.8	37.6	42.3	41.8	43.2
Rondônia	0 a 3 anos	14.3	17.4	18.8	20.4	16.0	17.1	18.3	13.0	12.3	17.4	17.1	17.0	22.1	20.9
Rondônia	4 a 5 anos	88.1	79.6	83.7	87.2	92.9	86.6	81.1	85.7	87.3	85.0	83.3	85.8	86.9	83.6
Rondônia	6 a 14 anos	99.4	99.3	100.0	99.4	98.4	99.0	99.1	99.4	99.0	98.5	99.1	99.8	98.4	99.4
Rondônia	15 a 17 anos	89.5	84.5	87.4	85.5	90.0	85.2	89.6	87.6	93.8	96.1	93.5	93.3	91.4	94.3
Rondônia	18 a 24 anos	30.5	30.0	31.2	30.1	33.5	27.8	34.5	28.8	38.9	28.4	39.4	29.3	36.4	27.9
Rondônia	25 anos ou mais	6.7	6.6	4.6	5.3	4.7	4.9	6.4	6.2	5.2	6.0	6.3	5.3	4.5	4.1
Acre	0 a 5 anos	40.0	34.0	36.4	39.5	36.4	41.0	47.8	41.1	38.8	38.4	37.9	38.4	43.5	38.9
Acre	0 a 3 anos	19.3	13.8	19.6	17.4	19.2	20.1	27.0	22.5	16.9	18.2	20.8	15.2	23.2	14.9
Acre	4 a 5 anos	82.3	75.9	79.2	79.1	81.9	77.5	88.4	74.7	75.4	75.0	79.1	77.8	81.9	79.6
Acre	6 a 14 anos	98.3	98.1	96.6	97.7	98.2	98.2	98.3	97.7	97.8	98.3	98.1	98.0	99.7	98.1
Acre	15 a 17 anos	88.9	85.8	84.3	83.7	90.2	80.8	91.3	83.6	90.0	88.9	92.7	89.9	94.5	90.4
Acre	18 a 24 anos	43.3	37.3	41.4	32.7	28.4	32.4	39.8	31.2	37.4	33.7	37.0	31.7	41.6	31.8
Acre	25 anos ou mais	10.2	10.5	10.4	7.9	10.1	8.7	7.3	7.3	7.8	5.6	6.1	4.9	5.3	5.1
