Unidade da Federação	Situação de ocupação na semana de referência	2016	2016	2016	2017	2017	2017	2018	2018	2018	2019	2019	2019	2022	2022	2022	2023	2023	2023	2024	2024	2024
Unidade da Federação	Situação de ocupação na semana de referência	15 a 17 anos	18 a 24 anos	25 anos ou mais	15 a 17 anos	18 a 24 anos	25 anos ou mais	15 a 17 anos	18 a 24 anos	25 anos ou mais	15 a 17 anos	18 a 24 anos	25 anos ou mais	15 a 17 anos	18 a 24 anos	25 anos ou mais	15 a 17 anos	18 a 24 anos	25 anos ou mais	15 a 17 anos	18 a 24 anos	25 anos ou mais
Rondônia	Ocupados	18	32	46	11	33	35	10	30	36	13	33	48	12	29	48	10	28	45	10	28	36
Rondônia	Não ocupados	61	34	17	60	34	16	66	37	15	59	41	17	70	40	18	68	35	21	67	33	14
Acre	Ocupados	4	12	29	4	15	22	2	11	26	3	12	22	2	12	21	2	10	15	2	11	18
Acre	Não ocupados	47	28	14	44	25	13	41	25	13	42	26	11	45	30	9	49	28	10	44	31	9
Amazonas	Ocupados	28	73	96	32	61	89	28	49	81	31	63	87	25	64	114	25	66	99	22	60	111
Amazonas	Não ocupados	180	114	46	179	107	47	172	128	52	179	118	39	163	97	43	184	101	41	189	107	48
Roraima	Ocupados	2	10	14	2	10	15	2	9	15	2	9	15	1	7	14	1	9	14	2	12	19
Roraima	Não ocupados	25	10	6	26	15	6	23	15	4	24	14	6	24	13	4	24	13	4	25	13	4
Pará	Ocupados	66	114	172	58	121	175	56	129	185	51	127	169	84	152	193	64	156	209	55	149	268
Pará	Não ocupados	356	244	64	375	224	75	355	241	79	382	220	76	389	206	77	390	201	75	386	213	90
Amapá	Ocupados	3	10	16	3	10	23	1	9	17	3	15	13	4	14	17	3	13	16	3	10	14
Amapá	Não ocupados	40	27	10	43	36	11	38	42	11	39	36	11	34	26	10	38	28	9	35	30	10
Tocantins	Ocupados	7	26	30	6	23	31	10	26	38	11	20	25	11	33	44	15	29	40	16	34	47
Tocantins	Não ocupados	73	32	12	69	36	13	64	34	9	63	33	10	64	39	13	60	27	9	57	31	11
Maranhão	Ocupados	52	72	103	37	69	101	31	72	115	29	75	115	37	59	111	33	72	120	27	77	116
Maranhão	Não ocupados	324	154	45	312	151	57	325	170	64	324	170	72	327	140	58	336	156	58	334	156	58
Piauí	Ocupados	23	47	66	14	49	67	17	47	73	16	56	68	12	61	89	11	45	63	9	44	63
Piauí	Não ocupados	124	84	27	144	83	32	139	90	32	117	86	34	129	69	55	130	74	32	130	71	28
Ceará	Ocupados	33	106	160	30	106	162	30	107	191	38	121	202	26	106	181	20	99	185	23	98	188
Ceará	Não ocupados	363	183	64	373	186	77	361	194	86	335	203	54	356	166	101	379	167	80	349	167	74
Rio Grande do Norte	Ocupados	13	35	62	10	37	65	11	50	76	11	49	87	8	41	72	6	35	68	6	47	98
Rio Grande do Norte	Não ocupados	139	92	30	145	92	32	141	95	32	123	98	37	135	98	34	141	81	41	152	75	27
Paraíba	Ocupados	23	47	79	14	52	84	15	51	78	15	43	81	14	42	80	10	48	75	11	49	85
Paraíba	Não ocupados	168	111	38	166	95	41	164	106	44	162	108	39	171	91	47	144	96	42	142	83	32
Pernambuco	Ocupados	29	110	136	18	78	124	25	88	157	23	106	159	27	109	163	21	93	175	19	92	193
Pernambuco	Não ocupados	379	208	68	421	217	76	381	203	81	376	207	80	364	186	72	373	186	65	402	182	80
Alagoas	Ocupados	12	38	57	9	28	47	6	29	45	9	33	47	8	35	64	9	37	81	9	45	80
Alagoas	Não ocupados	148	90	32	142	82	40	150	98	42	141	78	43	134	72	47	138	67	48	131	67	43
