Grande Região	Conclusão do curso técnico de nível médio ou normal (magistério)	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo	Ano x Sexo
Grande Região	Conclusão do curso técnico de nível médio ou normal (magistério)	2019	2019	2022	2022	2023	2023	2024	2024
Grande Região	Conclusão do curso técnico de nível médio ou normal (magistério)	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres
Norte	Concluiu curso técnico de nível médio ou curso normal (magistério)	44	50	45	67	44	62	69	77
Norte	Nunca frequentou ou não concluiu curso técnico de nível médio ou curso normal (magistério)	337	428	350	488	345	497	378	561
Nordeste	Concluiu curso técnico de nível médio ou curso normal (magistério)	135	172	118	183	134	186	142	171
Nordeste	Nunca frequentou ou não concluiu curso técnico de nível médio ou curso normal (magistério)	870	1184	838	1072	840	1190	902	1220
Sudeste	Concluiu curso técnico de nível médio ou curso normal (magistério)	425	384	429	482	424	375	428	484
Sudeste	Nunca frequentou ou não concluiu curso técnico de nível médio ou curso normal (magistério)	1562	2056	1584	2238	1667	2324	1729	2335
Sul	Concluiu curso técnico de nível médio ou curso normal (magistério)	109	142	112	130	106	153	132	147
Sul	Nunca frequentou ou não concluiu curso técnico de nível médio ou curso normal (magistério)	605	807	619	845	652	822	659	881
Centro-Oeste	Concluiu curso técnico de nível médio ou curso normal (magistério)	41	37	52	58	36	54	43	47
Centro-Oeste	Nunca frequentou ou não concluiu curso técnico de nível médio ou curso normal (magistério)	379	522	379	533	414	546	428	588
