"Tabela 6409 - População residente, por sexo e condição no domicílio"
"Variável - População"
"Unidade da Federação";"Condição no domicílio";"Ano x Sexo"
"Unidade da Federação";"Condição no domicílio";"2012";;;;"2013";;;;"2014";;;;"2015";;;;"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2020";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Condição no domicílio";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Rondônia";"Responsável";"332";"Mil pessoas";"150";"Mil pessoas";"361";"Mil pessoas";"147";"Mil pessoas";"349";"Mil pessoas";"159";"Mil pessoas";"363";"Mil pessoas";"158";"Mil pessoas";"342";"Mil pessoas";"194";"Mil pessoas";"341";"Mil pessoas";"205";"Mil pessoas";"366";"Mil pessoas";"185";"Mil pessoas";"332";"Mil pessoas";"225";"Mil pessoas";"344";"Mil pessoas";"226";"Mil pessoas";"319";"Mil pessoas";"253";"Mil pessoas";"294";"Mil pessoas";"297";"Mil pessoas";"335";"Mil pessoas";"313";"Mil pessoas";"326";"Mil pessoas";"319";"Mil pessoas"
"Rondônia";"Cônjuge ou companheiro(a)";"67";"Mil pessoas";"278";"Mil pessoas";"52";"Mil pessoas";"293";"Mil pessoas";"62";"Mil pessoas";"290";"Mil pessoas";"67";"Mil pessoas";"310";"Mil pessoas";"82";"Mil pessoas";"285";"Mil pessoas";"101";"Mil pessoas";"284";"Mil pessoas";"80";"Mil pessoas";"296";"Mil pessoas";"109";"Mil pessoas";"269";"Mil pessoas";"108";"Mil pessoas";"275";"Mil pessoas";"128";"Mil pessoas";"245";"Mil pessoas";"168";"Mil pessoas";"214";"Mil pessoas";"156";"Mil pessoas";"229";"Mil pessoas";"155";"Mil pessoas";"218";"Mil pessoas"
"Rondônia";"Filho(a) ou enteado(a)";"323";"Mil pessoas";"296";"Mil pessoas";"346";"Mil pessoas";"281";"Mil pessoas";"345";"Mil pessoas";"279";"Mil pessoas";"338";"Mil pessoas";"285";"Mil pessoas";"335";"Mil pessoas";"280";"Mil pessoas";"323";"Mil pessoas";"282";"Mil pessoas";"320";"Mil pessoas";"279";"Mil pessoas";"318";"Mil pessoas";"278";"Mil pessoas";"304";"Mil pessoas";"295";"Mil pessoas";"310";"Mil pessoas";"271";"Mil pessoas";"301";"Mil pessoas";"247";"Mil pessoas";"290";"Mil pessoas";"238";"Mil pessoas";"309";"Mil pessoas";"249";"Mil pessoas"
"Rondônia";"Outra condição";"86";"Mil pessoas";"77";"Mil pessoas";"75";"Mil pessoas";"71";"Mil pessoas";"73";"Mil pessoas";"85";"Mil pessoas";"72";"Mil pessoas";"63";"Mil pessoas";"82";"Mil pessoas";"70";"Mil pessoas";"72";"Mil pessoas";"72";"Mil pessoas";"87";"Mil pessoas";"78";"Mil pessoas";"86";"Mil pessoas";"83";"Mil pessoas";"82";"Mil pessoas";"76";"Mil pessoas";"99";"Mil pessoas";"93";"Mil pessoas";"99";"Mil pessoas";"101";"Mil pessoas";"84";"Mil pessoas";"82";"Mil pessoas";"76";"Mil pessoas";"81";"Mil pessoas"
"Acre";"Responsável";"136";"Mil pessoas";"75";"Mil pessoas";"136";"Mil pessoas";"85";"Mil pessoas";"133";"Mil pessoas";"90";"Mil pessoas";"133";"Mil pessoas";"92";"Mil pessoas";"125";"Mil pessoas";"101";"Mil pessoas";"126";"Mil pessoas";"110";"Mil pessoas";"136";"Mil pessoas";"114";"Mil pessoas";"135";"Mil pessoas";"117";"Mil pessoas";"136";"Mil pessoas";"119";"Mil pessoas";"131";"Mil pessoas";"122";"Mil pessoas";"130";"Mil pessoas";"135";"Mil pessoas";"120";"Mil pessoas";"149";"Mil pessoas";"134";"Mil pessoas";"148";"Mil pessoas"
"Acre";"Cônjuge ou companheiro(a)";"26";"Mil pessoas";"113";"Mil pessoas";"34";"Mil pessoas";"104";"Mil pessoas";"39";"Mil pessoas";"105";"Mil pessoas";"43";"Mil pessoas";"110";"Mil pessoas";"46";"Mil pessoas";"99";"Mil pessoas";"52";"Mil pessoas";"99";"Mil pessoas";"52";"Mil pessoas";"104";"Mil pessoas";"56";"Mil pessoas";"103";"Mil pessoas";"56";"Mil pessoas";"106";"Mil pessoas";"53";"Mil pessoas";"98";"Mil pessoas";"68";"Mil pessoas";"92";"Mil pessoas";"75";"Mil pessoas";"82";"Mil pessoas";"72";"Mil pessoas";"88";"Mil pessoas"
"Acre";"Filho(a) ou enteado(a)";"175";"Mil pessoas";"161";"Mil pessoas";"184";"Mil pessoas";"154";"Mil pessoas";"181";"Mil pessoas";"153";"Mil pessoas";"193";"Mil pessoas";"158";"Mil pessoas";"187";"Mil pessoas";"158";"Mil pessoas";"182";"Mil pessoas";"153";"Mil pessoas";"181";"Mil pessoas";"150";"Mil pessoas";"177";"Mil pessoas";"157";"Mil pessoas";"173";"Mil pessoas";"157";"Mil pessoas";"179";"Mil pessoas";"150";"Mil pessoas";"181";"Mil pessoas";"147";"Mil pessoas";"174";"Mil pessoas";"150";"Mil pessoas";"173";"Mil pessoas";"139";"Mil pessoas"
"Acre";"Outra condição";"43";"Mil pessoas";"47";"Mil pessoas";"44";"Mil pessoas";"46";"Mil pessoas";"50";"Mil pessoas";"48";"Mil pessoas";"40";"Mil pessoas";"41";"Mil pessoas";"48";"Mil pessoas";"54";"Mil pessoas";"53";"Mil pessoas";"52";"Mil pessoas";"47";"Mil pessoas";"49";"Mil pessoas";"43";"Mil pessoas";"50";"Mil pessoas";"45";"Mil pessoas";"52";"Mil pessoas";"64";"Mil pessoas";"51";"Mil pessoas";"50";"Mil pessoas";"50";"Mil pessoas";"48";"Mil pessoas";"57";"Mil pessoas";"51";"Mil pessoas";"56";"Mil pessoas"
"Amazonas";"Responsável";"546";"Mil pessoas";"318";"Mil pessoas";"548";"Mil pessoas";"353";"Mil pessoas";"563";"Mil pessoas";"376";"Mil pessoas";"587";"Mil pessoas";"409";"Mil pessoas";"604";"Mil pessoas";"388";"Mil pessoas";"597";"Mil pessoas";"442";"Mil pessoas";"582";"Mil pessoas";"473";"Mil pessoas";"543";"Mil pessoas";"511";"Mil pessoas";"580";"Mil pessoas";"490";"Mil pessoas";"593";"Mil pessoas";"503";"Mil pessoas";"541";"Mil pessoas";"595";"Mil pessoas";"548";"Mil pessoas";"639";"Mil pessoas";"605";"Mil pessoas";"637";"Mil pessoas"
"Amazonas";"Cônjuge ou companheiro(a)";"135";"Mil pessoas";"447";"Mil pessoas";"168";"Mil pessoas";"431";"Mil pessoas";"187";"Mil pessoas";"444";"Mil pessoas";"196";"Mil pessoas";"436";"Mil pessoas";"174";"Mil pessoas";"470";"Mil pessoas";"215";"Mil pessoas";"458";"Mil pessoas";"229";"Mil pessoas";"423";"Mil pessoas";"269";"Mil pessoas";"396";"Mil pessoas";"252";"Mil pessoas";"426";"Mil pessoas";"264";"Mil pessoas";"421";"Mil pessoas";"300";"Mil pessoas";"375";"Mil pessoas";"337";"Mil pessoas";"343";"Mil pessoas";"308";"Mil pessoas";"399";"Mil pessoas"
