"Tabela 6731 - Domicílios e Moradores, por situação do domicílio e principal fonte de abastecimento de água"
"Variável - Domicílios"
"Unidade da Federação";"Principal fonte de abastecimento de água";"Ano x Situação do domicílio"
"Unidade da Federação";"Principal fonte de abastecimento de água";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Principal fonte de abastecimento de água";"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural"
"Rondônia";"Total";"401";"Mil unidades";"135";"Mil unidades";"418";"Mil unidades";"128";"Mil unidades";"426";"Mil unidades";"124";"Mil unidades";"426";"Mil unidades";"131";"Mil unidades";"461";"Mil unidades";"131";"Mil unidades";"521";"Mil unidades";"127";"Mil unidades";"527";"Mil unidades";"118";"Mil unidades"
"Rondônia";"Rede geral de distribuição";"226";"Mil unidades";"5";"Mil unidades";"249";"Mil unidades";"4";"Mil unidades";"238";"Mil unidades";"2";"Mil unidades";"256";"Mil unidades";"1";"Mil unidades";"284";"Mil unidades";"2";"Mil unidades";"334";"Mil unidades";"4";"Mil unidades";"301";"Mil unidades";"4";"Mil unidades"
"Rondônia";"Poço profundo ou artesiano";"97";"Mil unidades";"39";"Mil unidades";"96";"Mil unidades";"29";"Mil unidades";"102";"Mil unidades";"29";"Mil unidades";"73";"Mil unidades";"29";"Mil unidades";"101";"Mil unidades";"41";"Mil unidades";"108";"Mil unidades";"44";"Mil unidades";"96";"Mil unidades";"36";"Mil unidades"
"Rondônia";"Poço raso, freático ou cacimba";"76";"Mil unidades";"70";"Mil unidades";"71";"Mil unidades";"74";"Mil unidades";"84";"Mil unidades";"72";"Mil unidades";"97";"Mil unidades";"87";"Mil unidades";"74";"Mil unidades";"73";"Mil unidades";"77";"Mil unidades";"61";"Mil unidades";"128";"Mil unidades";"60";"Mil unidades"
"Rondônia";"Fonte ou nascente";"0";"Mil unidades";"20";"Mil unidades";"0";"Mil unidades";"19";"Mil unidades";"1";"Mil unidades";"18";"Mil unidades";"0";"Mil unidades";"14";"Mil unidades";"1";"Mil unidades";"14";"Mil unidades";"1";"Mil unidades";"16";"Mil unidades";"1";"Mil unidades";"18";"Mil unidades"
"Rondônia";"Outra";"1";"Mil unidades";"0";"Mil unidades";"1";"Mil unidades";"2";"Mil unidades";"2";"Mil unidades";"2";"Mil unidades";"0";"Mil unidades";"0";"Mil unidades";"0";"Mil unidades";"1";"Mil unidades";"0";"Mil unidades";"2";"Mil unidades";"0";"Mil unidades";"0";"Mil unidades"
"Acre";"Total";"175";"Mil unidades";"51";"Mil unidades";"176";"Mil unidades";"59";"Mil unidades";"185";"Mil unidades";"65";"Mil unidades";"186";"Mil unidades";"66";"Mil unidades";"211";"Mil unidades";"54";"Mil unidades";"211";"Mil unidades";"58";"Mil unidades";"225";"Mil unidades";"56";"Mil unidades"
"Acre";"Rede geral de distribuição";"119";"Mil unidades";"2";"Mil unidades";"122";"Mil unidades";"3";"Mil unidades";"135";"Mil unidades";"1";"Mil unidades";"136";"Mil unidades";"2";"Mil unidades";"154";"Mil unidades";"2";"Mil unidades";"151";"Mil unidades";"4";"Mil unidades";"169";"Mil unidades";"2";"Mil unidades"
"Acre";"Poço profundo ou artesiano";"29";"Mil unidades";"9";"Mil unidades";"23";"Mil unidades";"4";"Mil unidades";"25";"Mil unidades";"15";"Mil unidades";"28";"Mil unidades";"12";"Mil unidades";"36";"Mil unidades";"9";"Mil unidades";"37";"Mil unidades";"9";"Mil unidades";"35";"Mil unidades";"8";"Mil unidades"
"Acre";"Poço raso, freático ou cacimba";"25";"Mil unidades";"19";"Mil unidades";"29";"Mil unidades";"28";"Mil unidades";"24";"Mil unidades";"23";"Mil unidades";"20";"Mil unidades";"27";"Mil unidades";"18";"Mil unidades";"26";"Mil unidades";"22";"Mil unidades";"20";"Mil unidades";"21";"Mil unidades";"29";"Mil unidades"
