"Tabela 6732 - Domicílios e Moradores com rede geral de distribuição de água como principal forma de abastecimento, por situação do domicílio e disponibilidade da rede geral"
"Variável - Domicílios com rede geral de distribuição de água como principal forma de abastecimento de água"
"Unidade da Federação";"Disponibilidade da rede geral de distribuição de água";"Ano x Situação do domicílio"
"Unidade da Federação";"Disponibilidade da rede geral de distribuição de água";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Disponibilidade da rede geral de distribuição de água";"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural"
"Rondônia";"Total";"226";"Mil unidades";"5";"Mil unidades";"249";"Mil unidades";"4";"Mil unidades";"238";"Mil unidades";"2";"Mil unidades";"256";"Mil unidades";"1";"Mil unidades";"284";"Mil unidades";"2";"Mil unidades";"334";"Mil unidades";"4";"Mil unidades";"301";"Mil unidades";"4";"Mil unidades"
"Rondônia";"Diária";"207";"Mil unidades";"5";"Mil unidades";"228";"Mil unidades";"3";"Mil unidades";"216";"Mil unidades";"2";"Mil unidades";"229";"Mil unidades";"1";"Mil unidades";"249";"Mil unidades";"2";"Mil unidades";"306";"Mil unidades";"4";"Mil unidades";"270";"Mil unidades";"4";"Mil unidades"
"Rondônia";"De 4 a 6 dias na semana";"11";"Mil unidades";"-";"Mil unidades";"16";"Mil unidades";"0";"Mil unidades";"19";"Mil unidades";"-";"Mil unidades";"20";"Mil unidades";"-";"Mil unidades";"19";"Mil unidades";"-";"Mil unidades";"18";"Mil unidades";"-";"Mil unidades";"22";"Mil unidades";"0";"Mil unidades"
"Rondônia";"De 1 a 3 dias na semana";"7";"Mil unidades";"-";"Mil unidades";"5";"Mil unidades";"-";"Mil unidades";"3";"Mil unidades";"-";"Mil unidades";"6";"Mil unidades";"-";"Mil unidades";"15";"Mil unidades";"-";"Mil unidades";"8";"Mil unidades";"-";"Mil unidades";"7";"Mil unidades";"-";"Mil unidades"
"Acre";"Total";"119";"Mil unidades";"2";"Mil unidades";"122";"Mil unidades";"3";"Mil unidades";"135";"Mil unidades";"1";"Mil unidades";"136";"Mil unidades";"2";"Mil unidades";"154";"Mil unidades";"2";"Mil unidades";"151";"Mil unidades";"4";"Mil unidades";"169";"Mil unidades";"2";"Mil unidades"
"Acre";"Diária";"49";"Mil unidades";"1";"Mil unidades";"52";"Mil unidades";"1";"Mil unidades";"54";"Mil unidades";"0";"Mil unidades";"50";"Mil unidades";"1";"Mil unidades";"73";"Mil unidades";"2";"Mil unidades";"83";"Mil unidades";"3";"Mil unidades";"82";"Mil unidades";"1";"Mil unidades"
"Acre";"De 4 a 6 dias na semana";"21";"Mil unidades";"1";"Mil unidades";"30";"Mil unidades";"1";"Mil unidades";"34";"Mil unidades";"0";"Mil unidades";"28";"Mil unidades";"1";"Mil unidades";"30";"Mil unidades";"0";"Mil unidades";"31";"Mil unidades";"1";"Mil unidades";"35";"Mil unidades";"1";"Mil unidades"
"Acre";"De 1 a 3 dias na semana";"49";"Mil unidades";"1";"Mil unidades";"39";"Mil unidades";"1";"Mil unidades";"47";"Mil unidades";"0";"Mil unidades";"57";"Mil unidades";"1";"Mil unidades";"50";"Mil unidades";"-";"Mil unidades";"36";"Mil unidades";"0";"Mil unidades";"52";"Mil unidades";"0";"Mil unidades"
"Amazonas";"Total";"703";"Mil unidades";"32";"Mil unidades";"773";"Mil unidades";"14";"Mil unidades";"764";"Mil unidades";"11";"Mil unidades";"765";"Mil unidades";"13";"Mil unidades";"814";"Mil unidades";"19";"Mil unidades";"889";"Mil unidades";"19";"Mil unidades";"942";"Mil unidades";"20";"Mil unidades"
"Amazonas";"Diária";"634";"Mil unidades";"29";"Mil unidades";"706";"Mil unidades";"11";"Mil unidades";"718";"Mil unidades";"9";"Mil unidades";"725";"Mil unidades";"13";"Mil unidades";"736";"Mil unidades";"18";"Mil unidades";"828";"Mil unidades";"19";"Mil unidades";"904";"Mil unidades";"18";"Mil unidades"
