"Tabela 6733 - Domicílios e Moradores com água canalizada, por situação do domicílio"
"Variável - Domicílios com água canalizada"
"Unidade da Federação";"Ano x Situação do domicílio"
"Unidade da Federação";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural"
"Rondônia";"399";"Mil unidades";"131";"Mil unidades";"413";"Mil unidades";"123";"Mil unidades";"421";"Mil unidades";"122";"Mil unidades";"424";"Mil unidades";"125";"Mil unidades";"459";"Mil unidades";"128";"Mil unidades";"519";"Mil unidades";"125";"Mil unidades";"527";"Mil unidades";"118";"Mil unidades"
"Acre";"169";"Mil unidades";"29";"Mil unidades";"169";"Mil unidades";"30";"Mil unidades";"181";"Mil unidades";"42";"Mil unidades";"184";"Mil unidades";"44";"Mil unidades";"209";"Mil unidades";"37";"Mil unidades";"209";"Mil unidades";"38";"Mil unidades";"224";"Mil unidades";"43";"Mil unidades"
"Amazonas";"826";"Mil unidades";"85";"Mil unidades";"875";"Mil unidades";"87";"Mil unidades";"897";"Mil unidades";"83";"Mil unidades";"885";"Mil unidades";"74";"Mil unidades";"974";"Mil unidades";"88";"Mil unidades";"1023";"Mil unidades";"88";"Mil unidades";"1072";"Mil unidades";"86";"Mil unidades"
"Roraima";"116";"Mil unidades";"19";"Mil unidades";"121";"Mil unidades";"18";"Mil unidades";"128";"Mil unidades";"21";"Mil unidades";"125";"Mil unidades";"21";"Mil unidades";"147";"Mil unidades";"22";"Mil unidades";"152";"Mil unidades";"21";"Mil unidades";"166";"Mil unidades";"22";"Mil unidades"
"Pará";"1555";"Mil unidades";"474";"Mil unidades";"1594";"Mil unidades";"445";"Mil unidades";"1661";"Mil unidades";"512";"Mil unidades";"1697";"Mil unidades";"491";"Mil unidades";"1860";"Mil unidades";"509";"Mil unidades";"1960";"Mil unidades";"532";"Mil unidades";"2051";"Mil unidades";"551";"Mil unidades"
"Amapá";"176";"Mil unidades";"11";"Mil unidades";"177";"Mil unidades";"16";"Mil unidades";"177";"Mil unidades";"11";"Mil unidades";"173";"Mil unidades";"21";"Mil unidades";"191";"Mil unidades";"21";"Mil unidades";"217";"Mil unidades";"14";"Mil unidades";"211";"Mil unidades";"21";"Mil unidades"
"Tocantins";"381";"Mil unidades";"66";"Mil unidades";"386";"Mil unidades";"78";"Mil unidades";"400";"Mil unidades";"80";"Mil unidades";"407";"Mil unidades";"80";"Mil unidades";"437";"Mil unidades";"67";"Mil unidades";"453";"Mil unidades";"75";"Mil unidades";"473";"Mil unidades";"66";"Mil unidades"
"Maranhão";"1242";"Mil unidades";"487";"Mil unidades";"1264";"Mil unidades";"488";"Mil unidades";"1260";"Mil unidades";"518";"Mil unidades";"1310";"Mil unidades";"525";"Mil unidades";"1509";"Mil unidades";"470";"Mil unidades";"1604";"Mil unidades";"508";"Mil unidades";"1608";"Mil unidades";"518";"Mil unidades"
"Piauí";"649";"Mil unidades";"261";"Mil unidades";"669";"Mil unidades";"260";"Mil unidades";"655";"Mil unidades";"281";"Mil unidades";"664";"Mil unidades";"302";"Mil unidades";"713";"Mil unidades";"291";"Mil unidades";"787";"Mil unidades";"298";"Mil unidades";"811";"Mil unidades";"292";"Mil unidades"
"Ceará";"2083";"Mil unidades";"429";"Mil unidades";"2104";"Mil unidades";"474";"Mil unidades";"2182";"Mil unidades";"495";"Mil unidades";"2172";"Mil unidades";"526";"Mil unidades";"2375";"Mil unidades";"533";"Mil unidades";"2510";"Mil unidades";"579";"Mil unidades";"2544";"Mil unidades";"587";"Mil unidades"
"Rio Grande do Norte";"797";"Mil unidades";"174";"Mil unidades";"806";"Mil unidades";"173";"Mil unidades";"812";"Mil unidades";"179";"Mil unidades";"842";"Mil unidades";"184";"Mil unidades";"930";"Mil unidades";"173";"Mil unidades";"972";"Mil unidades";"185";"Mil unidades";"1020";"Mil unidades";"178";"Mil unidades"
"Paraíba";"935";"Mil unidades";"143";"Mil unidades";"937";"Mil unidades";"145";"Mil unidades";"947";"Mil unidades";"168";"Mil unidades";"988";"Mil unidades";"181";"Mil unidades";"1027";"Mil unidades";"204";"Mil unidades";"1136";"Mil unidades";"231";"Mil unidades";"1161";"Mil unidades";"220";"Mil unidades"
"Pernambuco";"2417";"Mil unidades";"313";"Mil unidades";"2390";"Mil unidades";"314";"Mil unidades";"2454";"Mil unidades";"321";"Mil unidades";"2555";"Mil unidades";"325";"Mil unidades";"2659";"Mil unidades";"329";"Mil unidades";"2869";"Mil unidades";"330";"Mil unidades";"2968";"Mil unidades";"348";"Mil unidades"
"Alagoas";"735";"Mil unidades";"162";"Mil unidades";"755";"Mil unidades";"162";"Mil unidades";"780";"Mil unidades";"170";"Mil unidades";"811";"Mil unidades";"171";"Mil unidades";"813";"Mil unidades";"154";"Mil unidades";"864";"Mil unidades";"162";"Mil unidades";"878";"Mil unidades";"152";"Mil unidades"
"Sergipe";"533";"Mil unidades";"147";"Mil unidades";"550";"Mil unidades";"137";"Mil unidades";"544";"Mil unidades";"134";"Mil unidades";"571";"Mil unidades";"133";"Mil unidades";"610";"Mil unidades";"143";"Mil unidades";"641";"Mil unidades";"138";"Mil unidades";"646";"Mil unidades";"142";"Mil unidades"
"Bahia";"3493";"Mil unidades";"1008";"Mil unidades";"3502";"Mil unidades";"1015";"Mil unidades";"3456";"Mil unidades";"1119";"Mil unidades";"3600";"Mil unidades";"1166";"Mil unidades";"3735";"Mil unidades";"1241";"Mil unidades";"3914";"Mil unidades";"1276";"Mil unidades";"4173";"Mil unidades";"1151";"Mil unidades"
"Minas Gerais";"5948";"Mil unidades";"855";"Mil unidades";"6048";"Mil unidades";"858";"Mil unidades";"6170";"Mil unidades";"878";"Mil unidades";"6273";"Mil unidades";"892";"Mil unidades";"6462";"Mil unidades";"1014";"Mil unidades";"6845";"Mil unidades";"977";"Mil unidades";"7140";"Mil unidades";"865";"Mil unidades"
"Espírito Santo";"1127";"Mil unidades";"189";"Mil unidades";"1131";"Mil unidades";"180";"Mil unidades";"1164";"Mil unidades";"184";"Mil unidades";"1176";"Mil unidades";"188";"Mil unidades";"1243";"Mil unidades";"168";"Mil unidades";"1309";"Mil unidades";"176";"Mil unidades";"1329";"Mil unidades";"177";"Mil unidades"
"Rio de Janeiro";"5933";"Mil unidades";"173";"Mil unidades";"5969";"Mil unidades";"180";"Mil unidades";"6006";"Mil unidades";"195";"Mil unidades";"6093";"Mil unidades";"176";"Mil unidades";"6233";"Mil unidades";"158";"Mil unidades";"6367";"Mil unidades";"162";"Mil unidades";"6512";"Mil unidades";"148";"Mil unidades"
"São Paulo";"14314";"Mil unidades";"628";"Mil unidades";"14336";"Mil unidades";"610";"Mil unidades";"14721";"Mil unidades";"607";"Mil unidades";"14881";"Mil unidades";"598";"Mil unidades";"15556";"Mil unidades";"558";"Mil unidades";"16319";"Mil unidades";"557";"Mil unidades";"16569";"Mil unidades";"528";"Mil unidades"
"Paraná";"3319";"Mil unidades";"461";"Mil unidades";"3333";"Mil unidades";"473";"Mil unidades";"3376";"Mil unidades";"496";"Mil unidades";"3436";"Mil unidades";"499";"Mil unidades";"3671";"Mil unidades";"484";"Mil unidades";"3775";"Mil unidades";"480";"Mil unidades";"3874";"Mil unidades";"453";"Mil unidades"
"Santa Catarina";"2027";"Mil unidades";"357";"Mil unidades";"2105";"Mil unidades";"352";"Mil unidades";"2194";"Mil unidades";"355";"Mil unidades";"2225";"Mil unidades";"353";"Mil unidades";"2365";"Mil unidades";"361";"Mil unidades";"2537";"Mil unidades";"340";"Mil unidades";"2670";"Mil unidades";"315";"Mil unidades"
"Rio Grande do Sul";"3447";"Mil unidades";"535";"Mil unidades";"3485";"Mil unidades";"532";"Mil unidades";"3524";"Mil unidades";"521";"Mil unidades";"3621";"Mil unidades";"526";"Mil unidades";"3664";"Mil unidades";"573";"Mil unidades";"3770";"Mil unidades";"562";"Mil unidades";"3843";"Mil unidades";"493";"Mil unidades"
