"Tabela 6734 - Domicílios e Moradores com banheiro de uso exclusivo, por situação do domicílio"
"Variável - Domicílios com banheiro de uso exclusivo"
"Unidade da Federação";"Ano x Situação do domicílio"
"Unidade da Federação";"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural"
"Rondônia";"415";"Mil unidades";"124";"Mil unidades";"425";"Mil unidades";"120";"Mil unidades";"425";"Mil unidades";"129";"Mil unidades";"461";"Mil unidades";"127";"Mil unidades";"521";"Mil unidades";"125";"Mil unidades";"526";"Mil unidades";"116";"Mil unidades"
"Acre";"166";"Mil unidades";"28";"Mil unidades";"171";"Mil unidades";"30";"Mil unidades";"168";"Mil unidades";"32";"Mil unidades";"199";"Mil unidades";"32";"Mil unidades";"202";"Mil unidades";"35";"Mil unidades";"212";"Mil unidades";"32";"Mil unidades"
"Amazonas";"861";"Mil unidades";"94";"Mil unidades";"864";"Mil unidades";"85";"Mil unidades";"861";"Mil unidades";"79";"Mil unidades";"955";"Mil unidades";"92";"Mil unidades";"993";"Mil unidades";"78";"Mil unidades";"1037";"Mil unidades";"75";"Mil unidades"
"Roraima";"120";"Mil unidades";"18";"Mil unidades";"126";"Mil unidades";"19";"Mil unidades";"122";"Mil unidades";"21";"Mil unidades";"147";"Mil unidades";"21";"Mil unidades";"152";"Mil unidades";"23";"Mil unidades";"164";"Mil unidades";"21";"Mil unidades"
"Pará";"1578";"Mil unidades";"415";"Mil unidades";"1640";"Mil unidades";"421";"Mil unidades";"1689";"Mil unidades";"411";"Mil unidades";"1844";"Mil unidades";"440";"Mil unidades";"1949";"Mil unidades";"415";"Mil unidades";"2021";"Mil unidades";"429";"Mil unidades"
"Amapá";"170";"Mil unidades";"11";"Mil unidades";"181";"Mil unidades";"11";"Mil unidades";"171";"Mil unidades";"24";"Mil unidades";"193";"Mil unidades";"23";"Mil unidades";"216";"Mil unidades";"14";"Mil unidades";"213";"Mil unidades";"20";"Mil unidades"
"Tocantins";"385";"Mil unidades";"73";"Mil unidades";"398";"Mil unidades";"78";"Mil unidades";"405";"Mil unidades";"75";"Mil unidades";"437";"Mil unidades";"68";"Mil unidades";"452";"Mil unidades";"71";"Mil unidades";"469";"Mil unidades";"64";"Mil unidades"
"Maranhão";"1215";"Mil unidades";"415";"Mil unidades";"1213";"Mil unidades";"392";"Mil unidades";"1282";"Mil unidades";"427";"Mil unidades";"1470";"Mil unidades";"370";"Mil unidades";"1563";"Mil unidades";"404";"Mil unidades";"1580";"Mil unidades";"419";"Mil unidades"
"Piauí";"660";"Mil unidades";"222";"Mil unidades";"646";"Mil unidades";"226";"Mil unidades";"654";"Mil unidades";"250";"Mil unidades";"702";"Mil unidades";"244";"Mil unidades";"780";"Mil unidades";"268";"Mil unidades";"803";"Mil unidades";"273";"Mil unidades"
"Ceará";"2123";"Mil unidades";"554";"Mil unidades";"2193";"Mil unidades";"562";"Mil unidades";"2166";"Mil unidades";"553";"Mil unidades";"2387";"Mil unidades";"564";"Mil unidades";"2519";"Mil unidades";"590";"Mil unidades";"2553";"Mil unidades";"600";"Mil unidades"
