"Tabela 6735 - Domicílios e Moradores com banheiro, sanitário ou buraco para dejeções, por situação do domicílio e tipo de esgotamento sanitário (de 2016 até 2018)"
"Variável - Domicílios com banheiro, sanitário ou buraco para dejeções"
"Unidade da Federação";"Tipo de esgotamento sanitário";"Ano x Situação do domicílio"
"Unidade da Federação";"Tipo de esgotamento sanitário";"2016";;;;"2017";;;;"2018"
"Unidade da Federação";"Tipo de esgotamento sanitário";"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural"
"Rondônia";"Total";"399";"Mil unidades";"132";"Mil unidades";"417";"Mil unidades";"127";"Mil unidades";"426";"Mil unidades";"123";"Mil unidades"
"Rondônia";"Rede geral, rede pluvial ou fossa ligada à rede";"59";"Mil unidades";"2";"Mil unidades";"53";"Mil unidades";"1";"Mil unidades";"52";"Mil unidades";"1";"Mil unidades"
"Rondônia";"Fossa não ligada à rede";"338";"Mil unidades";"128";"Mil unidades";"361";"Mil unidades";"122";"Mil unidades";"372";"Mil unidades";"118";"Mil unidades"
"Rondônia";"Outro tipo";"2";"Mil unidades";"3";"Mil unidades";"3";"Mil unidades";"5";"Mil unidades";"3";"Mil unidades";"4";"Mil unidades"
"Acre";"Total";"167";"Mil unidades";"38";"Mil unidades";"174";"Mil unidades";"44";"Mil unidades";"183";"Mil unidades";"52";"Mil unidades"
"Acre";"Rede geral, rede pluvial ou fossa ligada à rede";"72";"Mil unidades";"2";"Mil unidades";"79";"Mil unidades";"1";"Mil unidades";"90";"Mil unidades";"0";"Mil unidades"
"Acre";"Fossa não ligada à rede";"79";"Mil unidades";"25";"Mil unidades";"75";"Mil unidades";"25";"Mil unidades";"71";"Mil unidades";"34";"Mil unidades"
"Acre";"Outro tipo";"16";"Mil unidades";"11";"Mil unidades";"20";"Mil unidades";"18";"Mil unidades";"21";"Mil unidades";"18";"Mil unidades"
"Amazonas";"Total";"819";"Mil unidades";"122";"Mil unidades";"878";"Mil unidades";"142";"Mil unidades";"898";"Mil unidades";"137";"Mil unidades"
"Amazonas";"Rede geral, rede pluvial ou fossa ligada à rede";"314";"Mil unidades";"4";"Mil unidades";"383";"Mil unidades";"2";"Mil unidades";"365";"Mil unidades";"0";"Mil unidades"
"Amazonas";"Fossa não ligada à rede";"431";"Mil unidades";"54";"Mil unidades";"418";"Mil unidades";"85";"Mil unidades";"463";"Mil unidades";"85";"Mil unidades"
"Amazonas";"Outro tipo";"74";"Mil unidades";"65";"Mil unidades";"77";"Mil unidades";"55";"Mil unidades";"71";"Mil unidades";"51";"Mil unidades"
"Roraima";"Total";"115";"Mil unidades";"20";"Mil unidades";"122";"Mil unidades";"20";"Mil unidades";"128";"Mil unidades";"23";"Mil unidades"
"Roraima";"Rede geral, rede pluvial ou fossa ligada à rede";"38";"Mil unidades";"1";"Mil unidades";"39";"Mil unidades";"0";"Mil unidades";"62";"Mil unidades";"0";"Mil unidades"
"Roraima";"Fossa não ligada à rede";"77";"Mil unidades";"17";"Mil unidades";"82";"Mil unidades";"16";"Mil unidades";"65";"Mil unidades";"21";"Mil unidades"
"Roraima";"Outro tipo";"1";"Mil unidades";"2";"Mil unidades";"1";"Mil unidades";"3";"Mil unidades";"1";"Mil unidades";"2";"Mil unidades"
"Pará";"Total";"1568";"Mil unidades";"597";"Mil unidades";"1641";"Mil unidades";"600";"Mil unidades";"1702";"Mil unidades";"612";"Mil unidades"
"Pará";"Rede geral, rede pluvial ou fossa ligada à rede";"227";"Mil unidades";"16";"Mil unidades";"259";"Mil unidades";"13";"Mil unidades";"327";"Mil unidades";"17";"Mil unidades"
"Pará";"Fossa não ligada à rede";"1266";"Mil unidades";"409";"Mil unidades";"1296";"Mil unidades";"454";"Mil unidades";"1294";"Mil unidades";"434";"Mil unidades"
"Pará";"Outro tipo";"75";"Mil unidades";"172";"Mil unidades";"87";"Mil unidades";"133";"Mil unidades";"80";"Mil unidades";"162";"Mil unidades"
"Amapá";"Total";"175";"Mil unidades";"15";"Mil unidades";"178";"Mil unidades";"20";"Mil unidades";"182";"Mil unidades";"12";"Mil unidades"
"Amapá";"Rede geral, rede pluvial ou fossa ligada à rede";"18";"Mil unidades";"-";"Mil unidades";"22";"Mil unidades";"0";"Mil unidades";"26";"Mil unidades";"0";"Mil unidades"
"Amapá";"Fossa não ligada à rede";"127";"Mil unidades";"11";"Mil unidades";"137";"Mil unidades";"14";"Mil unidades";"124";"Mil unidades";"9";"Mil unidades"
"Amapá";"Outro tipo";"30";"Mil unidades";"5";"Mil unidades";"19";"Mil unidades";"6";"Mil unidades";"32";"Mil unidades";"3";"Mil unidades"
"Tocantins";"Total";"379";"Mil unidades";"65";"Mil unidades";"386";"Mil unidades";"78";"Mil unidades";"400";"Mil unidades";"83";"Mil unidades"
"Tocantins";"Rede geral, rede pluvial ou fossa ligada à rede";"144";"Mil unidades";"0";"Mil unidades";"143";"Mil unidades";"1";"Mil unidades";"152";"Mil unidades";"1";"Mil unidades"
"Tocantins";"Fossa não ligada à rede";"234";"Mil unidades";"62";"Mil unidades";"239";"Mil unidades";"69";"Mil unidades";"246";"Mil unidades";"69";"Mil unidades"
"Tocantins";"Outro tipo";"1";"Mil unidades";"3";"Mil unidades";"3";"Mil unidades";"9";"Mil unidades";"2";"Mil unidades";"13";"Mil unidades"
"Maranhão";"Total";"1245";"Mil unidades";"492";"Mil unidades";"1297";"Mil unidades";"560";"Mil unidades";"1295";"Mil unidades";"567";"Mil unidades"
"Maranhão";"Rede geral, rede pluvial ou fossa ligada à rede";"310";"Mil unidades";"29";"Mil unidades";"349";"Mil unidades";"30";"Mil unidades";"390";"Mil unidades";"54";"Mil unidades"
"Maranhão";"Fossa não ligada à rede";"888";"Mil unidades";"350";"Mil unidades";"892";"Mil unidades";"366";"Mil unidades";"829";"Mil unidades";"352";"Mil unidades"
"Maranhão";"Outro tipo";"47";"Mil unidades";"113";"Mil unidades";"56";"Mil unidades";"165";"Mil unidades";"76";"Mil unidades";"161";"Mil unidades"
"Piauí";"Total";"642";"Mil unidades";"238";"Mil unidades";"662";"Mil unidades";"239";"Mil unidades";"650";"Mil unidades";"249";"Mil unidades"
"Piauí";"Rede geral, rede pluvial ou fossa ligada à rede";"70";"Mil unidades";"2";"Mil unidades";"84";"Mil unidades";"2";"Mil unidades";"68";"Mil unidades";"1";"Mil unidades"
"Piauí";"Fossa não ligada à rede";"569";"Mil unidades";"223";"Mil unidades";"576";"Mil unidades";"225";"Mil unidades";"579";"Mil unidades";"234";"Mil unidades"
"Piauí";"Outro tipo";"2";"Mil unidades";"14";"Mil unidades";"2";"Mil unidades";"12";"Mil unidades";"4";"Mil unidades";"13";"Mil unidades"
"Ceará";"Total";"2082";"Mil unidades";"564";"Mil unidades";"2142";"Mil unidades";"602";"Mil unidades";"2209";"Mil unidades";"625";"Mil unidades"
"Ceará";"Rede geral, rede pluvial ou fossa ligada à rede";"1203";"Mil unidades";"32";"Mil unidades";"1208";"Mil unidades";"30";"Mil unidades";"1215";"Mil unidades";"20";"Mil unidades"
"Ceará";"Fossa não ligada à rede";"850";"Mil unidades";"500";"Mil unidades";"903";"Mil unidades";"535";"Mil unidades";"957";"Mil unidades";"564";"Mil unidades"
"Ceará";"Outro tipo";"29";"Mil unidades";"32";"Mil unidades";"31";"Mil unidades";"36";"Mil unidades";"38";"Mil unidades";"41";"Mil unidades"
"Rio Grande do Norte";"Total";"807";"Mil unidades";"220";"Mil unidades";"815";"Mil unidades";"217";"Mil unidades";"821";"Mil unidades";"221";"Mil unidades"
"Rio Grande do Norte";"Rede geral, rede pluvial ou fossa ligada à rede";"223";"Mil unidades";"9";"Mil unidades";"254";"Mil unidades";"8";"Mil unidades";"238";"Mil unidades";"4";"Mil unidades"
"Rio Grande do Norte";"Fossa não ligada à rede";"578";"Mil unidades";"206";"Mil unidades";"556";"Mil unidades";"203";"Mil unidades";"575";"Mil unidades";"210";"Mil unidades"
"Rio Grande do Norte";"Outro tipo";"5";"Mil unidades";"6";"Mil unidades";"5";"Mil unidades";"5";"Mil unidades";"8";"Mil unidades";"7";"Mil unidades"
"Paraíba";"Total";"953";"Mil unidades";"240";"Mil unidades";"971";"Mil unidades";"250";"Mil unidades";"980";"Mil unidades";"260";"Mil unidades"
"Paraíba";"Rede geral, rede pluvial ou fossa ligada à rede";"627";"Mil unidades";"19";"Mil unidades";"612";"Mil unidades";"6";"Mil unidades";"617";"Mil unidades";"16";"Mil unidades"
"Paraíba";"Fossa não ligada à rede";"305";"Mil unidades";"186";"Mil unidades";"336";"Mil unidades";"206";"Mil unidades";"335";"Mil unidades";"209";"Mil unidades"
"Paraíba";"Outro tipo";"21";"Mil unidades";"35";"Mil unidades";"23";"Mil unidades";"38";"Mil unidades";"28";"Mil unidades";"35";"Mil unidades"
"Pernambuco";"Total";"2456";"Mil unidades";"468";"Mil unidades";"2470";"Mil unidades";"485";"Mil unidades";"2514";"Mil unidades";"490";"Mil unidades"
"Pernambuco";"Rede geral, rede pluvial ou fossa ligada à rede";"1682";"Mil unidades";"44";"Mil unidades";"1765";"Mil unidades";"43";"Mil unidades";"1643";"Mil unidades";"36";"Mil unidades"
"Pernambuco";"Fossa não ligada à rede";"693";"Mil unidades";"361";"Mil unidades";"640";"Mil unidades";"373";"Mil unidades";"757";"Mil unidades";"393";"Mil unidades"
"Pernambuco";"Outro tipo";"81";"Mil unidades";"64";"Mil unidades";"65";"Mil unidades";"69";"Mil unidades";"114";"Mil unidades";"62";"Mil unidades"
"Alagoas";"Total";"735";"Mil unidades";"218";"Mil unidades";"761";"Mil unidades";"230";"Mil unidades";"789";"Mil unidades";"237";"Mil unidades"
"Alagoas";"Rede geral, rede pluvial ou fossa ligada à rede";"303";"Mil unidades";"15";"Mil unidades";"371";"Mil unidades";"14";"Mil unidades";"449";"Mil unidades";"20";"Mil unidades"
"Alagoas";"Fossa não ligada à rede";"396";"Mil unidades";"189";"Mil unidades";"368";"Mil unidades";"192";"Mil unidades";"313";"Mil unidades";"195";"Mil unidades"
"Alagoas";"Outro tipo";"36";"Mil unidades";"14";"Mil unidades";"22";"Mil unidades";"24";"Mil unidades";"27";"Mil unidades";"21";"Mil unidades"
"Sergipe";"Total";"540";"Mil unidades";"175";"Mil unidades";"558";"Mil unidades";"170";"Mil unidades";"553";"Mil unidades";"165";"Mil unidades"
"Sergipe";"Rede geral, rede pluvial ou fossa ligada à rede";"377";"Mil unidades";"24";"Mil unidades";"374";"Mil unidades";"17";"Mil unidades";"359";"Mil unidades";"23";"Mil unidades"
"Sergipe";"Fossa não ligada à rede";"158";"Mil unidades";"146";"Mil unidades";"171";"Mil unidades";"140";"Mil unidades";"179";"Mil unidades";"130";"Mil unidades"
"Sergipe";"Outro tipo";"5";"Mil unidades";"5";"Mil unidades";"13";"Mil unidades";"13";"Mil unidades";"15";"Mil unidades";"13";"Mil unidades"
"Bahia";"Total";"3483";"Mil unidades";"1087";"Mil unidades";"3516";"Mil unidades";"1170";"Mil unidades";"3480";"Mil unidades";"1256";"Mil unidades"
"Bahia";"Rede geral, rede pluvial ou fossa ligada à rede";"2562";"Mil unidades";"81";"Mil unidades";"2507";"Mil unidades";"124";"Mil unidades";"2559";"Mil unidades";"120";"Mil unidades"
"Bahia";"Fossa não ligada à rede";"831";"Mil unidades";"921";"Mil unidades";"927";"Mil unidades";"932";"Mil unidades";"831";"Mil unidades";"1024";"Mil unidades"
"Bahia";"Outro tipo";"90";"Mil unidades";"86";"Mil unidades";"83";"Mil unidades";"114";"Mil unidades";"90";"Mil unidades";"113";"Mil unidades"
"Minas Gerais";"Total";"5947";"Mil unidades";"842";"Mil unidades";"6049";"Mil unidades";"847";"Mil unidades";"6172";"Mil unidades";"867";"Mil unidades"
"Minas Gerais";"Rede geral, rede pluvial ou fossa ligada à rede";"5449";"Mil unidades";"84";"Mil unidades";"5652";"Mil unidades";"86";"Mil unidades";"5724";"Mil unidades";"67";"Mil unidades"
"Minas Gerais";"Fossa não ligada à rede";"384";"Mil unidades";"579";"Mil unidades";"318";"Mil unidades";"591";"Mil unidades";"357";"Mil unidades";"627";"Mil unidades"
