"Tabela 6736 - Domicílios e Moradores, por situação do domicílio e destino do lixo"
"Variável - Domicílios"
"Unidade da Federação";"Destino do lixo";"Ano x Situação do domicílio"
"Unidade da Federação";"Destino do lixo";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Destino do lixo";"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural"
"Rondônia";"Total";"401";"Mil unidades";"135";"Mil unidades";"418";"Mil unidades";"128";"Mil unidades";"426";"Mil unidades";"124";"Mil unidades";"426";"Mil unidades";"131";"Mil unidades";"461";"Mil unidades";"131";"Mil unidades";"521";"Mil unidades";"127";"Mil unidades";"527";"Mil unidades";"118";"Mil unidades"
"Rondônia";"Coletado diretamente por serviço de limpeza";"343";"Mil unidades";"26";"Mil unidades";"364";"Mil unidades";"12";"Mil unidades";"343";"Mil unidades";"6";"Mil unidades";"361";"Mil unidades";"5";"Mil unidades";"398";"Mil unidades";"8";"Mil unidades";"499";"Mil unidades";"10";"Mil unidades";"515";"Mil unidades";"8";"Mil unidades"
"Rondônia";"Coletado em caçamba de serviço de limpeza";"50";"Mil unidades";"3";"Mil unidades";"49";"Mil unidades";"3";"Mil unidades";"78";"Mil unidades";"2";"Mil unidades";"63";"Mil unidades";"5";"Mil unidades";"54";"Mil unidades";"2";"Mil unidades";"19";"Mil unidades";"3";"Mil unidades";"9";"Mil unidades";"1";"Mil unidades"
"Rondônia";"Queimado (na propriedade)";"6";"Mil unidades";"96";"Mil unidades";"4";"Mil unidades";"105";"Mil unidades";"4";"Mil unidades";"100";"Mil unidades";"2";"Mil unidades";"106";"Mil unidades";"6";"Mil unidades";"108";"Mil unidades";"1";"Mil unidades";"99";"Mil unidades";"2";"Mil unidades";"96";"Mil unidades"
"Rondônia";"Outro destino";"2";"Mil unidades";"9";"Mil unidades";"1";"Mil unidades";"9";"Mil unidades";"1";"Mil unidades";"16";"Mil unidades";"1";"Mil unidades";"17";"Mil unidades";"2";"Mil unidades";"12";"Mil unidades";"1";"Mil unidades";"15";"Mil unidades";"-";"Mil unidades";"13";"Mil unidades"
"Acre";"Total";"175";"Mil unidades";"51";"Mil unidades";"176";"Mil unidades";"59";"Mil unidades";"185";"Mil unidades";"65";"Mil unidades";"186";"Mil unidades";"66";"Mil unidades";"211";"Mil unidades";"54";"Mil unidades";"211";"Mil unidades";"58";"Mil unidades";"225";"Mil unidades";"56";"Mil unidades"
"Acre";"Coletado diretamente por serviço de limpeza";"142";"Mil unidades";"7";"Mil unidades";"145";"Mil unidades";"9";"Mil unidades";"158";"Mil unidades";"9";"Mil unidades";"162";"Mil unidades";"7";"Mil unidades";"182";"Mil unidades";"7";"Mil unidades";"177";"Mil unidades";"8";"Mil unidades";"188";"Mil unidades";"4";"Mil unidades"
"Acre";"Coletado em caçamba de serviço de limpeza";"30";"Mil unidades";"3";"Mil unidades";"28";"Mil unidades";"3";"Mil unidades";"24";"Mil unidades";"3";"Mil unidades";"21";"Mil unidades";"5";"Mil unidades";"25";"Mil unidades";"5";"Mil unidades";"31";"Mil unidades";"5";"Mil unidades";"33";"Mil unidades";"5";"Mil unidades"
"Acre";"Queimado (na propriedade)";"2";"Mil unidades";"34";"Mil unidades";"2";"Mil unidades";"42";"Mil unidades";"2";"Mil unidades";"45";"Mil unidades";"2";"Mil unidades";"46";"Mil unidades";"2";"Mil unidades";"38";"Mil unidades";"2";"Mil unidades";"39";"Mil unidades";"3";"Mil unidades";"41";"Mil unidades"
"Acre";"Outro destino";"2";"Mil unidades";"7";"Mil unidades";"1";"Mil unidades";"6";"Mil unidades";"1";"Mil unidades";"8";"Mil unidades";"1";"Mil unidades";"8";"Mil unidades";"1";"Mil unidades";"4";"Mil unidades";"1";"Mil unidades";"6";"Mil unidades";"1";"Mil unidades";"5";"Mil unidades"
"Amazonas";"Total";"837";"Mil unidades";"156";"Mil unidades";"880";"Mil unidades";"159";"Mil unidades";"903";"Mil unidades";"151";"Mil unidades";"895";"Mil unidades";"160";"Mil unidades";"976";"Mil unidades";"160";"Mil unidades";"1032";"Mil unidades";"155";"Mil unidades";"1077";"Mil unidades";"165";"Mil unidades"
"Amazonas";"Coletado diretamente por serviço de limpeza";"755";"Mil unidades";"12";"Mil unidades";"797";"Mil unidades";"13";"Mil unidades";"807";"Mil unidades";"5";"Mil unidades";"790";"Mil unidades";"11";"Mil unidades";"863";"Mil unidades";"9";"Mil unidades";"967";"Mil unidades";"7";"Mil unidades";"1023";"Mil unidades";"14";"Mil unidades"
"Amazonas";"Coletado em caçamba de serviço de limpeza";"48";"Mil unidades";"3";"Mil unidades";"47";"Mil unidades";"2";"Mil unidades";"66";"Mil unidades";"17";"Mil unidades";"74";"Mil unidades";"7";"Mil unidades";"93";"Mil unidades";"7";"Mil unidades";"49";"Mil unidades";"5";"Mil unidades";"44";"Mil unidades";"1";"Mil unidades"
"Amazonas";"Queimado (na propriedade)";"29";"Mil unidades";"133";"Mil unidades";"27";"Mil unidades";"130";"Mil unidades";"24";"Mil unidades";"121";"Mil unidades";"13";"Mil unidades";"126";"Mil unidades";"17";"Mil unidades";"134";"Mil unidades";"11";"Mil unidades";"138";"Mil unidades";"7";"Mil unidades";"142";"Mil unidades"
"Amazonas";"Outro destino";"5";"Mil unidades";"8";"Mil unidades";"8";"Mil unidades";"14";"Mil unidades";"7";"Mil unidades";"8";"Mil unidades";"17";"Mil unidades";"16";"Mil unidades";"3";"Mil unidades";"10";"Mil unidades";"5";"Mil unidades";"5";"Mil unidades";"3";"Mil unidades";"8";"Mil unidades"
"Roraima";"Total";"116";"Mil unidades";"21";"Mil unidades";"122";"Mil unidades";"21";"Mil unidades";"128";"Mil unidades";"24";"Mil unidades";"125";"Mil unidades";"25";"Mil unidades";"147";"Mil unidades";"25";"Mil unidades";"153";"Mil unidades";"25";"Mil unidades";"167";"Mil unidades";"25";"Mil unidades"
"Roraima";"Coletado diretamente por serviço de limpeza";"97";"Mil unidades";"2";"Mil unidades";"100";"Mil unidades";"4";"Mil unidades";"124";"Mil unidades";"1";"Mil unidades";"120";"Mil unidades";"6";"Mil unidades";"146";"Mil unidades";"6";"Mil unidades";"150";"Mil unidades";"4";"Mil unidades";"162";"Mil unidades";"4";"Mil unidades"
"Roraima";"Coletado em caçamba de serviço de limpeza";"17";"Mil unidades";"2";"Mil unidades";"20";"Mil unidades";"1";"Mil unidades";"3";"Mil unidades";"1";"Mil unidades";"2";"Mil unidades";"0";"Mil unidades";"1";"Mil unidades";"1";"Mil unidades";"1";"Mil unidades";"0";"Mil unidades";"3";"Mil unidades";"0";"Mil unidades"
"Roraima";"Queimado (na propriedade)";"1";"Mil unidades";"15";"Mil unidades";"1";"Mil unidades";"15";"Mil unidades";"1";"Mil unidades";"18";"Mil unidades";"0";"Mil unidades";"16";"Mil unidades";"1";"Mil unidades";"16";"Mil unidades";"1";"Mil unidades";"18";"Mil unidades";"1";"Mil unidades";"18";"Mil unidades"
"Roraima";"Outro destino";"1";"Mil unidades";"3";"Mil unidades";"1";"Mil unidades";"1";"Mil unidades";"0";"Mil unidades";"3";"Mil unidades";"3";"Mil unidades";"3";"Mil unidades";"-";"Mil unidades";"2";"Mil unidades";"1";"Mil unidades";"2";"Mil unidades";"0";"Mil unidades";"3";"Mil unidades"
"Pará";"Total";"1600";"Mil unidades";"645";"Mil unidades";"1655";"Mil unidades";"624";"Mil unidades";"1711";"Mil unidades";"639";"Mil unidades";"1753";"Mil unidades";"672";"Mil unidades";"1907";"Mil unidades";"627";"Mil unidades";"1996";"Mil unidades";"638";"Mil unidades";"2077";"Mil unidades";"642";"Mil unidades"
"Pará";"Coletado diretamente por serviço de limpeza";"1379";"Mil unidades";"134";"Mil unidades";"1392";"Mil unidades";"131";"Mil unidades";"1511";"Mil unidades";"108";"Mil unidades";"1615";"Mil unidades";"116";"Mil unidades";"1738";"Mil unidades";"123";"Mil unidades";"1864";"Mil unidades";"121";"Mil unidades";"1926";"Mil unidades";"155";"Mil unidades"
"Pará";"Coletado em caçamba de serviço de limpeza";"158";"Mil unidades";"17";"Mil unidades";"207";"Mil unidades";"20";"Mil unidades";"133";"Mil unidades";"37";"Mil unidades";"92";"Mil unidades";"42";"Mil unidades";"119";"Mil unidades";"27";"Mil unidades";"90";"Mil unidades";"18";"Mil unidades";"117";"Mil unidades";"16";"Mil unidades"
