"Tabela 6737 - Domicílios e Moradores com energia elétrica, por situação do domicílio e fonte de energia elétrica"
"Variável - Domicílios com energia elétrica"
"Unidade da Federação";"Fonte de energia elétrica";"Ano x Situação do domicílio"
"Unidade da Federação";"Fonte de energia elétrica";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Fonte de energia elétrica";"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural"
"Rondônia";"Rede geral ou fonte alternativa";"401";"Mil unidades";"133";"Mil unidades";"417";"Mil unidades";"128";"Mil unidades";"425";"Mil unidades";"124";"Mil unidades";"426";"Mil unidades";"131";"Mil unidades";"459";"Mil unidades";"130";"Mil unidades";"521";"Mil unidades";"126";"Mil unidades";"525";"Mil unidades";"118";"Mil unidades"
"Rondônia";"Rede geral";"401";"Mil unidades";"131";"Mil unidades";"417";"Mil unidades";"125";"Mil unidades";"422";"Mil unidades";"124";"Mil unidades";"424";"Mil unidades";"130";"Mil unidades";"456";"Mil unidades";"129";"Mil unidades";"519";"Mil unidades";"126";"Mil unidades";"521";"Mil unidades";"116";"Mil unidades"
"Acre";"Rede geral ou fonte alternativa";"175";"Mil unidades";"43";"Mil unidades";"176";"Mil unidades";"51";"Mil unidades";"184";"Mil unidades";"57";"Mil unidades";"186";"Mil unidades";"59";"Mil unidades";"210";"Mil unidades";"50";"Mil unidades";"211";"Mil unidades";"52";"Mil unidades";"225";"Mil unidades";"53";"Mil unidades"
"Acre";"Rede geral";"175";"Mil unidades";"36";"Mil unidades";"176";"Mil unidades";"43";"Mil unidades";"184";"Mil unidades";"48";"Mil unidades";"186";"Mil unidades";"51";"Mil unidades";"210";"Mil unidades";"42";"Mil unidades";"210";"Mil unidades";"45";"Mil unidades";"224";"Mil unidades";"45";"Mil unidades"
"Amazonas";"Rede geral ou fonte alternativa";"837";"Mil unidades";"145";"Mil unidades";"880";"Mil unidades";"146";"Mil unidades";"900";"Mil unidades";"137";"Mil unidades";"892";"Mil unidades";"146";"Mil unidades";"975";"Mil unidades";"148";"Mil unidades";"1028";"Mil unidades";"140";"Mil unidades";"1074";"Mil unidades";"155";"Mil unidades"
"Amazonas";"Rede geral";"837";"Mil unidades";"116";"Mil unidades";"880";"Mil unidades";"120";"Mil unidades";"899";"Mil unidades";"113";"Mil unidades";"892";"Mil unidades";"119";"Mil unidades";"975";"Mil unidades";"124";"Mil unidades";"1028";"Mil unidades";"114";"Mil unidades";"1072";"Mil unidades";"121";"Mil unidades"
"Roraima";"Rede geral ou fonte alternativa";"116";"Mil unidades";"20";"Mil unidades";"122";"Mil unidades";"20";"Mil unidades";"128";"Mil unidades";"23";"Mil unidades";"125";"Mil unidades";"24";"Mil unidades";"147";"Mil unidades";"24";"Mil unidades";"152";"Mil unidades";"25";"Mil unidades";"167";"Mil unidades";"24";"Mil unidades"
"Roraima";"Rede geral";"116";"Mil unidades";"20";"Mil unidades";"122";"Mil unidades";"20";"Mil unidades";"128";"Mil unidades";"23";"Mil unidades";"125";"Mil unidades";"24";"Mil unidades";"147";"Mil unidades";"23";"Mil unidades";"152";"Mil unidades";"23";"Mil unidades";"166";"Mil unidades";"24";"Mil unidades"
"Pará";"Rede geral ou fonte alternativa";"1599";"Mil unidades";"611";"Mil unidades";"1654";"Mil unidades";"597";"Mil unidades";"1707";"Mil unidades";"616";"Mil unidades";"1753";"Mil unidades";"639";"Mil unidades";"1905";"Mil unidades";"606";"Mil unidades";"1994";"Mil unidades";"613";"Mil unidades";"2076";"Mil unidades";"626";"Mil unidades"
"Pará";"Rede geral";"1599";"Mil unidades";"509";"Mil unidades";"1653";"Mil unidades";"508";"Mil unidades";"1707";"Mil unidades";"538";"Mil unidades";"1753";"Mil unidades";"539";"Mil unidades";"1902";"Mil unidades";"517";"Mil unidades";"1990";"Mil unidades";"504";"Mil unidades";"2067";"Mil unidades";"543";"Mil unidades"
