"Tabela 6821 - Domicílios e Moradores, por condição de ocupação do domicílio"
"Variável - Domicílios"
"Unidade da Federação";"Ano x Condição de ocupação do domicílio"
"Unidade da Federação";"2016";;;;;;;;;;"2017";;;;;;;;;;"2018";;;;;;;;;;"2019";;;;;;;;;;"2022";;;;;;;;;;"2023";;;;;;;;;;"2024"
"Unidade da Federação";"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição";;"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição";;"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição";;"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição";;"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição";;"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição";;"Próprio de algum morador - já pago";;"Próprio de algum morador - ainda pagando";;"Alugado";;"Cedido";;"Outra condição"
"Rondônia";"357";"Mil unidades";"27";"Mil unidades";"89";"Mil unidades";"62";"Mil unidades";"0";"Mil unidades";"370";"Mil unidades";"15";"Mil unidades";"93";"Mil unidades";"65";"Mil unidades";"2";"Mil unidades";"375";"Mil unidades";"9";"Mil unidades";"96";"Mil unidades";"70";"Mil unidades";"0";"Mil unidades";"370";"Mil unidades";"19";"Mil unidades";"93";"Mil unidades";"75";"Mil unidades";"1";"Mil unidades";"378";"Mil unidades";"8";"Mil unidades";"130";"Mil unidades";"73";"Mil unidades";"2";"Mil unidades";"439";"Mil unidades";"9";"Mil unidades";"138";"Mil unidades";"61";"Mil unidades";"0";"Mil unidades";"414";"Mil unidades";"7";"Mil unidades";"159";"Mil unidades";"64";"Mil unidades";"0";"Mil unidades"
"Acre";"180";"Mil unidades";"5";"Mil unidades";"25";"Mil unidades";"16";"Mil unidades";"0";"Mil unidades";"186";"Mil unidades";"3";"Mil unidades";"27";"Mil unidades";"19";"Mil unidades";"0";"Mil unidades";"196";"Mil unidades";"6";"Mil unidades";"28";"Mil unidades";"20";"Mil unidades";"0";"Mil unidades";"195";"Mil unidades";"4";"Mil unidades";"25";"Mil unidades";"27";"Mil unidades";"0";"Mil unidades";"206";"Mil unidades";"2";"Mil unidades";"36";"Mil unidades";"21";"Mil unidades";"-";"Mil unidades";"209";"Mil unidades";"2";"Mil unidades";"32";"Mil unidades";"26";"Mil unidades";"1";"Mil unidades";"209";"Mil unidades";"4";"Mil unidades";"39";"Mil unidades";"30";"Mil unidades";"0";"Mil unidades"
"Amazonas";"726";"Mil unidades";"18";"Mil unidades";"168";"Mil unidades";"79";"Mil unidades";"1";"Mil unidades";"769";"Mil unidades";"14";"Mil unidades";"158";"Mil unidades";"99";"Mil unidades";"0";"Mil unidades";"771";"Mil unidades";"18";"Mil unidades";"166";"Mil unidades";"99";"Mil unidades";"0";"Mil unidades";"770";"Mil unidades";"24";"Mil unidades";"162";"Mil unidades";"97";"Mil unidades";"2";"Mil unidades";"847";"Mil unidades";"41";"Mil unidades";"164";"Mil unidades";"82";"Mil unidades";"2";"Mil unidades";"849";"Mil unidades";"23";"Mil unidades";"206";"Mil unidades";"107";"Mil unidades";"1";"Mil unidades";"874";"Mil unidades";"16";"Mil unidades";"227";"Mil unidades";"124";"Mil unidades";"1";"Mil unidades"
"Roraima";"90";"Mil unidades";"3";"Mil unidades";"26";"Mil unidades";"17";"Mil unidades";"0";"Mil unidades";"95";"Mil unidades";"5";"Mil unidades";"27";"Mil unidades";"16";"Mil unidades";"0";"Mil unidades";"97";"Mil unidades";"3";"Mil unidades";"32";"Mil unidades";"19";"Mil unidades";"1";"Mil unidades";"93";"Mil unidades";"4";"Mil unidades";"33";"Mil unidades";"20";"Mil unidades";"0";"Mil unidades";"107";"Mil unidades";"4";"Mil unidades";"40";"Mil unidades";"20";"Mil unidades";"-";"Mil unidades";"103";"Mil unidades";"5";"Mil unidades";"48";"Mil unidades";"21";"Mil unidades";"0";"Mil unidades";"105";"Mil unidades";"6";"Mil unidades";"50";"Mil unidades";"30";"Mil unidades";"0";"Mil unidades"
"Pará";"1738";"Mil unidades";"64";"Mil unidades";"243";"Mil unidades";"196";"Mil unidades";"3";"Mil unidades";"1719";"Mil unidades";"70";"Mil unidades";"275";"Mil unidades";"212";"Mil unidades";"3";"Mil unidades";"1761";"Mil unidades";"76";"Mil unidades";"276";"Mil unidades";"236";"Mil unidades";"2";"Mil unidades";"1829";"Mil unidades";"50";"Mil unidades";"284";"Mil unidades";"259";"Mil unidades";"3";"Mil unidades";"1924";"Mil unidades";"70";"Mil unidades";"319";"Mil unidades";"221";"Mil unidades";"1";"Mil unidades";"1894";"Mil unidades";"79";"Mil unidades";"410";"Mil unidades";"244";"Mil unidades";"7";"Mil unidades";"1970";"Mil unidades";"83";"Mil unidades";"391";"Mil unidades";"275";"Mil unidades";"1";"Mil unidades"
"Amapá";"154";"Mil unidades";"1";"Mil unidades";"28";"Mil unidades";"12";"Mil unidades";"-";"Mil unidades";"152";"Mil unidades";"2";"Mil unidades";"29";"Mil unidades";"15";"Mil unidades";"0";"Mil unidades";"160";"Mil unidades";"2";"Mil unidades";"21";"Mil unidades";"12";"Mil unidades";"-";"Mil unidades";"155";"Mil unidades";"2";"Mil unidades";"29";"Mil unidades";"13";"Mil unidades";"-";"Mil unidades";"172";"Mil unidades";"2";"Mil unidades";"27";"Mil unidades";"15";"Mil unidades";"1";"Mil unidades";"180";"Mil unidades";"0";"Mil unidades";"36";"Mil unidades";"15";"Mil unidades";"3";"Mil unidades";"186";"Mil unidades";"1";"Mil unidades";"34";"Mil unidades";"16";"Mil unidades";"-";"Mil unidades"
"Tocantins";"309";"Mil unidades";"28";"Mil unidades";"80";"Mil unidades";"43";"Mil unidades";"1";"Mil unidades";"327";"Mil unidades";"10";"Mil unidades";"86";"Mil unidades";"50";"Mil unidades";"1";"Mil unidades";"332";"Mil unidades";"13";"Mil unidades";"95";"Mil unidades";"50";"Mil unidades";"1";"Mil unidades";"332";"Mil unidades";"17";"Mil unidades";"87";"Mil unidades";"60";"Mil unidades";"1";"Mil unidades";"323";"Mil unidades";"14";"Mil unidades";"120";"Mil unidades";"56";"Mil unidades";"0";"Mil unidades";"322";"Mil unidades";"14";"Mil unidades";"132";"Mil unidades";"64";"Mil unidades";"1";"Mil unidades";"342";"Mil unidades";"15";"Mil unidades";"130";"Mil unidades";"56";"Mil unidades";"2";"Mil unidades"
"Maranhão";"1560";"Mil unidades";"39";"Mil unidades";"194";"Mil unidades";"134";"Mil unidades";"1";"Mil unidades";"1601";"Mil unidades";"34";"Mil unidades";"177";"Mil unidades";"135";"Mil unidades";"1";"Mil unidades";"1625";"Mil unidades";"23";"Mil unidades";"166";"Mil unidades";"140";"Mil unidades";"1";"Mil unidades";"1653";"Mil unidades";"33";"Mil unidades";"176";"Mil unidades";"143";"Mil unidades";"3";"Mil unidades";"1658";"Mil unidades";"44";"Mil unidades";"237";"Mil unidades";"139";"Mil unidades";"1";"Mil unidades";"1772";"Mil unidades";"41";"Mil unidades";"270";"Mil unidades";"143";"Mil unidades";"1";"Mil unidades";"1777";"Mil unidades";"32";"Mil unidades";"266";"Mil unidades";"154";"Mil unidades";"4";"Mil unidades"
"Piauí";"759";"Mil unidades";"68";"Mil unidades";"82";"Mil unidades";"86";"Mil unidades";"1";"Mil unidades";"821";"Mil unidades";"30";"Mil unidades";"86";"Mil unidades";"74";"Mil unidades";"0";"Mil unidades";"807";"Mil unidades";"32";"Mil unidades";"88";"Mil unidades";"71";"Mil unidades";"0";"Mil unidades";"827";"Mil unidades";"29";"Mil unidades";"85";"Mil unidades";"78";"Mil unidades";"1";"Mil unidades";"829";"Mil unidades";"29";"Mil unidades";"107";"Mil unidades";"83";"Mil unidades";"1";"Mil unidades";"871";"Mil unidades";"36";"Mil unidades";"140";"Mil unidades";"93";"Mil unidades";"1";"Mil unidades";"868";"Mil unidades";"40";"Mil unidades";"143";"Mil unidades";"95";"Mil unidades";"1";"Mil unidades"
"Ceará";"1890";"Mil unidades";"70";"Mil unidades";"519";"Mil unidades";"265";"Mil unidades";"11";"Mil unidades";"1902";"Mil unidades";"110";"Mil unidades";"530";"Mil unidades";"237";"Mil unidades";"9";"Mil unidades";"1945";"Mil unidades";"107";"Mil unidades";"548";"Mil unidades";"279";"Mil unidades";"6";"Mil unidades";"1956";"Mil unidades";"106";"Mil unidades";"555";"Mil unidades";"248";"Mil unidades";"5";"Mil unidades";"2097";"Mil unidades";"73";"Mil unidades";"581";"Mil unidades";"280";"Mil unidades";"4";"Mil unidades";"2174";"Mil unidades";"99";"Mil unidades";"666";"Mil unidades";"285";"Mil unidades";"6";"Mil unidades";"2193";"Mil unidades";"70";"Mil unidades";"706";"Mil unidades";"284";"Mil unidades";"13";"Mil unidades"
