"Tabela 7109 - População residente, por sexo e grupo de idade"
"Variável - População"
"Unidade da Federação";"Grupo de idade";"Ano x Sexo"
"Unidade da Federação";"Grupo de idade";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupo de idade";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Rondônia";"0 a 3 anos";"59";"Mil pessoas";"52";"Mil pessoas";"48";"Mil pessoas";"60";"Mil pessoas";"72";"Mil pessoas";"54";"Mil pessoas";"63";"Mil pessoas";"51";"Mil pessoas";"50";"Mil pessoas";"54";"Mil pessoas";"49";"Mil pessoas";"53";"Mil pessoas";"53";"Mil pessoas";"50";"Mil pessoas"
"Rondônia";"4 a 5 anos";"37";"Mil pessoas";"30";"Mil pessoas";"28";"Mil pessoas";"30";"Mil pessoas";"27";"Mil pessoas";"22";"Mil pessoas";"34";"Mil pessoas";"31";"Mil pessoas";"21";"Mil pessoas";"26";"Mil pessoas";"28";"Mil pessoas";"26";"Mil pessoas";"31";"Mil pessoas";"22";"Mil pessoas"
"Rondônia";"6 a 9 anos";"61";"Mil pessoas";"56";"Mil pessoas";"57";"Mil pessoas";"54";"Mil pessoas";"50";"Mil pessoas";"54";"Mil pessoas";"56";"Mil pessoas";"53";"Mil pessoas";"65";"Mil pessoas";"46";"Mil pessoas";"47";"Mil pessoas";"52";"Mil pessoas";"56";"Mil pessoas";"49";"Mil pessoas"
"Rondônia";"10 a 14 anos";"80";"Mil pessoas";"69";"Mil pessoas";"84";"Mil pessoas";"66";"Mil pessoas";"70";"Mil pessoas";"65";"Mil pessoas";"61";"Mil pessoas";"64";"Mil pessoas";"66";"Mil pessoas";"64";"Mil pessoas";"70";"Mil pessoas";"61";"Mil pessoas";"71";"Mil pessoas";"57";"Mil pessoas"
"Rondônia";"15 a 17 anos";"45";"Mil pessoas";"47";"Mil pessoas";"43";"Mil pessoas";"41";"Mil pessoas";"40";"Mil pessoas";"48";"Mil pessoas";"41";"Mil pessoas";"40";"Mil pessoas";"40";"Mil pessoas";"46";"Mil pessoas";"42";"Mil pessoas";"42";"Mil pessoas";"44";"Mil pessoas";"38";"Mil pessoas"
"Rondônia";"18 a 24 anos";"110";"Mil pessoas";"114";"Mil pessoas";"114";"Mil pessoas";"109";"Mil pessoas";"110";"Mil pessoas";"121";"Mil pessoas";"113";"Mil pessoas";"127";"Mil pessoas";"110";"Mil pessoas";"110";"Mil pessoas";"100";"Mil pessoas";"98";"Mil pessoas";"100";"Mil pessoas";"103";"Mil pessoas"
"Rondônia";"25 a 29 anos";"79";"Mil pessoas";"78";"Mil pessoas";"78";"Mil pessoas";"77";"Mil pessoas";"83";"Mil pessoas";"71";"Mil pessoas";"83";"Mil pessoas";"78";"Mil pessoas";"79";"Mil pessoas";"75";"Mil pessoas";"72";"Mil pessoas";"79";"Mil pessoas";"82";"Mil pessoas";"76";"Mil pessoas"
"Rondônia";"30 a 39 anos";"135";"Mil pessoas";"145";"Mil pessoas";"146";"Mil pessoas";"148";"Mil pessoas";"147";"Mil pessoas";"150";"Mil pessoas";"146";"Mil pessoas";"128";"Mil pessoas";"145";"Mil pessoas";"147";"Mil pessoas";"141";"Mil pessoas";"137";"Mil pessoas";"136";"Mil pessoas";"145";"Mil pessoas"
"Rondônia";"40 a 59 anos";"188";"Mil pessoas";"182";"Mil pessoas";"188";"Mil pessoas";"195";"Mil pessoas";"197";"Mil pessoas";"199";"Mil pessoas";"195";"Mil pessoas";"218";"Mil pessoas";"216";"Mil pessoas";"241";"Mil pessoas";"243";"Mil pessoas";"248";"Mil pessoas";"233";"Mil pessoas";"242";"Mil pessoas"
"Rondônia";"60 anos ou mais";"70";"Mil pessoas";"68";"Mil pessoas";"83";"Mil pessoas";"77";"Mil pessoas";"82";"Mil pessoas";"82";"Mil pessoas";"92";"Mil pessoas";"89";"Mil pessoas";"107";"Mil pessoas";"112";"Mil pessoas";"121";"Mil pessoas";"129";"Mil pessoas";"126";"Mil pessoas";"141";"Mil pessoas"
"Acre";"0 a 3 anos";"31";"Mil pessoas";"29";"Mil pessoas";"31";"Mil pessoas";"28";"Mil pessoas";"33";"Mil pessoas";"30";"Mil pessoas";"32";"Mil pessoas";"29";"Mil pessoas";"32";"Mil pessoas";"26";"Mil pessoas";"30";"Mil pessoas";"28";"Mil pessoas";"31";"Mil pessoas";"29";"Mil pessoas"
"Acre";"4 a 5 anos";"16";"Mil pessoas";"13";"Mil pessoas";"15";"Mil pessoas";"15";"Mil pessoas";"17";"Mil pessoas";"16";"Mil pessoas";"17";"Mil pessoas";"16";"Mil pessoas";"17";"Mil pessoas";"16";"Mil pessoas";"16";"Mil pessoas";"16";"Mil pessoas";"17";"Mil pessoas";"18";"Mil pessoas"
"Acre";"6 a 9 anos";"36";"Mil pessoas";"32";"Mil pessoas";"35";"Mil pessoas";"33";"Mil pessoas";"33";"Mil pessoas";"33";"Mil pessoas";"33";"Mil pessoas";"30";"Mil pessoas";"35";"Mil pessoas";"31";"Mil pessoas";"33";"Mil pessoas";"29";"Mil pessoas";"32";"Mil pessoas";"30";"Mil pessoas"
