"Tabela 7110 - População residente, por cor ou raça e grupo de idade"
"Variável - População"
"Unidade da Federação";"Grupo de idade";"Ano x Cor ou raça"
"Unidade da Federação";"Grupo de idade";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupo de idade";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Rondônia";"0 a 3 anos";"42";"Mil pessoas";"69";"Mil pessoas";"41";"Mil pessoas";"67";"Mil pessoas";"41";"Mil pessoas";"84";"Mil pessoas";"35";"Mil pessoas";"78";"Mil pessoas";"34";"Mil pessoas";"69";"Mil pessoas";"36";"Mil pessoas";"64";"Mil pessoas";"34";"Mil pessoas";"67";"Mil pessoas"
"Rondônia";"4 a 5 anos";"22";"Mil pessoas";"45";"Mil pessoas";"13";"Mil pessoas";"45";"Mil pessoas";"15";"Mil pessoas";"33";"Mil pessoas";"16";"Mil pessoas";"49";"Mil pessoas";"10";"Mil pessoas";"37";"Mil pessoas";"16";"Mil pessoas";"37";"Mil pessoas";"15";"Mil pessoas";"37";"Mil pessoas"
"Rondônia";"6 a 9 anos";"28";"Mil pessoas";"89";"Mil pessoas";"32";"Mil pessoas";"80";"Mil pessoas";"25";"Mil pessoas";"78";"Mil pessoas";"35";"Mil pessoas";"74";"Mil pessoas";"33";"Mil pessoas";"77";"Mil pessoas";"29";"Mil pessoas";"69";"Mil pessoas";"24";"Mil pessoas";"79";"Mil pessoas"
"Rondônia";"10 a 14 anos";"39";"Mil pessoas";"108";"Mil pessoas";"33";"Mil pessoas";"116";"Mil pessoas";"29";"Mil pessoas";"104";"Mil pessoas";"28";"Mil pessoas";"95";"Mil pessoas";"33";"Mil pessoas";"95";"Mil pessoas";"32";"Mil pessoas";"98";"Mil pessoas";"32";"Mil pessoas";"95";"Mil pessoas"
"Rondônia";"15 a 17 anos";"23";"Mil pessoas";"69";"Mil pessoas";"22";"Mil pessoas";"61";"Mil pessoas";"28";"Mil pessoas";"60";"Mil pessoas";"18";"Mil pessoas";"63";"Mil pessoas";"24";"Mil pessoas";"63";"Mil pessoas";"24";"Mil pessoas";"60";"Mil pessoas";"20";"Mil pessoas";"62";"Mil pessoas"
"Rondônia";"18 a 24 anos";"62";"Mil pessoas";"160";"Mil pessoas";"59";"Mil pessoas";"162";"Mil pessoas";"57";"Mil pessoas";"172";"Mil pessoas";"70";"Mil pessoas";"168";"Mil pessoas";"55";"Mil pessoas";"162";"Mil pessoas";"50";"Mil pessoas";"146";"Mil pessoas";"54";"Mil pessoas";"149";"Mil pessoas"
"Rondônia";"25 a 29 anos";"41";"Mil pessoas";"114";"Mil pessoas";"41";"Mil pessoas";"111";"Mil pessoas";"37";"Mil pessoas";"114";"Mil pessoas";"37";"Mil pessoas";"120";"Mil pessoas";"42";"Mil pessoas";"109";"Mil pessoas";"42";"Mil pessoas";"108";"Mil pessoas";"40";"Mil pessoas";"117";"Mil pessoas"
"Rondônia";"30 a 39 anos";"79";"Mil pessoas";"199";"Mil pessoas";"81";"Mil pessoas";"211";"Mil pessoas";"81";"Mil pessoas";"210";"Mil pessoas";"77";"Mil pessoas";"195";"Mil pessoas";"78";"Mil pessoas";"210";"Mil pessoas";"71";"Mil pessoas";"201";"Mil pessoas";"71";"Mil pessoas";"206";"Mil pessoas"
"Rondônia";"40 a 59 anos";"115";"Mil pessoas";"251";"Mil pessoas";"126";"Mil pessoas";"254";"Mil pessoas";"118";"Mil pessoas";"272";"Mil pessoas";"119";"Mil pessoas";"291";"Mil pessoas";"134";"Mil pessoas";"321";"Mil pessoas";"161";"Mil pessoas";"326";"Mil pessoas";"126";"Mil pessoas";"344";"Mil pessoas"
"Rondônia";"60 anos ou mais";"50";"Mil pessoas";"87";"Mil pessoas";"52";"Mil pessoas";"107";"Mil pessoas";"56";"Mil pessoas";"108";"Mil pessoas";"58";"Mil pessoas";"122";"Mil pessoas";"80";"Mil pessoas";"137";"Mil pessoas";"86";"Mil pessoas";"159";"Mil pessoas";"87";"Mil pessoas";"177";"Mil pessoas"
