"Tabela 7111 - Pessoas de 15 anos ou mais, analfabetas, por sexo e grupo de idade"
"Variável - Pessoas de 15 anos ou mais de idade, analfabetas"
"Unidade da Federação";"Grupo de idade";"Ano x Sexo"
"Unidade da Federação";"Grupo de idade";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupo de idade";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Rondônia";"15 anos ou mais";"35";"Mil pessoas";"40";"Mil pessoas";"40";"Mil pessoas";"44";"Mil pessoas";"37";"Mil pessoas";"40";"Mil pessoas";"36";"Mil pessoas";"41";"Mil pessoas";"33";"Mil pessoas";"36";"Mil pessoas";"38";"Mil pessoas";"36";"Mil pessoas";"33";"Mil pessoas";"43";"Mil pessoas"
"Rondônia";"18 anos ou mais";"35";"Mil pessoas";"40";"Mil pessoas";"40";"Mil pessoas";"44";"Mil pessoas";"37";"Mil pessoas";"39";"Mil pessoas";"36";"Mil pessoas";"41";"Mil pessoas";"32";"Mil pessoas";"36";"Mil pessoas";"38";"Mil pessoas";"36";"Mil pessoas";"33";"Mil pessoas";"43";"Mil pessoas"
"Rondônia";"25 anos ou mais";"34";"Mil pessoas";"38";"Mil pessoas";"38";"Mil pessoas";"43";"Mil pessoas";"36";"Mil pessoas";"39";"Mil pessoas";"35";"Mil pessoas";"40";"Mil pessoas";"32";"Mil pessoas";"35";"Mil pessoas";"37";"Mil pessoas";"35";"Mil pessoas";"31";"Mil pessoas";"42";"Mil pessoas"
"Rondônia";"40 anos ou mais";"32";"Mil pessoas";"37";"Mil pessoas";"33";"Mil pessoas";"41";"Mil pessoas";"33";"Mil pessoas";"37";"Mil pessoas";"32";"Mil pessoas";"38";"Mil pessoas";"30";"Mil pessoas";"33";"Mil pessoas";"35";"Mil pessoas";"34";"Mil pessoas";"29";"Mil pessoas";"40";"Mil pessoas"
"Rondônia";"60 anos ou mais";"18";"Mil pessoas";"22";"Mil pessoas";"22";"Mil pessoas";"26";"Mil pessoas";"19";"Mil pessoas";"26";"Mil pessoas";"19";"Mil pessoas";"24";"Mil pessoas";"19";"Mil pessoas";"25";"Mil pessoas";"22";"Mil pessoas";"24";"Mil pessoas";"21";"Mil pessoas";"31";"Mil pessoas"
"Acre";"15 anos ou mais";"39";"Mil pessoas";"32";"Mil pessoas";"36";"Mil pessoas";"32";"Mil pessoas";"36";"Mil pessoas";"32";"Mil pessoas";"38";"Mil pessoas";"30";"Mil pessoas";"30";"Mil pessoas";"27";"Mil pessoas";"33";"Mil pessoas";"31";"Mil pessoas";"32";"Mil pessoas";"31";"Mil pessoas"
"Acre";"18 anos ou mais";"38";"Mil pessoas";"32";"Mil pessoas";"36";"Mil pessoas";"32";"Mil pessoas";"36";"Mil pessoas";"32";"Mil pessoas";"37";"Mil pessoas";"30";"Mil pessoas";"30";"Mil pessoas";"26";"Mil pessoas";"33";"Mil pessoas";"31";"Mil pessoas";"32";"Mil pessoas";"31";"Mil pessoas"
"Acre";"25 anos ou mais";"37";"Mil pessoas";"31";"Mil pessoas";"34";"Mil pessoas";"31";"Mil pessoas";"35";"Mil pessoas";"31";"Mil pessoas";"36";"Mil pessoas";"30";"Mil pessoas";"30";"Mil pessoas";"26";"Mil pessoas";"32";"Mil pessoas";"30";"Mil pessoas";"31";"Mil pessoas";"31";"Mil pessoas"
"Acre";"40 anos ou mais";"29";"Mil pessoas";"24";"Mil pessoas";"27";"Mil pessoas";"26";"Mil pessoas";"28";"Mil pessoas";"26";"Mil pessoas";"30";"Mil pessoas";"25";"Mil pessoas";"25";"Mil pessoas";"23";"Mil pessoas";"28";"Mil pessoas";"28";"Mil pessoas";"27";"Mil pessoas";"27";"Mil pessoas"
"Acre";"60 anos ou mais";"13";"Mil pessoas";"13";"Mil pessoas";"12";"Mil pessoas";"13";"Mil pessoas";"13";"Mil pessoas";"13";"Mil pessoas";"15";"Mil pessoas";"12";"Mil pessoas";"12";"Mil pessoas";"13";"Mil pessoas";"15";"Mil pessoas";"16";"Mil pessoas";"12";"Mil pessoas";"13";"Mil pessoas"
"Amazonas";"15 anos ou mais";"92";"Mil pessoas";"83";"Mil pessoas";"79";"Mil pessoas";"80";"Mil pessoas";"81";"Mil pessoas";"74";"Mil pessoas";"80";"Mil pessoas";"67";"Mil pessoas";"79";"Mil pessoas";"69";"Mil pessoas";"79";"Mil pessoas";"76";"Mil pessoas";"77";"Mil pessoas";"77";"Mil pessoas"
"Amazonas";"18 anos ou mais";"90";"Mil pessoas";"82";"Mil pessoas";"79";"Mil pessoas";"80";"Mil pessoas";"80";"Mil pessoas";"74";"Mil pessoas";"79";"Mil pessoas";"67";"Mil pessoas";"78";"Mil pessoas";"69";"Mil pessoas";"79";"Mil pessoas";"76";"Mil pessoas";"77";"Mil pessoas";"77";"Mil pessoas"
"Amazonas";"25 anos ou mais";"86";"Mil pessoas";"80";"Mil pessoas";"75";"Mil pessoas";"77";"Mil pessoas";"77";"Mil pessoas";"73";"Mil pessoas";"75";"Mil pessoas";"66";"Mil pessoas";"75";"Mil pessoas";"68";"Mil pessoas";"75";"Mil pessoas";"75";"Mil pessoas";"76";"Mil pessoas";"75";"Mil pessoas"
"Amazonas";"40 anos ou mais";"66";"Mil pessoas";"67";"Mil pessoas";"60";"Mil pessoas";"66";"Mil pessoas";"64";"Mil pessoas";"64";"Mil pessoas";"61";"Mil pessoas";"56";"Mil pessoas";"63";"Mil pessoas";"60";"Mil pessoas";"64";"Mil pessoas";"68";"Mil pessoas";"66";"Mil pessoas";"71";"Mil pessoas"
"Amazonas";"60 anos ou mais";"28";"Mil pessoas";"33";"Mil pessoas";"26";"Mil pessoas";"34";"Mil pessoas";"33";"Mil pessoas";"35";"Mil pessoas";"30";"Mil pessoas";"33";"Mil pessoas";"35";"Mil pessoas";"35";"Mil pessoas";"31";"Mil pessoas";"46";"Mil pessoas";"38";"Mil pessoas";"45";"Mil pessoas"
"Roraima";"15 anos ou mais";"11";"Mil pessoas";"10";"Mil pessoas";"10";"Mil pessoas";"10";"Mil pessoas";"11";"Mil pessoas";"10";"Mil pessoas";"10";"Mil pessoas";"7";"Mil pessoas";"9";"Mil pessoas";"8";"Mil pessoas";"11";"Mil pessoas";"8";"Mil pessoas";"11";"Mil pessoas";"6";"Mil pessoas"
"Roraima";"18 anos ou mais";"11";"Mil pessoas";"10";"Mil pessoas";"10";"Mil pessoas";"10";"Mil pessoas";"11";"Mil pessoas";"10";"Mil pessoas";"10";"Mil pessoas";"7";"Mil pessoas";"9";"Mil pessoas";"8";"Mil pessoas";"11";"Mil pessoas";"8";"Mil pessoas";"11";"Mil pessoas";"6";"Mil pessoas"
"Roraima";"25 anos ou mais";"10";"Mil pessoas";"9";"Mil pessoas";"10";"Mil pessoas";"9";"Mil pessoas";"10";"Mil pessoas";"10";"Mil pessoas";"10";"Mil pessoas";"7";"Mil pessoas";"9";"Mil pessoas";"8";"Mil pessoas";"11";"Mil pessoas";"8";"Mil pessoas";"10";"Mil pessoas";"6";"Mil pessoas"
"Roraima";"40 anos ou mais";"9";"Mil pessoas";"8";"Mil pessoas";"8";"Mil pessoas";"9";"Mil pessoas";"9";"Mil pessoas";"9";"Mil pessoas";"9";"Mil pessoas";"7";"Mil pessoas";"8";"Mil pessoas";"7";"Mil pessoas";"9";"Mil pessoas";"7";"Mil pessoas";"10";"Mil pessoas";"6";"Mil pessoas"
