"Tabela 7113 - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade, por sexo e grupo de idade"
"Variável - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade"
"Unidade da Federação";"Grupo de idade";"Ano x Sexo"
"Unidade da Federação";"Grupo de idade";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupo de idade";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Rondônia";"15 anos ou mais";"5,6";"%";"6,4";"%";"6,2";"%";"6,8";"%";"5,6";"%";"6,0";"%";"5,4";"%";"6,0";"%";"4,7";"%";"5,0";"%";"5,3";"%";"4,9";"%";"4,5";"%";"5,7";"%"
"Rondônia";"18 anos ou mais";"6,0";"%";"6,9";"%";"6,6";"%";"7,2";"%";"6,0";"%";"6,3";"%";"5,7";"%";"6,4";"%";"4,9";"%";"5,3";"%";"5,6";"%";"5,2";"%";"4,8";"%";"6,0";"%"
"Rondônia";"25 anos ou mais";"7,3";"%";"8,1";"%";"7,7";"%";"8,6";"%";"7,1";"%";"7,8";"%";"6,7";"%";"7,9";"%";"5,9";"%";"6,1";"%";"6,4";"%";"5,9";"%";"5,4";"%";"7,0";"%"
"Rondônia";"40 anos ou mais";"12,2";"%";"14,7";"%";"12,3";"%";"15,1";"%";"11,8";"%";"13,3";"%";"11,0";"%";"12,3";"%";"9,1";"%";"9,5";"%";"9,5";"%";"9,0";"%";"8,0";"%";"10,5";"%"
"Rondônia";"60 anos ou mais";"25,4";"%";"32,1";"%";"26,8";"%";"33,2";"%";"23,6";"%";"31,5";"%";"21,1";"%";"27,4";"%";"17,9";"%";"22,7";"%";"18,6";"%";"18,5";"%";"16,5";"%";"21,8";"%"
"Acre";"15 anos ou mais";"13,8";"%";"10,8";"%";"12,2";"%";"10,8";"%";"12,2";"%";"10,5";"%";"12,2";"%";"9,6";"%";"9,3";"%";"7,8";"%";"10,0";"%";"8,9";"%";"9,6";"%";"9,0";"%"
"Acre";"18 anos ou mais";"15,2";"%";"12,0";"%";"13,5";"%";"11,8";"%";"13,2";"%";"11,4";"%";"13,3";"%";"10,4";"%";"10,1";"%";"8,4";"%";"10,9";"%";"9,7";"%";"10,3";"%";"9,6";"%"
"Acre";"25 anos ou mais";"18,6";"%";"14,7";"%";"16,8";"%";"14,5";"%";"16,3";"%";"13,9";"%";"16,2";"%";"13,0";"%";"12,4";"%";"10,0";"%";"13,2";"%";"11,7";"%";"12,5";"%";"11,7";"%"
"Acre";"40 anos ou mais";"27,9";"%";"22,5";"%";"25,0";"%";"22,7";"%";"24,6";"%";"21,6";"%";"24,4";"%";"19,5";"%";"18,7";"%";"15,5";"%";"20,4";"%";"18,3";"%";"19,0";"%";"17,7";"%"
"Acre";"60 anos ou mais";"44,6";"%";"39,5";"%";"37,6";"%";"36,8";"%";"37,7";"%";"35,4";"%";"37,6";"%";"31,5";"%";"31,2";"%";"26,4";"%";"32,9";"%";"31,4";"%";"28,2";"%";"28,2";"%"
"Amazonas";"15 anos ou mais";"6,9";"%";"6,3";"%";"5,8";"%";"5,9";"%";"5,7";"%";"5,3";"%";"5,6";"%";"4,7";"%";"5,3";"%";"4,5";"%";"5,2";"%";"4,9";"%";"4,9";"%";"4,8";"%"
"Amazonas";"18 anos ou mais";"7,5";"%";"6,8";"%";"6,4";"%";"6,4";"%";"6,1";"%";"5,7";"%";"6,0";"%";"5,1";"%";"5,6";"%";"4,8";"%";"5,6";"%";"5,2";"%";"5,3";"%";"5,2";"%"
"Amazonas";"25 anos ou mais";"9,0";"%";"8,4";"%";"7,7";"%";"7,7";"%";"7,4";"%";"6,9";"%";"7,3";"%";"6,3";"%";"6,8";"%";"5,8";"%";"6,7";"%";"6,4";"%";"6,4";"%";"6,2";"%"
"Amazonas";"40 anos ou mais";"13,6";"%";"13,3";"%";"11,8";"%";"12,5";"%";"11,2";"%";"10,8";"%";"10,8";"%";"9,8";"%";"10,3";"%";"9,2";"%";"10,3";"%";"10,1";"%";"9,9";"%";"10,0";"%"
"Amazonas";"60 anos ou mais";"21,9";"%";"23,2";"%";"18,8";"%";"22,4";"%";"20,0";"%";"19,9";"%";"18,6";"%";"18,6";"%";"18,8";"%";"18,0";"%";"18,3";"%";"21,0";"%";"19,1";"%";"20,2";"%"
"Roraima";"15 anos ou mais";"6,3";"%";"5,9";"%";"5,7";"%";"5,4";"%";"5,8";"%";"5,3";"%";"5,3";"%";"3,9";"%";"4,2";"%";"3,5";"%";"5,0";"%";"3,5";"%";"5,0";"%";"2,9";"%"
"Roraima";"18 anos ou mais";"6,9";"%";"6,5";"%";"6,2";"%";"5,9";"%";"6,2";"%";"5,8";"%";"5,6";"%";"4,2";"%";"4,5";"%";"3,8";"%";"5,3";"%";"3,8";"%";"5,3";"%";"3,1";"%"
"Roraima";"25 anos ou mais";"8,4";"%";"7,7";"%";"8,0";"%";"7,4";"%";"7,7";"%";"7,0";"%";"6,8";"%";"5,4";"%";"5,5";"%";"4,6";"%";"6,5";"%";"4,5";"%";"6,3";"%";"3,8";"%"
"Roraima";"40 anos ou mais";"13,6";"%";"13,4";"%";"13,0";"%";"13,4";"%";"12,8";"%";"12,3";"%";"11,9";"%";"9,9";"%";"10,1";"%";"8,7";"%";"10,4";"%";"8,3";"%";"10,8";"%";"6,2";"%"
"Roraima";"60 anos ou mais";"26,0";"%";"32,7";"%";"29,2";"%";"32,4";"%";"25,1";"%";"26,5";"%";"26,1";"%";"21,8";"%";"19,1";"%";"18,2";"%";"21,6";"%";"19,9";"%";"20,9";"%";"15,9";"%"
"Pará";"15 anos ou mais";"9,8";"%";"7,5";"%";"9,2";"%";"7,1";"%";"9,1";"%";"7,2";"%";"8,7";"%";"6,9";"%";"8,2";"%";"6,7";"%";"7,6";"%";"6,1";"%";"7,6";"%";"5,5";"%"
"Pará";"18 anos ou mais";"10,5";"%";"8,1";"%";"10,0";"%";"7,7";"%";"9,8";"%";"7,8";"%";"9,4";"%";"7,4";"%";"8,9";"%";"7,2";"%";"8,2";"%";"6,6";"%";"8,2";"%";"5,8";"%"
"Pará";"25 anos ou mais";"12,8";"%";"9,9";"%";"12,0";"%";"9,3";"%";"11,7";"%";"9,4";"%";"11,3";"%";"8,8";"%";"10,6";"%";"8,5";"%";"9,8";"%";"7,9";"%";"9,7";"%";"6,8";"%"
"Pará";"40 anos ou mais";"19,0";"%";"16,6";"%";"17,4";"%";"14,7";"%";"17,7";"%";"15,5";"%";"16,3";"%";"14,1";"%";"15,5";"%";"12,9";"%";"14,5";"%";"12,0";"%";"14,9";"%";"10,9";"%"
"Pará";"60 anos ou mais";"31,0";"%";"30,6";"%";"28,1";"%";"26,6";"%";"27,3";"%";"28,5";"%";"27,2";"%";"26,0";"%";"26,7";"%";"24,4";"%";"23,3";"%";"19,2";"%";"24,3";"%";"19,5";"%"
"Amapá";"15 anos ou mais";"4,1";"%";"5,3";"%";"5,3";"%";"4,6";"%";"5,5";"%";"5,9";"%";"5,1";"%";"5,2";"%";"5,0";"%";"5,0";"%";"6,0";"%";"5,6";"%";"5,2";"%";"5,5";"%"
"Amapá";"18 anos ou mais";"4,4";"%";"5,8";"%";"5,9";"%";"4,9";"%";"5,8";"%";"6,3";"%";"5,5";"%";"5,5";"%";"5,2";"%";"5,3";"%";"6,4";"%";"5,9";"%";"5,6";"%";"5,8";"%"
"Amapá";"25 anos ou mais";"5,5";"%";"6,6";"%";"6,8";"%";"6,2";"%";"7,6";"%";"7,8";"%";"6,9";"%";"6,8";"%";"6,3";"%";"6,7";"%";"7,6";"%";"7,1";"%";"6,8";"%";"7,3";"%"
"Amapá";"40 anos ou mais";"9,6";"%";"11,6";"%";"8,4";"%";"10,5";"%";"12,8";"%";"13,6";"%";"11,1";"%";"11,9";"%";"10,4";"%";"10,7";"%";"13,6";"%";"11,7";"%";"11,5";"%";"11,7";"%"
"Amapá";"60 anos ou mais";"19,9";"%";"21,2";"%";"12,4";"%";"29,1";"%";"24,5";"%";"30,1";"%";"20,1";"%";"23,6";"%";"22,5";"%";"20,1";"%";"23,4";"%";"26,3";"%";"20,3";"%";"25,4";"%"
"Tocantins";"15 anos ou mais";"10,6";"%";"8,5";"%";"10,1";"%";"8,6";"%";"9,9";"%";"8,2";"%";"9,2";"%";"8,6";"%";"8,0";"%";"6,4";"%";"8,1";"%";"7,4";"%";"7,4";"%";"5,8";"%"
"Tocantins";"18 anos ou mais";"11,4";"%";"9,3";"%";"11,0";"%";"9,2";"%";"10,6";"%";"8,8";"%";"9,9";"%";"9,2";"%";"8,6";"%";"6,8";"%";"8,6";"%";"8,0";"%";"7,8";"%";"6,2";"%"
"Tocantins";"25 anos ou mais";"13,8";"%";"11,3";"%";"13,0";"%";"10,9";"%";"12,6";"%";"10,3";"%";"11,4";"%";"10,8";"%";"10,3";"%";"8,0";"%";"10,2";"%";"9,5";"%";"9,2";"%";"7,2";"%"
"Tocantins";"40 anos ou mais";"22,0";"%";"18,8";"%";"21,0";"%";"18,2";"%";"20,1";"%";"15,8";"%";"17,3";"%";"16,5";"%";"16,2";"%";"12,1";"%";"15,7";"%";"14,3";"%";"13,7";"%";"10,5";"%"
"Tocantins";"60 anos ou mais";"40,3";"%";"38,7";"%";"35,6";"%";"36,4";"%";"34,2";"%";"31,0";"%";"33,3";"%";"32,1";"%";"29,1";"%";"25,6";"%";"28,4";"%";"30,5";"%";"23,8";"%";"23,1";"%"
"Maranhão";"15 anos ou mais";"17,0";"%";"14,6";"%";"17,2";"%";"14,5";"%";"16,9";"%";"13,7";"%";"15,8";"%";"13,5";"%";"13,5";"%";"10,9";"%";"12,8";"%";"10,3";"%";"13,0";"%";"9,8";"%"
