"Tabela 7128 - Pessoas de 14 anos ou mais de idade, por sexo e nível de instrução"
"Variável - Pessoas de 14 anos ou mais de idade"
"Unidade da Federação";"Nível de instrução";"Ano x Sexo"
"Unidade da Federação";"Nível de instrução";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Nível de instrução";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Rondônia";"Sem instrução";"48";"Mil pessoas";"50";"Mil pessoas";"42";"Mil pessoas";"44";"Mil pessoas";"40";"Mil pessoas";"42";"Mil pessoas";"32";"Mil pessoas";"38";"Mil pessoas";"42";"Mil pessoas";"46";"Mil pessoas";"50";"Mil pessoas";"47";"Mil pessoas";"45";"Mil pessoas";"50";"Mil pessoas"
"Rondônia";"Ensino fundamental incompleto ou equivalente";"257";"Mil pessoas";"212";"Mil pessoas";"268";"Mil pessoas";"224";"Mil pessoas";"258";"Mil pessoas";"223";"Mil pessoas";"259";"Mil pessoas";"219";"Mil pessoas";"234";"Mil pessoas";"201";"Mil pessoas";"238";"Mil pessoas";"213";"Mil pessoas";"227";"Mil pessoas";"193";"Mil pessoas"
"Rondônia";"Ensino fundamental completo ou equivalente";"79";"Mil pessoas";"68";"Mil pessoas";"70";"Mil pessoas";"58";"Mil pessoas";"64";"Mil pessoas";"67";"Mil pessoas";"62";"Mil pessoas";"53";"Mil pessoas";"65";"Mil pessoas";"58";"Mil pessoas";"70";"Mil pessoas";"51";"Mil pessoas";"71";"Mil pessoas";"58";"Mil pessoas"
"Rondônia";"Ensino médio incompleto ou equivalente";"55";"Mil pessoas";"57";"Mil pessoas";"70";"Mil pessoas";"52";"Mil pessoas";"69";"Mil pessoas";"56";"Mil pessoas";"64";"Mil pessoas";"73";"Mil pessoas";"72";"Mil pessoas";"64";"Mil pessoas";"83";"Mil pessoas";"71";"Mil pessoas";"74";"Mil pessoas";"56";"Mil pessoas"
"Rondônia";"Ensino médio completo ou equivalente";"139";"Mil pessoas";"159";"Mil pessoas";"142";"Mil pessoas";"171";"Mil pessoas";"160";"Mil pessoas";"175";"Mil pessoas";"171";"Mil pessoas";"179";"Mil pessoas";"196";"Mil pessoas";"209";"Mil pessoas";"195";"Mil pessoas";"210";"Mil pessoas";"214";"Mil pessoas";"229";"Mil pessoas"
"Rondônia";"Ensino superior incompleto ou equivalente";"22";"Mil pessoas";"35";"Mil pessoas";"25";"Mil pessoas";"36";"Mil pessoas";"28";"Mil pessoas";"42";"Mil pessoas";"40";"Mil pessoas";"47";"Mil pessoas";"28";"Mil pessoas";"38";"Mil pessoas";"28";"Mil pessoas";"39";"Mil pessoas";"27";"Mil pessoas";"40";"Mil pessoas"
"Rondônia";"Superior completo";"42";"Mil pessoas";"69";"Mil pessoas";"49";"Mil pessoas";"75";"Mil pessoas";"52";"Mil pessoas";"81";"Mil pessoas";"55";"Mil pessoas";"89";"Mil pessoas";"69";"Mil pessoas";"125";"Mil pessoas";"69";"Mil pessoas";"119";"Mil pessoas";"80";"Mil pessoas";"131";"Mil pessoas"
"Acre";"Sem instrução";"33";"Mil pessoas";"26";"Mil pessoas";"31";"Mil pessoas";"26";"Mil pessoas";"30";"Mil pessoas";"26";"Mil pessoas";"31";"Mil pessoas";"26";"Mil pessoas";"28";"Mil pessoas";"27";"Mil pessoas";"38";"Mil pessoas";"32";"Mil pessoas";"29";"Mil pessoas";"28";"Mil pessoas"
"Acre";"Ensino fundamental incompleto ou equivalente";"100";"Mil pessoas";"87";"Mil pessoas";"101";"Mil pessoas";"89";"Mil pessoas";"102";"Mil pessoas";"93";"Mil pessoas";"99";"Mil pessoas";"92";"Mil pessoas";"99";"Mil pessoas";"85";"Mil pessoas";"93";"Mil pessoas";"83";"Mil pessoas";"94";"Mil pessoas";"84";"Mil pessoas"
"Acre";"Ensino fundamental completo ou equivalente";"32";"Mil pessoas";"31";"Mil pessoas";"34";"Mil pessoas";"31";"Mil pessoas";"31";"Mil pessoas";"29";"Mil pessoas";"30";"Mil pessoas";"32";"Mil pessoas";"28";"Mil pessoas";"28";"Mil pessoas";"31";"Mil pessoas";"32";"Mil pessoas";"33";"Mil pessoas";"29";"Mil pessoas"
