"Tabela 7129 - Pessoas de 14 anos ou mais de idade, por cor ou raça e nível de instrução"
"Variável - Pessoas de 14 anos ou mais de idade"
"Unidade da Federação";"Nível de instrução";"Ano x Cor ou raça"
"Unidade da Federação";"Nível de instrução";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Nível de instrução";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Rondônia";"Sem instrução";"26";"Mil pessoas";"71";"Mil pessoas";"23";"Mil pessoas";"62";"Mil pessoas";"23";"Mil pessoas";"58";"Mil pessoas";"19";"Mil pessoas";"50";"Mil pessoas";"24";"Mil pessoas";"64";"Mil pessoas";"28";"Mil pessoas";"68";"Mil pessoas";"27";"Mil pessoas";"65";"Mil pessoas"
"Rondônia";"Ensino fundamental incompleto ou equivalente";"133";"Mil pessoas";"331";"Mil pessoas";"132";"Mil pessoas";"356";"Mil pessoas";"130";"Mil pessoas";"348";"Mil pessoas";"124";"Mil pessoas";"350";"Mil pessoas";"124";"Mil pessoas";"309";"Mil pessoas";"132";"Mil pessoas";"313";"Mil pessoas";"104";"Mil pessoas";"310";"Mil pessoas"
"Rondônia";"Ensino fundamental completo ou equivalente";"38";"Mil pessoas";"108";"Mil pessoas";"34";"Mil pessoas";"93";"Mil pessoas";"35";"Mil pessoas";"94";"Mil pessoas";"30";"Mil pessoas";"83";"Mil pessoas";"36";"Mil pessoas";"86";"Mil pessoas";"37";"Mil pessoas";"82";"Mil pessoas";"32";"Mil pessoas";"96";"Mil pessoas"
"Rondônia";"Ensino médio incompleto ou equivalente";"30";"Mil pessoas";"81";"Mil pessoas";"28";"Mil pessoas";"93";"Mil pessoas";"33";"Mil pessoas";"90";"Mil pessoas";"33";"Mil pessoas";"103";"Mil pessoas";"35";"Mil pessoas";"101";"Mil pessoas";"37";"Mil pessoas";"116";"Mil pessoas";"33";"Mil pessoas";"96";"Mil pessoas"
"Rondônia";"Ensino médio completo ou equivalente";"88";"Mil pessoas";"206";"Mil pessoas";"94";"Mil pessoas";"215";"Mil pessoas";"89";"Mil pessoas";"239";"Mil pessoas";"92";"Mil pessoas";"255";"Mil pessoas";"107";"Mil pessoas";"294";"Mil pessoas";"110";"Mil pessoas";"292";"Mil pessoas";"110";"Mil pessoas";"328";"Mil pessoas"
"Rondônia";"Ensino superior incompleto ou equivalente";"17";"Mil pessoas";"38";"Mil pessoas";"18";"Mil pessoas";"43";"Mil pessoas";"21";"Mil pessoas";"47";"Mil pessoas";"30";"Mil pessoas";"55";"Mil pessoas";"21";"Mil pessoas";"43";"Mil pessoas";"18";"Mil pessoas";"48";"Mil pessoas";"22";"Mil pessoas";"45";"Mil pessoas"
"Rondônia";"Superior completo";"44";"Mil pessoas";"65";"Mil pessoas";"56";"Mil pessoas";"66";"Mil pessoas";"52";"Mil pessoas";"79";"Mil pessoas";"56";"Mil pessoas";"85";"Mil pessoas";"73";"Mil pessoas";"118";"Mil pessoas";"80";"Mil pessoas";"103";"Mil pessoas";"78";"Mil pessoas";"131";"Mil pessoas"
"Acre";"Sem instrução";"9";"Mil pessoas";"50";"Mil pessoas";"7";"Mil pessoas";"49";"Mil pessoas";"6";"Mil pessoas";"48";"Mil pessoas";"6";"Mil pessoas";"49";"Mil pessoas";"7";"Mil pessoas";"48";"Mil pessoas";"7";"Mil pessoas";"60";"Mil pessoas";"8";"Mil pessoas";"47";"Mil pessoas"
"Acre";"Ensino fundamental incompleto ou equivalente";"26";"Mil pessoas";"160";"Mil pessoas";"29";"Mil pessoas";"160";"Mil pessoas";"32";"Mil pessoas";"160";"Mil pessoas";"24";"Mil pessoas";"163";"Mil pessoas";"26";"Mil pessoas";"155";"Mil pessoas";"24";"Mil pessoas";"148";"Mil pessoas";"25";"Mil pessoas";"149";"Mil pessoas"
"Acre";"Ensino fundamental completo ou equivalente";"9";"Mil pessoas";"54";"Mil pessoas";"12";"Mil pessoas";"53";"Mil pessoas";"9";"Mil pessoas";"50";"Mil pessoas";"10";"Mil pessoas";"51";"Mil pessoas";"11";"Mil pessoas";"44";"Mil pessoas";"8";"Mil pessoas";"53";"Mil pessoas";"9";"Mil pessoas";"51";"Mil pessoas"
"Acre";"Ensino médio incompleto ou equivalente";"10";"Mil pessoas";"48";"Mil pessoas";"9";"Mil pessoas";"47";"Mil pessoas";"8";"Mil pessoas";"45";"Mil pessoas";"9";"Mil pessoas";"45";"Mil pessoas";"10";"Mil pessoas";"52";"Mil pessoas";"9";"Mil pessoas";"51";"Mil pessoas";"12";"Mil pessoas";"55";"Mil pessoas"
"Acre";"Ensino médio completo ou equivalente";"25";"Mil pessoas";"110";"Mil pessoas";"27";"Mil pessoas";"119";"Mil pessoas";"29";"Mil pessoas";"118";"Mil pessoas";"29";"Mil pessoas";"131";"Mil pessoas";"32";"Mil pessoas";"149";"Mil pessoas";"32";"Mil pessoas";"161";"Mil pessoas";"36";"Mil pessoas";"159";"Mil pessoas"
"Acre";"Ensino superior incompleto ou equivalente";"6";"Mil pessoas";"26";"Mil pessoas";"7";"Mil pessoas";"26";"Mil pessoas";"8";"Mil pessoas";"28";"Mil pessoas";"8";"Mil pessoas";"24";"Mil pessoas";"9";"Mil pessoas";"28";"Mil pessoas";"8";"Mil pessoas";"26";"Mil pessoas";"9";"Mil pessoas";"25";"Mil pessoas"
"Acre";"Superior completo";"16";"Mil pessoas";"42";"Mil pessoas";"19";"Mil pessoas";"44";"Mil pessoas";"18";"Mil pessoas";"51";"Mil pessoas";"24";"Mil pessoas";"59";"Mil pessoas";"28";"Mil pessoas";"77";"Mil pessoas";"24";"Mil pessoas";"67";"Mil pessoas";"28";"Mil pessoas";"71";"Mil pessoas"
"Amazonas";"Sem instrução";"23";"Mil pessoas";"163";"Mil pessoas";"19";"Mil pessoas";"125";"Mil pessoas";"18";"Mil pessoas";"136";"Mil pessoas";"9";"Mil pessoas";"106";"Mil pessoas";"19";"Mil pessoas";"118";"Mil pessoas";"19";"Mil pessoas";"118";"Mil pessoas";"16";"Mil pessoas";"119";"Mil pessoas"
