"Tabela 7133 - Pessoas de 25 anos ou mais de idade, por sexo e grupos de anos de estudo"
"Variável - Pessoas de 25 anos ou mais de idade"
"Unidade da Federação";"Grupos de anos de estudo";"Ano x Sexo"
"Unidade da Federação";"Grupos de anos de estudo";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupos de anos de estudo";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Rondônia";"Sem instrução ou menos de 5 anos";"128";"Mil pessoas";"112";"Mil pessoas";"110";"Mil pessoas";"102";"Mil pessoas";"102";"Mil pessoas";"99";"Mil pessoas";"92";"Mil pessoas";"100";"Mil pessoas";"107";"Mil pessoas";"97";"Mil pessoas";"120";"Mil pessoas";"114";"Mil pessoas";"124";"Mil pessoas";"116";"Mil pessoas"
"Rondônia";"5 a 8 anos";"123";"Mil pessoas";"105";"Mil pessoas";"143";"Mil pessoas";"124";"Mil pessoas";"146";"Mil pessoas";"126";"Mil pessoas";"152";"Mil pessoas";"121";"Mil pessoas";"138";"Mil pessoas";"122";"Mil pessoas";"136";"Mil pessoas";"116";"Mil pessoas";"114";"Mil pessoas";"106";"Mil pessoas"
"Rondônia";"9 a 11 anos";"69";"Mil pessoas";"61";"Mil pessoas";"75";"Mil pessoas";"57";"Mil pessoas";"74";"Mil pessoas";"61";"Mil pessoas";"68";"Mil pessoas";"60";"Mil pessoas";"73";"Mil pessoas";"60";"Mil pessoas";"86";"Mil pessoas";"65";"Mil pessoas";"73";"Mil pessoas";"57";"Mil pessoas"
"Rondônia";"12 anos ou mais";"153";"Mil pessoas";"195";"Mil pessoas";"166";"Mil pessoas";"215";"Mil pessoas";"187";"Mil pessoas";"217";"Mil pessoas";"205";"Mil pessoas";"232";"Mil pessoas";"229";"Mil pessoas";"296";"Mil pessoas";"236";"Mil pessoas";"299";"Mil pessoas";"266";"Mil pessoas";"326";"Mil pessoas"
"Acre";"Sem instrução ou menos de 5 anos";"66";"Mil pessoas";"59";"Mil pessoas";"59";"Mil pessoas";"54";"Mil pessoas";"61";"Mil pessoas";"52";"Mil pessoas";"60";"Mil pessoas";"50";"Mil pessoas";"53";"Mil pessoas";"50";"Mil pessoas";"65";"Mil pessoas";"56";"Mil pessoas";"63";"Mil pessoas";"55";"Mil pessoas"
"Acre";"5 a 8 anos";"38";"Mil pessoas";"34";"Mil pessoas";"45";"Mil pessoas";"38";"Mil pessoas";"46";"Mil pessoas";"43";"Mil pessoas";"46";"Mil pessoas";"42";"Mil pessoas";"47";"Mil pessoas";"39";"Mil pessoas";"36";"Mil pessoas";"37";"Mil pessoas";"37";"Mil pessoas";"38";"Mil pessoas"
"Acre";"9 a 11 anos";"24";"Mil pessoas";"22";"Mil pessoas";"25";"Mil pessoas";"24";"Mil pessoas";"25";"Mil pessoas";"24";"Mil pessoas";"26";"Mil pessoas";"26";"Mil pessoas";"27";"Mil pessoas";"26";"Mil pessoas";"28";"Mil pessoas";"28";"Mil pessoas";"30";"Mil pessoas";"26";"Mil pessoas"
"Acre";"12 anos ou mais";"71";"Mil pessoas";"96";"Mil pessoas";"76";"Mil pessoas";"99";"Mil pessoas";"82";"Mil pessoas";"103";"Mil pessoas";"92";"Mil pessoas";"114";"Mil pessoas";"113";"Mil pessoas";"142";"Mil pessoas";"112";"Mil pessoas";"139";"Mil pessoas";"119";"Mil pessoas";"144";"Mil pessoas"
"Amazonas";"Sem instrução ou menos de 5 anos";"211";"Mil pessoas";"184";"Mil pessoas";"180";"Mil pessoas";"160";"Mil pessoas";"183";"Mil pessoas";"161";"Mil pessoas";"172";"Mil pessoas";"137";"Mil pessoas";"171";"Mil pessoas";"151";"Mil pessoas";"159";"Mil pessoas";"161";"Mil pessoas";"173";"Mil pessoas";"151";"Mil pessoas"
"Amazonas";"5 a 8 anos";"185";"Mil pessoas";"162";"Mil pessoas";"215";"Mil pessoas";"182";"Mil pessoas";"220";"Mil pessoas";"201";"Mil pessoas";"217";"Mil pessoas";"197";"Mil pessoas";"201";"Mil pessoas";"176";"Mil pessoas";"204";"Mil pessoas";"177";"Mil pessoas";"191";"Mil pessoas";"166";"Mil pessoas"
"Amazonas";"9 a 11 anos";"107";"Mil pessoas";"114";"Mil pessoas";"101";"Mil pessoas";"109";"Mil pessoas";"108";"Mil pessoas";"110";"Mil pessoas";"108";"Mil pessoas";"110";"Mil pessoas";"120";"Mil pessoas";"127";"Mil pessoas";"114";"Mil pessoas";"119";"Mil pessoas";"115";"Mil pessoas";"113";"Mil pessoas"
"Amazonas";"12 anos ou mais";"446";"Mil pessoas";"496";"Mil pessoas";"479";"Mil pessoas";"547";"Mil pessoas";"530";"Mil pessoas";"579";"Mil pessoas";"536";"Mil pessoas";"606";"Mil pessoas";"616";"Mil pessoas";"711";"Mil pessoas";"652";"Mil pessoas";"713";"Mil pessoas";"699";"Mil pessoas";"783";"Mil pessoas"
"Roraima";"Sem instrução ou menos de 5 anos";"26";"Mil pessoas";"21";"Mil pessoas";"19";"Mil pessoas";"17";"Mil pessoas";"23";"Mil pessoas";"19";"Mil pessoas";"21";"Mil pessoas";"15";"Mil pessoas";"22";"Mil pessoas";"18";"Mil pessoas";"23";"Mil pessoas";"16";"Mil pessoas";"21";"Mil pessoas";"14";"Mil pessoas"
"Roraima";"5 a 8 anos";"21";"Mil pessoas";"16";"Mil pessoas";"25";"Mil pessoas";"20";"Mil pessoas";"27";"Mil pessoas";"20";"Mil pessoas";"25";"Mil pessoas";"19";"Mil pessoas";"23";"Mil pessoas";"21";"Mil pessoas";"23";"Mil pessoas";"20";"Mil pessoas";"28";"Mil pessoas";"19";"Mil pessoas"
"Roraima";"9 a 11 anos";"12";"Mil pessoas";"12";"Mil pessoas";"16";"Mil pessoas";"12";"Mil pessoas";"16";"Mil pessoas";"14";"Mil pessoas";"17";"Mil pessoas";"11";"Mil pessoas";"19";"Mil pessoas";"16";"Mil pessoas";"22";"Mil pessoas";"18";"Mil pessoas";"21";"Mil pessoas";"19";"Mil pessoas"
"Roraima";"12 anos ou mais";"60";"Mil pessoas";"71";"Mil pessoas";"65";"Mil pessoas";"78";"Mil pessoas";"68";"Mil pessoas";"86";"Mil pessoas";"79";"Mil pessoas";"90";"Mil pessoas";"97";"Mil pessoas";"108";"Mil pessoas";"94";"Mil pessoas";"113";"Mil pessoas";"96";"Mil pessoas";"119";"Mil pessoas"
"Pará";"Sem instrução ou menos de 5 anos";"618";"Mil pessoas";"489";"Mil pessoas";"599";"Mil pessoas";"481";"Mil pessoas";"584";"Mil pessoas";"452";"Mil pessoas";"571";"Mil pessoas";"458";"Mil pessoas";"569";"Mil pessoas";"449";"Mil pessoas";"560";"Mil pessoas";"441";"Mil pessoas";"538";"Mil pessoas";"434";"Mil pessoas"
"Pará";"5 a 8 anos";"548";"Mil pessoas";"501";"Mil pessoas";"537";"Mil pessoas";"506";"Mil pessoas";"570";"Mil pessoas";"517";"Mil pessoas";"547";"Mil pessoas";"501";"Mil pessoas";"587";"Mil pessoas";"511";"Mil pessoas";"535";"Mil pessoas";"508";"Mil pessoas";"518";"Mil pessoas";"456";"Mil pessoas"
"Pará";"9 a 11 anos";"287";"Mil pessoas";"305";"Mil pessoas";"316";"Mil pessoas";"311";"Mil pessoas";"327";"Mil pessoas";"297";"Mil pessoas";"319";"Mil pessoas";"299";"Mil pessoas";"331";"Mil pessoas";"325";"Mil pessoas";"327";"Mil pessoas";"329";"Mil pessoas";"361";"Mil pessoas";"343";"Mil pessoas"
"Pará";"12 anos ou mais";"705";"Mil pessoas";"937";"Mil pessoas";"734";"Mil pessoas";"1015";"Mil pessoas";"823";"Mil pessoas";"1073";"Mil pessoas";"854";"Mil pessoas";"1136";"Mil pessoas";"982";"Mil pessoas";"1256";"Mil pessoas";"1077";"Mil pessoas";"1361";"Mil pessoas";"1143";"Mil pessoas";"1469";"Mil pessoas"
"Amapá";"Sem instrução ou menos de 5 anos";"33";"Mil pessoas";"32";"Mil pessoas";"33";"Mil pessoas";"27";"Mil pessoas";"34";"Mil pessoas";"33";"Mil pessoas";"40";"Mil pessoas";"35";"Mil pessoas";"35";"Mil pessoas";"34";"Mil pessoas";"31";"Mil pessoas";"33";"Mil pessoas";"35";"Mil pessoas";"32";"Mil pessoas"
"Amapá";"5 a 8 anos";"37";"Mil pessoas";"30";"Mil pessoas";"38";"Mil pessoas";"32";"Mil pessoas";"46";"Mil pessoas";"35";"Mil pessoas";"35";"Mil pessoas";"32";"Mil pessoas";"39";"Mil pessoas";"30";"Mil pessoas";"41";"Mil pessoas";"33";"Mil pessoas";"47";"Mil pessoas";"34";"Mil pessoas"
"Amapá";"9 a 11 anos";"21";"Mil pessoas";"20";"Mil pessoas";"31";"Mil pessoas";"22";"Mil pessoas";"24";"Mil pessoas";"24";"Mil pessoas";"28";"Mil pessoas";"22";"Mil pessoas";"26";"Mil pessoas";"25";"Mil pessoas";"26";"Mil pessoas";"23";"Mil pessoas";"29";"Mil pessoas";"24";"Mil pessoas"
"Amapá";"12 anos ou mais";"97";"Mil pessoas";"118";"Mil pessoas";"96";"Mil pessoas";"123";"Mil pessoas";"101";"Mil pessoas";"128";"Mil pessoas";"109";"Mil pessoas";"139";"Mil pessoas";"139";"Mil pessoas";"157";"Mil pessoas";"148";"Mil pessoas";"173";"Mil pessoas";"147";"Mil pessoas";"177";"Mil pessoas"
"Tocantins";"Sem instrução ou menos de 5 anos";"124";"Mil pessoas";"97";"Mil pessoas";"117";"Mil pessoas";"91";"Mil pessoas";"119";"Mil pessoas";"93";"Mil pessoas";"114";"Mil pessoas";"97";"Mil pessoas";"105";"Mil pessoas";"82";"Mil pessoas";"105";"Mil pessoas";"85";"Mil pessoas";"104";"Mil pessoas";"74";"Mil pessoas"
"Tocantins";"5 a 8 anos";"83";"Mil pessoas";"72";"Mil pessoas";"108";"Mil pessoas";"84";"Mil pessoas";"100";"Mil pessoas";"85";"Mil pessoas";"106";"Mil pessoas";"80";"Mil pessoas";"96";"Mil pessoas";"76";"Mil pessoas";"94";"Mil pessoas";"73";"Mil pessoas";"105";"Mil pessoas";"84";"Mil pessoas"
"Tocantins";"9 a 11 anos";"52";"Mil pessoas";"45";"Mil pessoas";"45";"Mil pessoas";"44";"Mil pessoas";"51";"Mil pessoas";"40";"Mil pessoas";"56";"Mil pessoas";"43";"Mil pessoas";"50";"Mil pessoas";"43";"Mil pessoas";"60";"Mil pessoas";"46";"Mil pessoas";"59";"Mil pessoas";"44";"Mil pessoas"
"Tocantins";"12 anos ou mais";"152";"Mil pessoas";"200";"Mil pessoas";"166";"Mil pessoas";"218";"Mil pessoas";"185";"Mil pessoas";"230";"Mil pessoas";"188";"Mil pessoas";"238";"Mil pessoas";"234";"Mil pessoas";"277";"Mil pessoas";"224";"Mil pessoas";"279";"Mil pessoas";"236";"Mil pessoas";"297";"Mil pessoas"
"Maranhão";"Sem instrução ou menos de 5 anos";"642";"Mil pessoas";"581";"Mil pessoas";"646";"Mil pessoas";"573";"Mil pessoas";"622";"Mil pessoas";"557";"Mil pessoas";"599";"Mil pessoas";"550";"Mil pessoas";"547";"Mil pessoas";"479";"Mil pessoas";"562";"Mil pessoas";"497";"Mil pessoas";"576";"Mil pessoas";"497";"Mil pessoas"
"Maranhão";"5 a 8 anos";"391";"Mil pessoas";"373";"Mil pessoas";"387";"Mil pessoas";"369";"Mil pessoas";"397";"Mil pessoas";"368";"Mil pessoas";"379";"Mil pessoas";"383";"Mil pessoas";"385";"Mil pessoas";"386";"Mil pessoas";"383";"Mil pessoas";"359";"Mil pessoas";"369";"Mil pessoas";"357";"Mil pessoas"
"Maranhão";"9 a 11 anos";"219";"Mil pessoas";"226";"Mil pessoas";"226";"Mil pessoas";"230";"Mil pessoas";"234";"Mil pessoas";"236";"Mil pessoas";"244";"Mil pessoas";"233";"Mil pessoas";"266";"Mil pessoas";"252";"Mil pessoas";"245";"Mil pessoas";"266";"Mil pessoas";"250";"Mil pessoas";"276";"Mil pessoas"
"Maranhão";"12 anos ou mais";"507";"Mil pessoas";"690";"Mil pessoas";"554";"Mil pessoas";"753";"Mil pessoas";"587";"Mil pessoas";"809";"Mil pessoas";"617";"Mil pessoas";"859";"Mil pessoas";"742";"Mil pessoas";"1012";"Mil pessoas";"799";"Mil pessoas";"1058";"Mil pessoas";"833";"Mil pessoas";"1098";"Mil pessoas"
"Piauí";"Sem instrução ou menos de 5 anos";"344";"Mil pessoas";"293";"Mil pessoas";"331";"Mil pessoas";"274";"Mil pessoas";"325";"Mil pessoas";"286";"Mil pessoas";"337";"Mil pessoas";"269";"Mil pessoas";"329";"Mil pessoas";"283";"Mil pessoas";"301";"Mil pessoas";"269";"Mil pessoas";"296";"Mil pessoas";"250";"Mil pessoas"
"Piauí";"5 a 8 anos";"197";"Mil pessoas";"228";"Mil pessoas";"207";"Mil pessoas";"215";"Mil pessoas";"218";"Mil pessoas";"203";"Mil pessoas";"219";"Mil pessoas";"212";"Mil pessoas";"200";"Mil pessoas";"186";"Mil pessoas";"196";"Mil pessoas";"192";"Mil pessoas";"206";"Mil pessoas";"199";"Mil pessoas"
"Piauí";"9 a 11 anos";"118";"Mil pessoas";"116";"Mil pessoas";"117";"Mil pessoas";"120";"Mil pessoas";"119";"Mil pessoas";"126";"Mil pessoas";"116";"Mil pessoas";"116";"Mil pessoas";"109";"Mil pessoas";"120";"Mil pessoas";"125";"Mil pessoas";"99";"Mil pessoas";"124";"Mil pessoas";"120";"Mil pessoas"
