"Tabela 7134 - Pessoas de 25 anos ou mais de idade, por cor ou raça e grupos de anos de estudo"
"Variável - Pessoas de 25 anos ou mais de idade"
"Unidade da Federação";"Grupos de anos de estudo";"Ano x Cor ou raça"
"Unidade da Federação";"Grupos de anos de estudo";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupos de anos de estudo";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Rondônia";"Sem instrução ou menos de 5 anos";"70";"Mil pessoas";"168";"Mil pessoas";"58";"Mil pessoas";"153";"Mil pessoas";"57";"Mil pessoas";"143";"Mil pessoas";"53";"Mil pessoas";"138";"Mil pessoas";"58";"Mil pessoas";"145";"Mil pessoas";"72";"Mil pessoas";"157";"Mil pessoas";"66";"Mil pessoas";"169";"Mil pessoas"
"Rondônia";"5 a 8 anos";"67";"Mil pessoas";"159";"Mil pessoas";"78";"Mil pessoas";"188";"Mil pessoas";"75";"Mil pessoas";"195";"Mil pessoas";"71";"Mil pessoas";"199";"Mil pessoas";"76";"Mil pessoas";"183";"Mil pessoas";"71";"Mil pessoas";"177";"Mil pessoas";"54";"Mil pessoas";"163";"Mil pessoas"
"Rondônia";"9 a 11 anos";"34";"Mil pessoas";"94";"Mil pessoas";"35";"Mil pessoas";"96";"Mil pessoas";"37";"Mil pessoas";"95";"Mil pessoas";"33";"Mil pessoas";"92";"Mil pessoas";"36";"Mil pessoas";"96";"Mil pessoas";"43";"Mil pessoas";"105";"Mil pessoas";"35";"Mil pessoas";"93";"Mil pessoas"
"Rondônia";"12 anos ou mais";"113";"Mil pessoas";"230";"Mil pessoas";"130";"Mil pessoas";"248";"Mil pessoas";"124";"Mil pessoas";"272";"Mil pessoas";"133";"Mil pessoas";"298";"Mil pessoas";"165";"Mil pessoas";"353";"Mil pessoas";"173";"Mil pessoas";"355";"Mil pessoas";"169";"Mil pessoas";"418";"Mil pessoas"
"Acre";"Sem instrução ou menos de 5 anos";"17";"Mil pessoas";"106";"Mil pessoas";"15";"Mil pessoas";"97";"Mil pessoas";"16";"Mil pessoas";"95";"Mil pessoas";"12";"Mil pessoas";"96";"Mil pessoas";"13";"Mil pessoas";"89";"Mil pessoas";"13";"Mil pessoas";"105";"Mil pessoas";"16";"Mil pessoas";"98";"Mil pessoas"
"Acre";"5 a 8 anos";"10";"Mil pessoas";"61";"Mil pessoas";"13";"Mil pessoas";"70";"Mil pessoas";"15";"Mil pessoas";"73";"Mil pessoas";"13";"Mil pessoas";"73";"Mil pessoas";"13";"Mil pessoas";"72";"Mil pessoas";"10";"Mil pessoas";"61";"Mil pessoas";"11";"Mil pessoas";"63";"Mil pessoas"
"Acre";"9 a 11 anos";"7";"Mil pessoas";"39";"Mil pessoas";"8";"Mil pessoas";"40";"Mil pessoas";"8";"Mil pessoas";"41";"Mil pessoas";"8";"Mil pessoas";"42";"Mil pessoas";"9";"Mil pessoas";"44";"Mil pessoas";"7";"Mil pessoas";"47";"Mil pessoas";"8";"Mil pessoas";"47";"Mil pessoas"
"Acre";"12 anos ou mais";"36";"Mil pessoas";"130";"Mil pessoas";"39";"Mil pessoas";"135";"Mil pessoas";"42";"Mil pessoas";"141";"Mil pessoas";"46";"Mil pessoas";"157";"Mil pessoas";"54";"Mil pessoas";"197";"Mil pessoas";"49";"Mil pessoas";"198";"Mil pessoas";"59";"Mil pessoas";"200";"Mil pessoas"
"Amazonas";"Sem instrução ou menos de 5 anos";"42";"Mil pessoas";"340";"Mil pessoas";"39";"Mil pessoas";"292";"Mil pessoas";"43";"Mil pessoas";"289";"Mil pessoas";"28";"Mil pessoas";"267";"Mil pessoas";"42";"Mil pessoas";"261";"Mil pessoas";"40";"Mil pessoas";"260";"Mil pessoas";"34";"Mil pessoas";"265";"Mil pessoas"
"Amazonas";"5 a 8 anos";"42";"Mil pessoas";"294";"Mil pessoas";"49";"Mil pessoas";"344";"Mil pessoas";"51";"Mil pessoas";"363";"Mil pessoas";"48";"Mil pessoas";"360";"Mil pessoas";"45";"Mil pessoas";"320";"Mil pessoas";"39";"Mil pessoas";"328";"Mil pessoas";"42";"Mil pessoas";"294";"Mil pessoas"
