"Tabela 7136 - Estudantes, por sexo e grupo de idade"
"Variável - Estudantes"
"Unidade da Federação";"Grupo de idade";"Ano x Sexo"
"Unidade da Federação";"Grupo de idade";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupo de idade";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Rondônia";"0 a 5 anos";"41";"Mil pessoas";"32";"Mil pessoas";"34";"Mil pessoas";"37";"Mil pessoas";"35";"Mil pessoas";"30";"Mil pessoas";"37";"Mil pessoas";"34";"Mil pessoas";"26";"Mil pessoas";"32";"Mil pessoas";"32";"Mil pessoas";"32";"Mil pessoas";"37";"Mil pessoas";"29";"Mil pessoas"
"Rondônia";"0 a 3 anos";"10";"Mil pessoas";"8";"Mil pessoas";"10";"Mil pessoas";"11";"Mil pessoas";"12";"Mil pessoas";"10";"Mil pessoas";"9";"Mil pessoas";"8";"Mil pessoas";"7";"Mil pessoas";"9";"Mil pessoas";"8";"Mil pessoas";"9";"Mil pessoas";"12";"Mil pessoas";"10";"Mil pessoas"
"Rondônia";"4 a 5 anos";"31";"Mil pessoas";"24";"Mil pessoas";"23";"Mil pessoas";"26";"Mil pessoas";"23";"Mil pessoas";"20";"Mil pessoas";"28";"Mil pessoas";"27";"Mil pessoas";"18";"Mil pessoas";"22";"Mil pessoas";"24";"Mil pessoas";"23";"Mil pessoas";"26";"Mil pessoas";"19";"Mil pessoas"
"Rondônia";"6 a 14 anos";"139";"Mil pessoas";"124";"Mil pessoas";"141";"Mil pessoas";"120";"Mil pessoas";"118";"Mil pessoas";"118";"Mil pessoas";"116";"Mil pessoas";"116";"Mil pessoas";"128";"Mil pessoas";"109";"Mil pessoas";"117";"Mil pessoas";"113";"Mil pessoas";"125";"Mil pessoas";"106";"Mil pessoas"
"Rondônia";"15 a 17 anos";"39";"Mil pessoas";"40";"Mil pessoas";"37";"Mil pessoas";"35";"Mil pessoas";"36";"Mil pessoas";"41";"Mil pessoas";"34";"Mil pessoas";"38";"Mil pessoas";"38";"Mil pessoas";"44";"Mil pessoas";"39";"Mil pessoas";"40";"Mil pessoas";"41";"Mil pessoas";"36";"Mil pessoas"
"Rondônia";"18 a 24 anos";"32";"Mil pessoas";"35";"Mil pessoas";"32";"Mil pessoas";"35";"Mil pessoas";"29";"Mil pessoas";"39";"Mil pessoas";"33";"Mil pessoas";"41";"Mil pessoas";"31";"Mil pessoas";"38";"Mil pessoas";"29";"Mil pessoas";"35";"Mil pessoas";"27";"Mil pessoas";"34";"Mil pessoas"
"Rondônia";"25 anos ou mais";"25";"Mil pessoas";"38";"Mil pessoas";"21";"Mil pessoas";"30";"Mil pessoas";"19";"Mil pessoas";"31";"Mil pessoas";"32";"Mil pessoas";"32";"Mil pessoas";"29";"Mil pessoas";"36";"Mil pessoas";"25";"Mil pessoas";"41";"Mil pessoas";"17";"Mil pessoas";"33";"Mil pessoas"
"Acre";"0 a 5 anos";"18";"Mil pessoas";"14";"Mil pessoas";"18";"Mil pessoas";"17";"Mil pessoas";"19";"Mil pessoas";"20";"Mil pessoas";"21";"Mil pessoas";"19";"Mil pessoas";"19";"Mil pessoas";"16";"Mil pessoas";"17";"Mil pessoas";"17";"Mil pessoas";"19";"Mil pessoas";"19";"Mil pessoas"
"Acre";"0 a 3 anos";"5";"Mil pessoas";"4";"Mil pessoas";"6";"Mil pessoas";"5";"Mil pessoas";"6";"Mil pessoas";"7";"Mil pessoas";"8";"Mil pessoas";"7";"Mil pessoas";"6";"Mil pessoas";"5";"Mil pessoas";"5";"Mil pessoas";"5";"Mil pessoas";"5";"Mil pessoas";"5";"Mil pessoas"
"Acre";"4 a 5 anos";"13";"Mil pessoas";"10";"Mil pessoas";"12";"Mil pessoas";"12";"Mil pessoas";"13";"Mil pessoas";"13";"Mil pessoas";"13";"Mil pessoas";"13";"Mil pessoas";"13";"Mil pessoas";"11";"Mil pessoas";"12";"Mil pessoas";"13";"Mil pessoas";"14";"Mil pessoas";"14";"Mil pessoas"
"Acre";"6 a 14 anos";"84";"Mil pessoas";"75";"Mil pessoas";"78";"Mil pessoas";"74";"Mil pessoas";"76";"Mil pessoas";"73";"Mil pessoas";"71";"Mil pessoas";"71";"Mil pessoas";"72";"Mil pessoas";"67";"Mil pessoas";"75";"Mil pessoas";"68";"Mil pessoas";"72";"Mil pessoas";"72";"Mil pessoas"
"Acre";"15 a 17 anos";"26";"Mil pessoas";"26";"Mil pessoas";"26";"Mil pessoas";"22";"Mil pessoas";"23";"Mil pessoas";"20";"Mil pessoas";"24";"Mil pessoas";"20";"Mil pessoas";"24";"Mil pessoas";"23";"Mil pessoas";"25";"Mil pessoas";"25";"Mil pessoas";"24";"Mil pessoas";"22";"Mil pessoas"
"Acre";"18 a 24 anos";"20";"Mil pessoas";"21";"Mil pessoas";"20";"Mil pessoas";"20";"Mil pessoas";"17";"Mil pessoas";"20";"Mil pessoas";"18";"Mil pessoas";"20";"Mil pessoas";"20";"Mil pessoas";"21";"Mil pessoas";"18";"Mil pessoas";"21";"Mil pessoas";"20";"Mil pessoas";"22";"Mil pessoas"
