"Tabela 7138 - Taxa de escolarização, por sexo e grupo de idade"
"Variável - Taxa de escolarização"
"Unidade da Federação";"Grupo de idade";"Ano x Sexo"
"Unidade da Federação";"Grupo de idade";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupo de idade";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Rondônia";"0 a 5 anos";"42,6";"%";"39,6";"%";"44,8";"%";"41,8";"%";"35,1";"%";"39,6";"%";"38,4";"%";"42,2";"%";"35,5";"%";"39,7";"%";"41,7";"%";"40,0";"%";"44,7";"%";"40,7";"%"
"Rondônia";"0 a 3 anos";"17,4";"%";"15,4";"%";"21,9";"%";"18,3";"%";"16,0";"%";"19,0";"%";"13,8";"%";"15,5";"%";"14,7";"%";"17,5";"%";"17,0";"%";"17,0";"%";"22,4";"%";"19,8";"%"
"Rondônia";"4 a 5 anos";"82,6";"%";"82,4";"%";"84,4";"%";"88,3";"%";"86,6";"%";"91,2";"%";"83,3";"%";"86,3";"%";"84,5";"%";"86,5";"%";"84,6";"%";"86,0";"%";"82,2";"%";"88,4";"%"
"Rondônia";"6 a 14 anos";"98,9";"%";"99,8";"%";"99,4";"%";"99,7";"%";"98,5";"%";"99,3";"%";"99,5";"%";"99,2";"%";"98,4";"%";"99,0";"%";"99,7";"%";"99,5";"%";"98,7";"%";"99,7";"%"
"Rondônia";"15 a 17 anos";"87,3";"%";"84,2";"%";"86,3";"%";"85,6";"%";"88,5";"%";"85,4";"%";"82,4";"%";"94,1";"%";"95,3";"%";"95,6";"%";"92,6";"%";"94,1";"%";"93,4";"%";"93,8";"%"
"Rondônia";"18 a 24 anos";"29,0";"%";"30,7";"%";"28,2";"%";"32,5";"%";"26,2";"%";"32,0";"%";"28,8";"%";"32,1";"%";"28,0";"%";"34,8";"%";"28,6";"%";"35,6";"%";"27,0";"%";"32,7";"%"
"Rondônia";"25 anos ou mais";"5,3";"%";"8,0";"%";"4,2";"%";"6,0";"%";"3,8";"%";"6,2";"%";"6,3";"%";"6,2";"%";"5,3";"%";"6,3";"%";"4,3";"%";"7,0";"%";"2,9";"%";"5,5";"%"
"Acre";"0 a 5 anos";"37,5";"%";"32,9";"%";"38,4";"%";"39,0";"%";"37,4";"%";"42,9";"%";"41,9";"%";"42,8";"%";"38,7";"%";"38,2";"%";"37,5";"%";"39,0";"%";"39,8";"%";"40,5";"%"
"Acre";"0 a 3 anos";"16,4";"%";"13,7";"%";"18,1";"%";"17,7";"%";"17,8";"%";"22,4";"%";"24,0";"%";"22,2";"%";"17,9";"%";"17,9";"%";"16,4";"%";"16,4";"%";"17,0";"%";"16,6";"%"
"Acre";"4 a 5 anos";"78,4";"%";"76,3";"%";"79,9";"%";"78,5";"%";"75,9";"%";"80,5";"%";"74,7";"%";"80,2";"%";"78,5";"%";"71,4";"%";"76,7";"%";"79,3";"%";"81,8";"%";"79,4";"%"
"Acre";"6 a 14 anos";"97,7";"%";"98,5";"%";"97,1";"%";"98,0";"%";"98,2";"%";"98,1";"%";"98,1";"%";"97,2";"%";"97,6";"%";"98,3";"%";"98,4";"%";"97,7";"%";"98,3";"%";"98,3";"%"
"Acre";"15 a 17 anos";"85,8";"%";"86,2";"%";"86,0";"%";"81,6";"%";"83,5";"%";"80,9";"%";"86,9";"%";"82,0";"%";"90,5";"%";"87,5";"%";"91,3";"%";"89,0";"%";"90,4";"%";"91,9";"%"
"Acre";"18 a 24 anos";"36,5";"%";"40,2";"%";"34,1";"%";"34,5";"%";"29,7";"%";"34,3";"%";"31,2";"%";"34,0";"%";"32,0";"%";"37,2";"%";"30,1";"%";"35,2";"%";"31,7";"%";"36,5";"%"
"Acre";"25 anos ou mais";"9,6";"%";"11,3";"%";"7,3";"%";"9,2";"%";"8,2";"%";"9,6";"%";"6,3";"%";"8,1";"%";"5,2";"%";"6,8";"%";"4,7";"%";"5,4";"%";"4,2";"%";"6,2";"%"
"Amazonas";"0 a 5 anos";"32,7";"%";"35,9";"%";"32,1";"%";"33,9";"%";"37,7";"%";"37,2";"%";"40,7";"%";"35,4";"%";"37,6";"%";"36,2";"%";"41,1";"%";"40,2";"%";"38,7";"%";"38,8";"%"
"Amazonas";"0 a 3 anos";"11,2";"%";"12,1";"%";"9,9";"%";"10,5";"%";"13,7";"%";"11,9";"%";"15,8";"%";"10,6";"%";"13,3";"%";"17,5";"%";"18,2";"%";"18,5";"%";"19,8";"%";"13,9";"%"
"Amazonas";"4 a 5 anos";"77,7";"%";"83,8";"%";"76,1";"%";"78,9";"%";"83,1";"%";"87,1";"%";"86,7";"%";"83,8";"%";"77,6";"%";"78,5";"%";"83,6";"%";"86,3";"%";"81,6";"%";"85,8";"%"
"Amazonas";"6 a 14 anos";"98,0";"%";"97,5";"%";"98,3";"%";"98,4";"%";"98,3";"%";"99,1";"%";"98,3";"%";"98,8";"%";"97,8";"%";"98,2";"%";"99,1";"%";"99,1";"%";"98,9";"%";"99,5";"%"
"Amazonas";"15 a 17 anos";"88,7";"%";"84,0";"%";"91,2";"%";"85,4";"%";"89,5";"%";"87,7";"%";"89,3";"%";"89,8";"%";"90,4";"%";"92,5";"%";"92,3";"%";"86,1";"%";"93,1";"%";"91,4";"%"
"Amazonas";"18 a 24 anos";"37,4";"%";"35,7";"%";"33,4";"%";"32,5";"%";"33,7";"%";"34,7";"%";"32,5";"%";"33,4";"%";"29,2";"%";"29,3";"%";"28,2";"%";"32,5";"%";"27,0";"%";"33,0";"%"
"Amazonas";"25 anos ou mais";"5,9";"%";"9,0";"%";"5,7";"%";"8,1";"%";"5,5";"%";"7,2";"%";"5,3";"%";"6,8";"%";"5,5";"%";"8,3";"%";"5,8";"%";"6,4";"%";"5,8";"%";"7,5";"%"
"Roraima";"0 a 5 anos";"35,9";"%";"40,3";"%";"38,0";"%";"44,8";"%";"41,2";"%";"42,0";"%";"35,8";"%";"41,6";"%";"39,4";"%";"41,3";"%";"41,2";"%";"38,6";"%";"49,1";"%";"44,2";"%"
"Roraima";"0 a 3 anos";"16,9";"%";"16,5";"%";"14,8";"%";"23,6";"%";"17,3";"%";"20,6";"%";"10,5";"%";"10,6";"%";"21,1";"%";"21,9";"%";"22,8";"%";"15,9";"%";"30,8";"%";"18,9";"%"
"Roraima";"4 a 5 anos";"86,5";"%";"93,3";"%";"86,7";"%";"94,4";"%";"90,9";"%";"89,2";"%";"82,5";"%";"90,4";"%";"81,3";"%";"80,1";"%";"77,5";"%";"79,3";"%";"83,0";"%";"91,1";"%"
"Roraima";"6 a 14 anos";"99,6";"%";"99,6";"%";"99,5";"%";"99,3";"%";"97,9";"%";"98,5";"%";"97,7";"%";"97,0";"%";"95,6";"%";"95,3";"%";"95,8";"%";"97,4";"%";"97,3";"%";"96,8";"%"
"Roraima";"15 a 17 anos";"89,2";"%";"89,2";"%";"89,8";"%";"91,4";"%";"90,0";"%";"85,1";"%";"89,5";"%";"87,8";"%";"95,5";"%";"85,4";"%";"90,5";"%";"88,1";"%";"91,6";"%";"91,3";"%"
"Roraima";"18 a 24 anos";"27,1";"%";"31,6";"%";"33,2";"%";"35,9";"%";"31,1";"%";"34,5";"%";"34,7";"%";"29,4";"%";"24,7";"%";"27,9";"%";"27,6";"%";"33,1";"%";"30,0";"%";"34,9";"%"
"Roraima";"25 anos ou mais";"7,3";"%";"9,6";"%";"6,4";"%";"9,7";"%";"4,5";"%";"9,5";"%";"6,4";"%";"8,6";"%";"4,6";"%";"6,6";"%";"4,1";"%";"7,0";"%";"5,3";"%";"8,7";"%"
"Pará";"0 a 5 anos";"35,6";"%";"39,8";"%";"42,1";"%";"42,3";"%";"41,9";"%";"42,0";"%";"41,6";"%";"43,7";"%";"42,3";"%";"41,2";"%";"46,1";"%";"43,7";"%";"51,0";"%";"46,1";"%"
"Pará";"0 a 3 anos";"13,0";"%";"15,0";"%";"19,0";"%";"19,3";"%";"17,1";"%";"19,5";"%";"18,1";"%";"19,6";"%";"21,5";"%";"19,4";"%";"24,8";"%";"20,0";"%";"27,6";"%";"23,1";"%"
"Pará";"4 a 5 anos";"84,5";"%";"88,2";"%";"88,6";"%";"90,1";"%";"88,4";"%";"87,6";"%";"88,0";"%";"87,9";"%";"85,4";"%";"88,2";"%";"88,3";"%";"91,8";"%";"91,9";"%";"91,6";"%"
"Pará";"6 a 14 anos";"99,5";"%";"99,1";"%";"99,0";"%";"99,2";"%";"98,9";"%";"99,1";"%";"98,4";"%";"98,9";"%";"99,2";"%";"99,1";"%";"99,4";"%";"99,1";"%";"99,0";"%";"99,1";"%"
"Pará";"15 a 17 anos";"90,7";"%";"85,8";"%";"86,2";"%";"83,9";"%";"88,5";"%";"87,1";"%";"89,4";"%";"86,8";"%";"91,4";"%";"91,2";"%";"89,1";"%";"88,0";"%";"93,3";"%";"89,7";"%"
"Pará";"18 a 24 anos";"32,2";"%";"31,5";"%";"31,9";"%";"30,2";"%";"33,5";"%";"32,9";"%";"32,4";"%";"29,6";"%";"32,6";"%";"33,4";"%";"30,0";"%";"35,0";"%";"33,2";"%";"35,6";"%"
"Pará";"25 anos ou mais";"4,3";"%";"6,4";"%";"4,3";"%";"6,8";"%";"4,0";"%";"7,3";"%";"3,7";"%";"6,7";"%";"4,2";"%";"6,6";"%";"4,4";"%";"6,6";"%";"5,5";"%";"8,0";"%"
"Amapá";"0 a 5 anos";"34,3";"%";"33,0";"%";"28,1";"%";"30,1";"%";"27,3";"%";"28,7";"%";"31,8";"%";"42,1";"%";"27,1";"%";"30,5";"%";"29,6";"%";"26,7";"%";"30,0";"%";"30,1";"%"
"Amapá";"0 a 3 anos";"11,8";"%";"10,5";"%";"4,8";"%";"7,9";"%";"13,0";"%";"6,8";"%";"10,2";"%";"13,3";"%";"6,7";"%";"12,3";"%";"6,5";"%";"9,8";"%";"10,9";"%";"7,2";"%"
"Amapá";"4 a 5 anos";"73,0";"%";"72,0";"%";"70,9";"%";"73,0";"%";"53,2";"%";"73,3";"%";"68,4";"%";"79,4";"%";"64,9";"%";"66,7";"%";"71,6";"%";"58,3";"%";"65,5";"%";"71,4";"%"
"Amapá";"6 a 14 anos";"97,7";"%";"98,3";"%";"98,2";"%";"97,6";"%";"100,0";"%";"98,8";"%";"98,9";"%";"99,4";"%";"98,7";"%";"99,0";"%";"99,3";"%";"98,3";"%";"98,1";"%";"99,2";"%"
"Amapá";"15 a 17 anos";"88,9";"%";"89,9";"%";"89,1";"%";"84,2";"%";"89,9";"%";"83,9";"%";"89,5";"%";"85,3";"%";"94,3";"%";"87,9";"%";"88,3";"%";"83,1";"%";"92,4";"%";"91,5";"%"
"Amapá";"18 a 24 anos";"39,8";"%";"31,4";"%";"41,7";"%";"37,4";"%";"43,0";"%";"43,3";"%";"40,2";"%";"40,9";"%";"32,8";"%";"32,5";"%";"32,8";"%";"35,4";"%";"33,2";"%";"32,7";"%"
"Amapá";"25 anos ou mais";"5,0";"%";"8,2";"%";"7,4";"%";"9,5";"%";"4,6";"%";"8,8";"%";"4,5";"%";"6,2";"%";"4,9";"%";"6,3";"%";"4,0";"%";"5,6";"%";"3,0";"%";"6,3";"%"
"Tocantins";"0 a 5 anos";"47,4";"%";"48,8";"%";"47,2";"%";"53,2";"%";"54,1";"%";"53,2";"%";"53,9";"%";"46,5";"%";"47,1";"%";"54,1";"%";"53,1";"%";"51,6";"%";"55,3";"%";"56,4";"%"
"Tocantins";"0 a 3 anos";"26,5";"%";"19,4";"%";"24,7";"%";"31,3";"%";"32,0";"%";"28,7";"%";"30,5";"%";"24,6";"%";"30,5";"%";"32,6";"%";"31,0";"%";"33,4";"%";"32,4";"%";"34,0";"%"
"Tocantins";"4 a 5 anos";"87,6";"%";"94,2";"%";"90,4";"%";"91,1";"%";"94,0";"%";"93,2";"%";"94,2";"%";"90,8";"%";"87,2";"%";"93,5";"%";"96,3";"%";"96,7";"%";"95,5";"%";"98,7";"%"
"Tocantins";"6 a 14 anos";"99,4";"%";"99,6";"%";"99,9";"%";"100,0";"%";"99,1";"%";"99,8";"%";"99,1";"%";"99,1";"%";"99,3";"%";"99,7";"%";"99,2";"%";"99,3";"%";"99,8";"%";"99,6";"%"
"Tocantins";"15 a 17 anos";"82,3";"%";"86,2";"%";"85,8";"%";"89,9";"%";"93,9";"%";"90,0";"%";"90,9";"%";"90,1";"%";"93,9";"%";"96,4";"%";"89,5";"%";"88,9";"%";"93,8";"%";"91,4";"%"
"Tocantins";"18 a 24 anos";"28,3";"%";"32,4";"%";"34,4";"%";"32,4";"%";"33,5";"%";"30,9";"%";"31,3";"%";"30,8";"%";"32,9";"%";"38,1";"%";"29,7";"%";"30,5";"%";"33,5";"%";"34,7";"%"
"Tocantins";"25 anos ou mais";"4,0";"%";"6,0";"%";"4,0";"%";"6,1";"%";"4,0";"%";"6,5";"%";"2,7";"%";"4,9";"%";"4,7";"%";"7,0";"%";"3,9";"%";"6,3";"%";"4,6";"%";"7,0";"%"
"Maranhão";"0 a 5 anos";"50,6";"%";"51,3";"%";"52,2";"%";"50,4";"%";"53,0";"%";"53,6";"%";"52,7";"%";"52,2";"%";"53,9";"%";"55,8";"%";"61,0";"%";"56,7";"%";"59,7";"%";"58,7";"%"
"Maranhão";"0 a 3 anos";"25,9";"%";"28,4";"%";"28,6";"%";"27,3";"%";"30,0";"%";"29,6";"%";"29,6";"%";"30,9";"%";"33,0";"%";"34,4";"%";"39,4";"%";"31,9";"%";"37,5";"%";"39,0";"%"
"Maranhão";"4 a 5 anos";"97,8";"%";"95,9";"%";"96,2";"%";"96,3";"%";"96,9";"%";"97,6";"%";"96,9";"%";"96,2";"%";"96,4";"%";"96,3";"%";"95,1";"%";"96,6";"%";"94,6";"%";"94,2";"%"
"Maranhão";"6 a 14 anos";"99,2";"%";"99,3";"%";"99,3";"%";"99,3";"%";"99,0";"%";"98,9";"%";"99,1";"%";"99,2";"%";"99,4";"%";"99,3";"%";"99,2";"%";"99,3";"%";"99,6";"%";"99,5";"%"
