"Tabela 7159 - Estudantes de 15 anos ou mais de idade, por sexo e situação de ocupação"
"Variável - Estudantes de 15 anos ou mais de idade"
"Unidade da Federação";"Situação de ocupação na semana de referência";"Ano x Sexo"
"Unidade da Federação";"Situação de ocupação na semana de referência";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Situação de ocupação na semana de referência";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Rondônia";"Ocupados";"52";"Mil pessoas";"44";"Mil pessoas";"43";"Mil pessoas";"37";"Mil pessoas";"35";"Mil pessoas";"41";"Mil pessoas";"55";"Mil pessoas";"38";"Mil pessoas";"44";"Mil pessoas";"45";"Mil pessoas";"39";"Mil pessoas";"45";"Mil pessoas";"33";"Mil pessoas";"42";"Mil pessoas"
"Rondônia";"Não ocupados";"44";"Mil pessoas";"68";"Mil pessoas";"47";"Mil pessoas";"63";"Mil pessoas";"49";"Mil pessoas";"69";"Mil pessoas";"44";"Mil pessoas";"72";"Mil pessoas";"54";"Mil pessoas";"75";"Mil pessoas";"53";"Mil pessoas";"71";"Mil pessoas";"52";"Mil pessoas";"61";"Mil pessoas"
"Acre";"Ocupados";"25";"Mil pessoas";"20";"Mil pessoas";"21";"Mil pessoas";"20";"Mil pessoas";"21";"Mil pessoas";"19";"Mil pessoas";"18";"Mil pessoas";"18";"Mil pessoas";"17";"Mil pessoas";"18";"Mil pessoas";"13";"Mil pessoas";"14";"Mil pessoas";"15";"Mil pessoas";"15";"Mil pessoas"
"Acre";"Não ocupados";"40";"Mil pessoas";"50";"Mil pessoas";"40";"Mil pessoas";"42";"Mil pessoas";"37";"Mil pessoas";"43";"Mil pessoas";"38";"Mil pessoas";"41";"Mil pessoas";"39";"Mil pessoas";"44";"Mil pessoas";"41";"Mil pessoas";"46";"Mil pessoas";"39";"Mil pessoas";"46";"Mil pessoas"
"Amazonas";"Ocupados";"105";"Mil pessoas";"92";"Mil pessoas";"103";"Mil pessoas";"79";"Mil pessoas";"92";"Mil pessoas";"66";"Mil pessoas";"100";"Mil pessoas";"81";"Mil pessoas";"107";"Mil pessoas";"95";"Mil pessoas";"103";"Mil pessoas";"86";"Mil pessoas";"100";"Mil pessoas";"93";"Mil pessoas"
"Amazonas";"Não ocupados";"161";"Mil pessoas";"179";"Mil pessoas";"152";"Mil pessoas";"182";"Mil pessoas";"160";"Mil pessoas";"191";"Mil pessoas";"157";"Mil pessoas";"178";"Mil pessoas";"136";"Mil pessoas";"167";"Mil pessoas";"149";"Mil pessoas";"176";"Mil pessoas";"155";"Mil pessoas";"189";"Mil pessoas"
"Roraima";"Ocupados";"14";"Mil pessoas";"12";"Mil pessoas";"13";"Mil pessoas";"13";"Mil pessoas";"12";"Mil pessoas";"14";"Mil pessoas";"15";"Mil pessoas";"12";"Mil pessoas";"10";"Mil pessoas";"12";"Mil pessoas";"11";"Mil pessoas";"13";"Mil pessoas";"16";"Mil pessoas";"18";"Mil pessoas"
"Roraima";"Não ocupados";"17";"Mil pessoas";"24";"Mil pessoas";"20";"Mil pessoas";"27";"Mil pessoas";"20";"Mil pessoas";"23";"Mil pessoas";"20";"Mil pessoas";"24";"Mil pessoas";"19";"Mil pessoas";"23";"Mil pessoas";"19";"Mil pessoas";"23";"Mil pessoas";"20";"Mil pessoas";"23";"Mil pessoas"
"Pará";"Ocupados";"195";"Mil pessoas";"157";"Mil pessoas";"186";"Mil pessoas";"168";"Mil pessoas";"188";"Mil pessoas";"182";"Mil pessoas";"180";"Mil pessoas";"166";"Mil pessoas";"228";"Mil pessoas";"201";"Mil pessoas";"200";"Mil pessoas";"228";"Mil pessoas";"246";"Mil pessoas";"226";"Mil pessoas"
"Pará";"Não ocupados";"296";"Mil pessoas";"369";"Mil pessoas";"301";"Mil pessoas";"373";"Mil pessoas";"301";"Mil pessoas";"374";"Mil pessoas";"317";"Mil pessoas";"361";"Mil pessoas";"313";"Mil pessoas";"359";"Mil pessoas";"297";"Mil pessoas";"368";"Mil pessoas";"314";"Mil pessoas";"375";"Mil pessoas"
"Amapá";"Ocupados";"15";"Mil pessoas";"13";"Mil pessoas";"20";"Mil pessoas";"16";"Mil pessoas";"14";"Mil pessoas";"14";"Mil pessoas";"17";"Mil pessoas";"14";"Mil pessoas";"18";"Mil pessoas";"17";"Mil pessoas";"17";"Mil pessoas";"14";"Mil pessoas";"12";"Mil pessoas";"15";"Mil pessoas"
"Amapá";"Não ocupados";"35";"Mil pessoas";"43";"Mil pessoas";"43";"Mil pessoas";"47";"Mil pessoas";"42";"Mil pessoas";"50";"Mil pessoas";"37";"Mil pessoas";"49";"Mil pessoas";"32";"Mil pessoas";"38";"Mil pessoas";"33";"Mil pessoas";"42";"Mil pessoas";"35";"Mil pessoas";"40";"Mil pessoas"
