"Tabela 7160 - Estudantes de 15 anos ou mais de idade, por cor ou raça e situação de ocupação"
"Variável - Estudantes de 15 anos ou mais de idade"
"Unidade da Federação";"Situação de ocupação na semana de referência";"Ano x Cor ou raça"
"Unidade da Federação";"Situação de ocupação na semana de referência";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Situação de ocupação na semana de referência";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Rondônia";"Ocupados";"28";"Mil pessoas";"67";"Mil pessoas";"20";"Mil pessoas";"59";"Mil pessoas";"21";"Mil pessoas";"54";"Mil pessoas";"26";"Mil pessoas";"66";"Mil pessoas";"25";"Mil pessoas";"63";"Mil pessoas";"30";"Mil pessoas";"53";"Mil pessoas";"21";"Mil pessoas";"53";"Mil pessoas"
"Rondônia";"Não ocupados";"30";"Mil pessoas";"82";"Mil pessoas";"31";"Mil pessoas";"79";"Mil pessoas";"37";"Mil pessoas";"80";"Mil pessoas";"32";"Mil pessoas";"83";"Mil pessoas";"36";"Mil pessoas";"90";"Mil pessoas";"35";"Mil pessoas";"88";"Mil pessoas";"31";"Mil pessoas";"81";"Mil pessoas"
"Acre";"Ocupados";"7";"Mil pessoas";"37";"Mil pessoas";"10";"Mil pessoas";"30";"Mil pessoas";"8";"Mil pessoas";"31";"Mil pessoas";"7";"Mil pessoas";"29";"Mil pessoas";"7";"Mil pessoas";"27";"Mil pessoas";"5";"Mil pessoas";"21";"Mil pessoas";"6";"Mil pessoas";"23";"Mil pessoas"
"Acre";"Não ocupados";"16";"Mil pessoas";"73";"Mil pessoas";"15";"Mil pessoas";"67";"Mil pessoas";"13";"Mil pessoas";"65";"Mil pessoas";"15";"Mil pessoas";"64";"Mil pessoas";"17";"Mil pessoas";"65";"Mil pessoas";"15";"Mil pessoas";"70";"Mil pessoas";"16";"Mil pessoas";"65";"Mil pessoas"
"Amazonas";"Ocupados";"32";"Mil pessoas";"161";"Mil pessoas";"33";"Mil pessoas";"146";"Mil pessoas";"31";"Mil pessoas";"125";"Mil pessoas";"28";"Mil pessoas";"148";"Mil pessoas";"43";"Mil pessoas";"155";"Mil pessoas";"35";"Mil pessoas";"146";"Mil pessoas";"32";"Mil pessoas";"152";"Mil pessoas"
"Amazonas";"Não ocupados";"55";"Mil pessoas";"278";"Mil pessoas";"59";"Mil pessoas";"269";"Mil pessoas";"61";"Mil pessoas";"286";"Mil pessoas";"54";"Mil pessoas";"274";"Mil pessoas";"49";"Mil pessoas";"242";"Mil pessoas";"63";"Mil pessoas";"248";"Mil pessoas";"64";"Mil pessoas";"266";"Mil pessoas"
"Roraima";"Ocupados";"6";"Mil pessoas";"19";"Mil pessoas";"5";"Mil pessoas";"20";"Mil pessoas";"7";"Mil pessoas";"17";"Mil pessoas";"7";"Mil pessoas";"18";"Mil pessoas";"5";"Mil pessoas";"17";"Mil pessoas";"5";"Mil pessoas";"17";"Mil pessoas";"8";"Mil pessoas";"24";"Mil pessoas"
"Roraima";"Não ocupados";"9";"Mil pessoas";"30";"Mil pessoas";"11";"Mil pessoas";"33";"Mil pessoas";"9";"Mil pessoas";"29";"Mil pessoas";"9";"Mil pessoas";"32";"Mil pessoas";"8";"Mil pessoas";"32";"Mil pessoas";"6";"Mil pessoas";"32";"Mil pessoas";"9";"Mil pessoas";"31";"Mil pessoas"
"Pará";"Ocupados";"67";"Mil pessoas";"282";"Mil pessoas";"64";"Mil pessoas";"286";"Mil pessoas";"75";"Mil pessoas";"292";"Mil pessoas";"68";"Mil pessoas";"276";"Mil pessoas";"79";"Mil pessoas";"345";"Mil pessoas";"81";"Mil pessoas";"344";"Mil pessoas";"99";"Mil pessoas";"370";"Mil pessoas"
"Pará";"Não ocupados";"125";"Mil pessoas";"536";"Mil pessoas";"113";"Mil pessoas";"554";"Mil pessoas";"113";"Mil pessoas";"550";"Mil pessoas";"117";"Mil pessoas";"555";"Mil pessoas";"148";"Mil pessoas";"518";"Mil pessoas";"132";"Mil pessoas";"528";"Mil pessoas";"126";"Mil pessoas";"557";"Mil pessoas"
