"Tabela 7161 - Estudantes de 15 anos ou mais de idade, por grupo de idade e situação de ocupação"
"Variável - Estudantes de 15 anos ou mais de idade"
"Unidade da Federação";"Situação de ocupação na semana de referência";"Ano x Grupo de idade"
"Unidade da Federação";"Situação de ocupação na semana de referência";"2016";;;;;;"2017";;;;;;"2018";;;;;;"2019";;;;;;"2022";;;;;;"2023";;;;;;"2024"
"Unidade da Federação";"Situação de ocupação na semana de referência";"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais";;"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais";;"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais";;"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais";;"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais";;"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais";;"15 a 17 anos";;"18 a 24 anos";;"25 anos ou mais"
"Rondônia";"Ocupados";"18";"Mil pessoas";"32";"Mil pessoas";"46";"Mil pessoas";"11";"Mil pessoas";"33";"Mil pessoas";"35";"Mil pessoas";"10";"Mil pessoas";"30";"Mil pessoas";"36";"Mil pessoas";"13";"Mil pessoas";"33";"Mil pessoas";"48";"Mil pessoas";"12";"Mil pessoas";"29";"Mil pessoas";"48";"Mil pessoas";"10";"Mil pessoas";"28";"Mil pessoas";"45";"Mil pessoas";"10";"Mil pessoas";"28";"Mil pessoas";"36";"Mil pessoas"
"Rondônia";"Não ocupados";"61";"Mil pessoas";"34";"Mil pessoas";"17";"Mil pessoas";"60";"Mil pessoas";"34";"Mil pessoas";"16";"Mil pessoas";"66";"Mil pessoas";"37";"Mil pessoas";"15";"Mil pessoas";"59";"Mil pessoas";"41";"Mil pessoas";"17";"Mil pessoas";"70";"Mil pessoas";"40";"Mil pessoas";"18";"Mil pessoas";"68";"Mil pessoas";"35";"Mil pessoas";"21";"Mil pessoas";"67";"Mil pessoas";"33";"Mil pessoas";"14";"Mil pessoas"
"Acre";"Ocupados";"4";"Mil pessoas";"12";"Mil pessoas";"29";"Mil pessoas";"4";"Mil pessoas";"15";"Mil pessoas";"22";"Mil pessoas";"2";"Mil pessoas";"11";"Mil pessoas";"26";"Mil pessoas";"3";"Mil pessoas";"12";"Mil pessoas";"22";"Mil pessoas";"2";"Mil pessoas";"12";"Mil pessoas";"21";"Mil pessoas";"2";"Mil pessoas";"10";"Mil pessoas";"15";"Mil pessoas";"2";"Mil pessoas";"11";"Mil pessoas";"18";"Mil pessoas"
"Acre";"Não ocupados";"47";"Mil pessoas";"28";"Mil pessoas";"14";"Mil pessoas";"44";"Mil pessoas";"25";"Mil pessoas";"13";"Mil pessoas";"41";"Mil pessoas";"25";"Mil pessoas";"13";"Mil pessoas";"42";"Mil pessoas";"26";"Mil pessoas";"11";"Mil pessoas";"45";"Mil pessoas";"30";"Mil pessoas";"9";"Mil pessoas";"49";"Mil pessoas";"28";"Mil pessoas";"10";"Mil pessoas";"44";"Mil pessoas";"31";"Mil pessoas";"9";"Mil pessoas"
"Amazonas";"Ocupados";"28";"Mil pessoas";"73";"Mil pessoas";"96";"Mil pessoas";"32";"Mil pessoas";"61";"Mil pessoas";"89";"Mil pessoas";"28";"Mil pessoas";"49";"Mil pessoas";"81";"Mil pessoas";"31";"Mil pessoas";"63";"Mil pessoas";"87";"Mil pessoas";"25";"Mil pessoas";"64";"Mil pessoas";"114";"Mil pessoas";"25";"Mil pessoas";"66";"Mil pessoas";"99";"Mil pessoas";"22";"Mil pessoas";"60";"Mil pessoas";"111";"Mil pessoas"
"Amazonas";"Não ocupados";"180";"Mil pessoas";"114";"Mil pessoas";"46";"Mil pessoas";"179";"Mil pessoas";"107";"Mil pessoas";"47";"Mil pessoas";"172";"Mil pessoas";"128";"Mil pessoas";"52";"Mil pessoas";"179";"Mil pessoas";"118";"Mil pessoas";"39";"Mil pessoas";"163";"Mil pessoas";"97";"Mil pessoas";"43";"Mil pessoas";"184";"Mil pessoas";"101";"Mil pessoas";"41";"Mil pessoas";"189";"Mil pessoas";"107";"Mil pessoas";"48";"Mil pessoas"
"Roraima";"Ocupados";"2";"Mil pessoas";"10";"Mil pessoas";"14";"Mil pessoas";"2";"Mil pessoas";"10";"Mil pessoas";"15";"Mil pessoas";"2";"Mil pessoas";"9";"Mil pessoas";"15";"Mil pessoas";"2";"Mil pessoas";"9";"Mil pessoas";"15";"Mil pessoas";"1";"Mil pessoas";"7";"Mil pessoas";"14";"Mil pessoas";"1";"Mil pessoas";"9";"Mil pessoas";"14";"Mil pessoas";"2";"Mil pessoas";"12";"Mil pessoas";"19";"Mil pessoas"
"Roraima";"Não ocupados";"25";"Mil pessoas";"10";"Mil pessoas";"6";"Mil pessoas";"26";"Mil pessoas";"15";"Mil pessoas";"6";"Mil pessoas";"23";"Mil pessoas";"15";"Mil pessoas";"4";"Mil pessoas";"24";"Mil pessoas";"14";"Mil pessoas";"6";"Mil pessoas";"24";"Mil pessoas";"13";"Mil pessoas";"4";"Mil pessoas";"24";"Mil pessoas";"13";"Mil pessoas";"4";"Mil pessoas";"25";"Mil pessoas";"13";"Mil pessoas";"4";"Mil pessoas"
"Pará";"Ocupados";"66";"Mil pessoas";"114";"Mil pessoas";"172";"Mil pessoas";"58";"Mil pessoas";"121";"Mil pessoas";"175";"Mil pessoas";"56";"Mil pessoas";"129";"Mil pessoas";"185";"Mil pessoas";"51";"Mil pessoas";"127";"Mil pessoas";"169";"Mil pessoas";"84";"Mil pessoas";"152";"Mil pessoas";"193";"Mil pessoas";"64";"Mil pessoas";"156";"Mil pessoas";"209";"Mil pessoas";"55";"Mil pessoas";"149";"Mil pessoas";"268";"Mil pessoas"
"Pará";"Não ocupados";"356";"Mil pessoas";"244";"Mil pessoas";"64";"Mil pessoas";"375";"Mil pessoas";"224";"Mil pessoas";"75";"Mil pessoas";"355";"Mil pessoas";"241";"Mil pessoas";"79";"Mil pessoas";"382";"Mil pessoas";"220";"Mil pessoas";"76";"Mil pessoas";"389";"Mil pessoas";"206";"Mil pessoas";"77";"Mil pessoas";"390";"Mil pessoas";"201";"Mil pessoas";"75";"Mil pessoas";"386";"Mil pessoas";"213";"Mil pessoas";"90";"Mil pessoas"
"Amapá";"Ocupados";"3";"Mil pessoas";"10";"Mil pessoas";"16";"Mil pessoas";"3";"Mil pessoas";"10";"Mil pessoas";"23";"Mil pessoas";"1";"Mil pessoas";"9";"Mil pessoas";"17";"Mil pessoas";"3";"Mil pessoas";"15";"Mil pessoas";"13";"Mil pessoas";"4";"Mil pessoas";"14";"Mil pessoas";"17";"Mil pessoas";"3";"Mil pessoas";"13";"Mil pessoas";"16";"Mil pessoas";"3";"Mil pessoas";"10";"Mil pessoas";"14";"Mil pessoas"
"Amapá";"Não ocupados";"40";"Mil pessoas";"27";"Mil pessoas";"10";"Mil pessoas";"43";"Mil pessoas";"36";"Mil pessoas";"11";"Mil pessoas";"38";"Mil pessoas";"42";"Mil pessoas";"11";"Mil pessoas";"39";"Mil pessoas";"36";"Mil pessoas";"11";"Mil pessoas";"34";"Mil pessoas";"26";"Mil pessoas";"10";"Mil pessoas";"38";"Mil pessoas";"28";"Mil pessoas";"9";"Mil pessoas";"35";"Mil pessoas";"30";"Mil pessoas";"10";"Mil pessoas"
"Tocantins";"Ocupados";"7";"Mil pessoas";"26";"Mil pessoas";"30";"Mil pessoas";"6";"Mil pessoas";"23";"Mil pessoas";"31";"Mil pessoas";"10";"Mil pessoas";"26";"Mil pessoas";"38";"Mil pessoas";"11";"Mil pessoas";"20";"Mil pessoas";"25";"Mil pessoas";"11";"Mil pessoas";"33";"Mil pessoas";"44";"Mil pessoas";"15";"Mil pessoas";"29";"Mil pessoas";"40";"Mil pessoas";"16";"Mil pessoas";"34";"Mil pessoas";"47";"Mil pessoas"
