"Tabela 7211 - Viagens realizadas pelos moradores dos domicílios no período de referência dos últimos três meses, por tipo de viagem"
"Variável - Viagens realizadas pelos moradores dos domicílios"
"Unidade da Federação";"Ano x Tipo de viagem"
"Unidade da Federação";"2019"
"Unidade da Federação";"Viagem nacional";;"Viagem internacional"
"Rondônia";"123";"Mil unidades";"2";"Mil unidades"
"Acre";"57";"Mil unidades";"2";"Mil unidades"
"Amazonas";"228";"Mil unidades";"3";"Mil unidades"
"Roraima";"39";"Mil unidades";"1";"Mil unidades"
"Pará";"995";"Mil unidades";"8";"Mil unidades"
"Amapá";"36";"Mil unidades";"0";"Mil unidades"
"Tocantins";"198";"Mil unidades";"1";"Mil unidades"
"Maranhão";"498";"Mil unidades";"2";"Mil unidades"
"Piauí";"554";"Mil unidades";"2";"Mil unidades"
"Ceará";"748";"Mil unidades";"14";"Mil unidades"
"Rio Grande do Norte";"386";"Mil unidades";"7";"Mil unidades"
"Paraíba";"252";"Mil unidades";"3";"Mil unidades"
"Pernambuco";"610";"Mil unidades";"16";"Mil unidades"
"Alagoas";"166";"Mil unidades";"2";"Mil unidades"
"Sergipe";"279";"Mil unidades";"3";"Mil unidades"
"Bahia";"1558";"Mil unidades";"31";"Mil unidades"
"Minas Gerais";"2853";"Mil unidades";"45";"Mil unidades"
"Espírito Santo";"375";"Mil unidades";"11";"Mil unidades"
"Rio de Janeiro";"1195";"Mil unidades";"99";"Mil unidades"
"São Paulo";"4123";"Mil unidades";"360";"Mil unidades"
"Paraná";"1257";"Mil unidades";"54";"Mil unidades"
"Santa Catarina";"619";"Mil unidades";"23";"Mil unidades"
"Rio Grande do Sul";"1385";"Mil unidades";"69";"Mil unidades"
"Mato Grosso do Sul";"298";"Mil unidades";"4";"Mil unidades"
"Mato Grosso";"325";"Mil unidades";"4";"Mil unidades"
"Goiás";"713";"Mil unidades";"14";"Mil unidades"
"Distrito Federal";"265";"Mil unidades";"21";"Mil unidades"
"Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2019 (3º trimestre), a partir de 2020 (acumulado de segundas visitas)."

"Notas"
"Foram consideradas somente as informações das três viagens mais recentes realizadas no período de referência dos últimos três meses.
A partir de 2025, as estimativas deste tema passaram a ser divulgadas com base na nova ponderação da pesquisa, conforme a Nota Técnica 02/2025. Consequentemente, a série histórica dos indicadores foi atualizada."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
