"Tabela 7215 - Pessoas de 14 a 29 anos que não frequentam escola e que frequentaram no máximo o ensino médio ou curso equivalente sem o completar, por sexo e idade que deixou de frequentar escola pela última vez"
"Variável - Pessoas de 14 a 29 anos que não frequentam escola e que frequentaram no máximo o ensino médio ou curso equivalente sem o completar"
"Grande Região";"Idade que deixou de frequentar escola pela última vez";"Ano x Sexo"
"Grande Região";"Idade que deixou de frequentar escola pela última vez";"2019";;;;"2022";;;;"2023";;;;"2024"
"Grande Região";"Idade que deixou de frequentar escola pela última vez";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Norte";"até os 13 anos";"76";"Mil pessoas";"51";"Mil pessoas";"58";"Mil pessoas";"41";"Mil pessoas";"44";"Mil pessoas";"34";"Mil pessoas";"36";"Mil pessoas";"24";"Mil pessoas"
"Norte";"14 anos";"52";"Mil pessoas";"43";"Mil pessoas";"38";"Mil pessoas";"28";"Mil pessoas";"36";"Mil pessoas";"40";"Mil pessoas";"27";"Mil pessoas";"38";"Mil pessoas"
"Norte";"15 anos";"78";"Mil pessoas";"70";"Mil pessoas";"65";"Mil pessoas";"63";"Mil pessoas";"66";"Mil pessoas";"70";"Mil pessoas";"67";"Mil pessoas";"59";"Mil pessoas"
"Norte";"16 anos";"98";"Mil pessoas";"87";"Mil pessoas";"72";"Mil pessoas";"67";"Mil pessoas";"75";"Mil pessoas";"63";"Mil pessoas";"85";"Mil pessoas";"55";"Mil pessoas"
"Norte";"17 anos";"102";"Mil pessoas";"98";"Mil pessoas";"108";"Mil pessoas";"83";"Mil pessoas";"100";"Mil pessoas";"69";"Mil pessoas";"95";"Mil pessoas";"72";"Mil pessoas"
"Norte";"18 anos";"125";"Mil pessoas";"84";"Mil pessoas";"119";"Mil pessoas";"79";"Mil pessoas";"130";"Mil pessoas";"75";"Mil pessoas";"129";"Mil pessoas";"81";"Mil pessoas"
"Norte";"19 anos ou mais";"199";"Mil pessoas";"157";"Mil pessoas";"165";"Mil pessoas";"117";"Mil pessoas";"146";"Mil pessoas";"114";"Mil pessoas";"117";"Mil pessoas";"89";"Mil pessoas"
"Nordeste";"até os 13 anos";"211";"Mil pessoas";"124";"Mil pessoas";"139";"Mil pessoas";"112";"Mil pessoas";"112";"Mil pessoas";"104";"Mil pessoas";"137";"Mil pessoas";"88";"Mil pessoas"
"Nordeste";"14 anos";"139";"Mil pessoas";"136";"Mil pessoas";"105";"Mil pessoas";"108";"Mil pessoas";"91";"Mil pessoas";"97";"Mil pessoas";"96";"Mil pessoas";"91";"Mil pessoas"
"Nordeste";"15 anos";"269";"Mil pessoas";"253";"Mil pessoas";"211";"Mil pessoas";"173";"Mil pessoas";"196";"Mil pessoas";"157";"Mil pessoas";"198";"Mil pessoas";"171";"Mil pessoas"
"Nordeste";"16 anos";"314";"Mil pessoas";"240";"Mil pessoas";"218";"Mil pessoas";"200";"Mil pessoas";"230";"Mil pessoas";"195";"Mil pessoas";"216";"Mil pessoas";"185";"Mil pessoas"
"Nordeste";"17 anos";"344";"Mil pessoas";"268";"Mil pessoas";"311";"Mil pessoas";"239";"Mil pessoas";"305";"Mil pessoas";"235";"Mil pessoas";"294";"Mil pessoas";"208";"Mil pessoas"
"Nordeste";"18 anos";"364";"Mil pessoas";"244";"Mil pessoas";"378";"Mil pessoas";"238";"Mil pessoas";"358";"Mil pessoas";"234";"Mil pessoas";"354";"Mil pessoas";"232";"Mil pessoas"
"Nordeste";"19 anos ou mais";"478";"Mil pessoas";"366";"Mil pessoas";"423";"Mil pessoas";"282";"Mil pessoas";"371";"Mil pessoas";"265";"Mil pessoas";"353";"Mil pessoas";"259";"Mil pessoas"
"Sudeste";"até os 13 anos";"192";"Mil pessoas";"125";"Mil pessoas";"133";"Mil pessoas";"57";"Mil pessoas";"97";"Mil pessoas";"60";"Mil pessoas";"104";"Mil pessoas";"62";"Mil pessoas"
"Sudeste";"14 anos";"186";"Mil pessoas";"141";"Mil pessoas";"156";"Mil pessoas";"116";"Mil pessoas";"112";"Mil pessoas";"91";"Mil pessoas";"105";"Mil pessoas";"101";"Mil pessoas"
"Sudeste";"15 anos";"324";"Mil pessoas";"221";"Mil pessoas";"230";"Mil pessoas";"163";"Mil pessoas";"219";"Mil pessoas";"166";"Mil pessoas";"212";"Mil pessoas";"142";"Mil pessoas"
"Sudeste";"16 anos";"467";"Mil pessoas";"317";"Mil pessoas";"286";"Mil pessoas";"219";"Mil pessoas";"278";"Mil pessoas";"221";"Mil pessoas";"317";"Mil pessoas";"209";"Mil pessoas"
"Sudeste";"17 anos";"409";"Mil pessoas";"256";"Mil pessoas";"363";"Mil pessoas";"224";"Mil pessoas";"383";"Mil pessoas";"237";"Mil pessoas";"379";"Mil pessoas";"227";"Mil pessoas"
"Sudeste";"18 anos";"325";"Mil pessoas";"198";"Mil pessoas";"381";"Mil pessoas";"220";"Mil pessoas";"411";"Mil pessoas";"253";"Mil pessoas";"384";"Mil pessoas";"223";"Mil pessoas"
"Sudeste";"19 anos ou mais";"261";"Mil pessoas";"208";"Mil pessoas";"291";"Mil pessoas";"194";"Mil pessoas";"259";"Mil pessoas";"144";"Mil pessoas";"242";"Mil pessoas";"151";"Mil pessoas"
