"Tabela 7219 - Pessoas de 15 a 29 anos de idade com nível de instrução inferior ao médio completo e que não frequentam escola, curso técnico, normal (magistério), pré-vestibular ou curso de qualificação profissional, por sexo e principal motivo de atualmente não frequentar"
"Variável - Pessoas de 15 a 29 anos de idade com nível de instrução inferior ao médio completo e que não frequentam escola, curso técnico, normal (magistério), pré-vestibular ou curso de qualificação profissional"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"Ano x Sexo"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"2019";;;;"2022";;;;"2023";;;;"2024"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Norte";"Precisa trabalhar";"416";"Mil pessoas";"93";"Mil pessoas";"363";"Mil pessoas";"80";"Mil pessoas";"355";"Mil pessoas";"85";"Mil pessoas";"356";"Mil pessoas";"91";"Mil pessoas"
"Norte";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"39";"Mil pessoas";"37";"Mil pessoas";"30";"Mil pessoas";"27";"Mil pessoas";"26";"Mil pessoas";"29";"Mil pessoas";"22";"Mil pessoas";"22";"Mil pessoas"
"Norte";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"9";"Mil pessoas";"6";"Mil pessoas";"13";"Mil pessoas";"8";"Mil pessoas";"8";"Mil pessoas";"6";"Mil pessoas";"5";"Mil pessoas";"5";"Mil pessoas"
"Norte";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"5";"Mil pessoas";"281";"Mil pessoas";"6";"Mil pessoas";"225";"Mil pessoas";"7";"Mil pessoas";"220";"Mil pessoas";"4";"Mil pessoas";"186";"Mil pessoas"
"Norte";"Problemas de saúde permanente";"31";"Mil pessoas";"20";"Mil pessoas";"25";"Mil pessoas";"16";"Mil pessoas";"35";"Mil pessoas";"18";"Mil pessoas";"22";"Mil pessoas";"15";"Mil pessoas"
"Norte";"Não tem interesse";"218";"Mil pessoas";"106";"Mil pessoas";"173";"Mil pessoas";"88";"Mil pessoas";"157";"Mil pessoas";"78";"Mil pessoas";"134";"Mil pessoas";"74";"Mil pessoas"
"Norte";"Outro motivo";"21";"Mil pessoas";"42";"Mil pessoas";"20";"Mil pessoas";"37";"Mil pessoas";"24";"Mil pessoas";"35";"Mil pessoas";"20";"Mil pessoas";"32";"Mil pessoas"
"Nordeste";"Precisa trabalhar";"1131";"Mil pessoas";"304";"Mil pessoas";"1003";"Mil pessoas";"256";"Mil pessoas";"932";"Mil pessoas";"274";"Mil pessoas";"987";"Mil pessoas";"244";"Mil pessoas"
"Nordeste";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"57";"Mil pessoas";"56";"Mil pessoas";"54";"Mil pessoas";"51";"Mil pessoas";"41";"Mil pessoas";"32";"Mil pessoas";"33";"Mil pessoas";"37";"Mil pessoas"
"Nordeste";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"22";"Mil pessoas";"24";"Mil pessoas";"22";"Mil pessoas";"21";"Mil pessoas";"24";"Mil pessoas";"16";"Mil pessoas";"15";"Mil pessoas";"9";"Mil pessoas"
"Nordeste";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"17";"Mil pessoas";"728";"Mil pessoas";"20";"Mil pessoas";"572";"Mil pessoas";"17";"Mil pessoas";"549";"Mil pessoas";"15";"Mil pessoas";"528";"Mil pessoas"
"Nordeste";"Problemas de saúde permanente";"120";"Mil pessoas";"72";"Mil pessoas";"116";"Mil pessoas";"64";"Mil pessoas";"114";"Mil pessoas";"55";"Mil pessoas";"115";"Mil pessoas";"58";"Mil pessoas"
"Nordeste";"Não tem interesse";"784";"Mil pessoas";"363";"Mil pessoas";"530";"Mil pessoas";"306";"Mil pessoas";"494";"Mil pessoas";"276";"Mil pessoas";"461";"Mil pessoas";"275";"Mil pessoas"
"Nordeste";"Outro motivo";"49";"Mil pessoas";"101";"Mil pessoas";"82";"Mil pessoas";"106";"Mil pessoas";"92";"Mil pessoas";"101";"Mil pessoas";"65";"Mil pessoas";"96";"Mil pessoas"
"Sudeste";"Precisa trabalhar";"1268";"Mil pessoas";"448";"Mil pessoas";"1135";"Mil pessoas";"399";"Mil pessoas";"1058";"Mil pessoas";"370";"Mil pessoas";"1089";"Mil pessoas";"361";"Mil pessoas"
"Sudeste";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"57";"Mil pessoas";"47";"Mil pessoas";"38";"Mil pessoas";"34";"Mil pessoas";"29";"Mil pessoas";"28";"Mil pessoas";"24";"Mil pessoas";"31";"Mil pessoas"
"Sudeste";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"47";"Mil pessoas";"22";"Mil pessoas";"40";"Mil pessoas";"21";"Mil pessoas";"32";"Mil pessoas";"24";"Mil pessoas";"19";"Mil pessoas";"14";"Mil pessoas"
