"Tabela 7220 - Pessoas de 15 a 29 anos de idade com nível de instrução inferior ao médio completo e que não frequentam escola, curso técnico, normal (magistério), pré-vestibular ou curso de qualificação profissional, por cor ou raça e principal motivo de atualmente não frequentar"
"Variável - Pessoas de 15 a 29 anos de idade com nível de instrução inferior ao médio completo e que não frequentam escola, curso técnico, normal (magistério), pré-vestibular ou curso de qualificação profissional"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"Ano x Cor ou raça"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"2019";;;;"2022";;;;"2023";;;;"2024"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Norte";"Precisa trabalhar";"65";"Mil pessoas";"436";"Mil pessoas";"64";"Mil pessoas";"374";"Mil pessoas";"58";"Mil pessoas";"377";"Mil pessoas";"62";"Mil pessoas";"377";"Mil pessoas"
"Norte";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"7";"Mil pessoas";"67";"Mil pessoas";"6";"Mil pessoas";"49";"Mil pessoas";"5";"Mil pessoas";"48";"Mil pessoas";"3";"Mil pessoas";"41";"Mil pessoas"
"Norte";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"1";"Mil pessoas";"13";"Mil pessoas";"3";"Mil pessoas";"18";"Mil pessoas";"2";"Mil pessoas";"13";"Mil pessoas";"2";"Mil pessoas";"8";"Mil pessoas"
"Norte";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"21";"Mil pessoas";"259";"Mil pessoas";"23";"Mil pessoas";"202";"Mil pessoas";"18";"Mil pessoas";"205";"Mil pessoas";"19";"Mil pessoas";"164";"Mil pessoas"
"Norte";"Problemas de saúde permanente";"8";"Mil pessoas";"41";"Mil pessoas";"6";"Mil pessoas";"35";"Mil pessoas";"8";"Mil pessoas";"44";"Mil pessoas";"9";"Mil pessoas";"29";"Mil pessoas"
"Norte";"Não tem interesse";"48";"Mil pessoas";"271";"Mil pessoas";"37";"Mil pessoas";"219";"Mil pessoas";"26";"Mil pessoas";"204";"Mil pessoas";"28";"Mil pessoas";"176";"Mil pessoas"
"Norte";"Outro motivo";"7";"Mil pessoas";"54";"Mil pessoas";"12";"Mil pessoas";"44";"Mil pessoas";"12";"Mil pessoas";"44";"Mil pessoas";"6";"Mil pessoas";"44";"Mil pessoas"
"Nordeste";"Precisa trabalhar";"266";"Mil pessoas";"1154";"Mil pessoas";"216";"Mil pessoas";"1028";"Mil pessoas";"215";"Mil pessoas";"980";"Mil pessoas";"187";"Mil pessoas";"1033";"Mil pessoas"
"Nordeste";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"14";"Mil pessoas";"98";"Mil pessoas";"18";"Mil pessoas";"87";"Mil pessoas";"10";"Mil pessoas";"63";"Mil pessoas";"13";"Mil pessoas";"56";"Mil pessoas"
"Nordeste";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"9";"Mil pessoas";"37";"Mil pessoas";"9";"Mil pessoas";"34";"Mil pessoas";"9";"Mil pessoas";"30";"Mil pessoas";"2";"Mil pessoas";"21";"Mil pessoas"
"Nordeste";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"116";"Mil pessoas";"623";"Mil pessoas";"98";"Mil pessoas";"487";"Mil pessoas";"96";"Mil pessoas";"458";"Mil pessoas";"86";"Mil pessoas";"450";"Mil pessoas"
"Nordeste";"Problemas de saúde permanente";"39";"Mil pessoas";"150";"Mil pessoas";"41";"Mil pessoas";"138";"Mil pessoas";"42";"Mil pessoas";"126";"Mil pessoas";"44";"Mil pessoas";"128";"Mil pessoas"
"Nordeste";"Não tem interesse";"208";"Mil pessoas";"930";"Mil pessoas";"159";"Mil pessoas";"665";"Mil pessoas";"153";"Mil pessoas";"609";"Mil pessoas";"126";"Mil pessoas";"605";"Mil pessoas"
"Nordeste";"Outro motivo";"28";"Mil pessoas";"121";"Mil pessoas";"37";"Mil pessoas";"149";"Mil pessoas";"37";"Mil pessoas";"155";"Mil pessoas";"32";"Mil pessoas";"129";"Mil pessoas"
"Sudeste";"Precisa trabalhar";"524";"Mil pessoas";"1180";"Mil pessoas";"489";"Mil pessoas";"1038";"Mil pessoas";"432";"Mil pessoas";"986";"Mil pessoas";"425";"Mil pessoas";"1013";"Mil pessoas"
"Sudeste";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"30";"Mil pessoas";"74";"Mil pessoas";"22";"Mil pessoas";"48";"Mil pessoas";"18";"Mil pessoas";"39";"Mil pessoas";"20";"Mil pessoas";"35";"Mil pessoas"
"Sudeste";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"22";"Mil pessoas";"45";"Mil pessoas";"18";"Mil pessoas";"43";"Mil pessoas";"25";"Mil pessoas";"29";"Mil pessoas";"15";"Mil pessoas";"18";"Mil pessoas"
"Sudeste";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"169";"Mil pessoas";"387";"Mil pessoas";"108";"Mil pessoas";"235";"Mil pessoas";"104";"Mil pessoas";"253";"Mil pessoas";"89";"Mil pessoas";"250";"Mil pessoas"
"Sudeste";"Problemas de saúde permanente";"69";"Mil pessoas";"94";"Mil pessoas";"58";"Mil pessoas";"85";"Mil pessoas";"88";"Mil pessoas";"82";"Mil pessoas";"58";"Mil pessoas";"87";"Mil pessoas"
"Sudeste";"Não tem interesse";"277";"Mil pessoas";"586";"Mil pessoas";"210";"Mil pessoas";"497";"Mil pessoas";"233";"Mil pessoas";"481";"Mil pessoas";"200";"Mil pessoas";"455";"Mil pessoas"
"Sudeste";"Outro motivo";"43";"Mil pessoas";"130";"Mil pessoas";"69";"Mil pessoas";"116";"Mil pessoas";"59";"Mil pessoas";"124";"Mil pessoas";"69";"Mil pessoas";"125";"Mil pessoas"
"Sul";"Precisa trabalhar";"454";"Mil pessoas";"356";"Mil pessoas";"403";"Mil pessoas";"321";"Mil pessoas";"380";"Mil pessoas";"334";"Mil pessoas";"371";"Mil pessoas";"357";"Mil pessoas"
"Sul";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"17";"Mil pessoas";"18";"Mil pessoas";"22";"Mil pessoas";"21";"Mil pessoas";"11";"Mil pessoas";"14";"Mil pessoas";"17";"Mil pessoas";"11";"Mil pessoas"
"Sul";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"10";"Mil pessoas";"13";"Mil pessoas";"13";"Mil pessoas";"10";"Mil pessoas";"9";"Mil pessoas";"6";"Mil pessoas";"9";"Mil pessoas";"6";"Mil pessoas"
"Sul";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"120";"Mil pessoas";"74";"Mil pessoas";"93";"Mil pessoas";"67";"Mil pessoas";"92";"Mil pessoas";"75";"Mil pessoas";"64";"Mil pessoas";"66";"Mil pessoas"
"Sul";"Problemas de saúde permanente";"30";"Mil pessoas";"27";"Mil pessoas";"45";"Mil pessoas";"23";"Mil pessoas";"38";"Mil pessoas";"23";"Mil pessoas";"31";"Mil pessoas";"23";"Mil pessoas"
"Sul";"Não tem interesse";"201";"Mil pessoas";"144";"Mil pessoas";"173";"Mil pessoas";"136";"Mil pessoas";"151";"Mil pessoas";"104";"Mil pessoas";"141";"Mil pessoas";"111";"Mil pessoas"
"Sul";"Outro motivo";"48";"Mil pessoas";"31";"Mil pessoas";"55";"Mil pessoas";"42";"Mil pessoas";"36";"Mil pessoas";"31";"Mil pessoas";"37";"Mil pessoas";"37";"Mil pessoas"
"Centro-Oeste";"Precisa trabalhar";"93";"Mil pessoas";"318";"Mil pessoas";"94";"Mil pessoas";"339";"Mil pessoas";"74";"Mil pessoas";"296";"Mil pessoas";"71";"Mil pessoas";"264";"Mil pessoas"
"Centro-Oeste";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"4";"Mil pessoas";"17";"Mil pessoas";"5";"Mil pessoas";"17";"Mil pessoas";"3";"Mil pessoas";"15";"Mil pessoas";"4";"Mil pessoas";"12";"Mil pessoas"
"Centro-Oeste";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"3";"Mil pessoas";"6";"Mil pessoas";"5";"Mil pessoas";"9";"Mil pessoas";"2";"Mil pessoas";"9";"Mil pessoas";"-";"Mil pessoas";"8";"Mil pessoas"
"Centro-Oeste";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"31";"Mil pessoas";"115";"Mil pessoas";"17";"Mil pessoas";"77";"Mil pessoas";"18";"Mil pessoas";"87";"Mil pessoas";"22";"Mil pessoas";"73";"Mil pessoas"
"Centro-Oeste";"Problemas de saúde permanente";"12";"Mil pessoas";"20";"Mil pessoas";"10";"Mil pessoas";"18";"Mil pessoas";"11";"Mil pessoas";"19";"Mil pessoas";"10";"Mil pessoas";"15";"Mil pessoas"
"Centro-Oeste";"Não tem interesse";"47";"Mil pessoas";"162";"Mil pessoas";"33";"Mil pessoas";"120";"Mil pessoas";"37";"Mil pessoas";"120";"Mil pessoas";"39";"Mil pessoas";"125";"Mil pessoas"
"Centro-Oeste";"Outro motivo";"8";"Mil pessoas";"33";"Mil pessoas";"10";"Mil pessoas";"42";"Mil pessoas";"8";"Mil pessoas";"32";"Mil pessoas";"10";"Mil pessoas";"24";"Mil pessoas"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 2º trimestre"

"Notas"
"A categoria Total para ""Cor ou raça"" inclui as pessoas que se declaram indígenas, amarelas ou sem declaração.
A partir de 01 de agosto de 2022, as estimativas deste tema passaram a ser divulgadas com base no novo método de ponderação da pesquisa, conforme a Nota Técnica 03/2021. Consequentemente, a série histórica dos indicadores foi atualizada."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
