"Tabela 7221 - Pessoas de 15 a 29 anos com o ensino médio completo ou superior incompleto que não frequentam escola, curso técnico, normal (magistério), pré-vestibular ou curso de qualificação profissional, por sexo e principal motivo de atualmente não frequentar"
"Variável - Pessoas de 15 a 29 anos com o ensino médio completo ou superior incompleto que não frequentam escola, curso técnico, normal (magistério), pré-vestibular ou curso de qualificação profissional"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"Ano x Sexo"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"2019";;;;"2022";;;;"2023";;;;"2024"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Norte";"Precisa trabalhar";"320";"Mil pessoas";"172";"Mil pessoas";"379";"Mil pessoas";"212";"Mil pessoas";"430";"Mil pessoas";"237";"Mil pessoas";"451";"Mil pessoas";"256";"Mil pessoas"
"Norte";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"43";"Mil pessoas";"51";"Mil pessoas";"50";"Mil pessoas";"59";"Mil pessoas";"50";"Mil pessoas";"52";"Mil pessoas";"31";"Mil pessoas";"38";"Mil pessoas"
"Norte";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"110";"Mil pessoas";"157";"Mil pessoas";"92";"Mil pessoas";"100";"Mil pessoas";"77";"Mil pessoas";"85";"Mil pessoas";"51";"Mil pessoas";"77";"Mil pessoas"
"Norte";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"5";"Mil pessoas";"138";"Mil pessoas";"6";"Mil pessoas";"135";"Mil pessoas";"6";"Mil pessoas";"172";"Mil pessoas";"5";"Mil pessoas";"156";"Mil pessoas"
"Norte";"Estudando para concurso ou estudando por conta própria para vestibular/ENEM";"29";"Mil pessoas";"29";"Mil pessoas";"21";"Mil pessoas";"27";"Mil pessoas";"28";"Mil pessoas";"26";"Mil pessoas";"20";"Mil pessoas";"21";"Mil pessoas"
"Norte";"Por já ter concluído o nível de estudo que desejava";"58";"Mil pessoas";"60";"Mil pessoas";"101";"Mil pessoas";"85";"Mil pessoas";"104";"Mil pessoas";"108";"Mil pessoas";"116";"Mil pessoas";"115";"Mil pessoas"
"Norte";"Não tem interesse";"70";"Mil pessoas";"48";"Mil pessoas";"89";"Mil pessoas";"71";"Mil pessoas";"71";"Mil pessoas";"64";"Mil pessoas";"84";"Mil pessoas";"64";"Mil pessoas"
"Norte";"Outro motivo";"16";"Mil pessoas";"34";"Mil pessoas";"27";"Mil pessoas";"43";"Mil pessoas";"19";"Mil pessoas";"27";"Mil pessoas";"17";"Mil pessoas";"25";"Mil pessoas"
"Nordeste";"Precisa trabalhar";"981";"Mil pessoas";"663";"Mil pessoas";"1026";"Mil pessoas";"667";"Mil pessoas";"1130";"Mil pessoas";"722";"Mil pessoas";"1108";"Mil pessoas";"732";"Mil pessoas"
"Nordeste";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"98";"Mil pessoas";"143";"Mil pessoas";"104";"Mil pessoas";"141";"Mil pessoas";"74";"Mil pessoas";"108";"Mil pessoas";"74";"Mil pessoas";"110";"Mil pessoas"
"Nordeste";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"264";"Mil pessoas";"423";"Mil pessoas";"221";"Mil pessoas";"346";"Mil pessoas";"190";"Mil pessoas";"256";"Mil pessoas";"146";"Mil pessoas";"217";"Mil pessoas"
"Nordeste";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"10";"Mil pessoas";"336";"Mil pessoas";"5";"Mil pessoas";"356";"Mil pessoas";"7";"Mil pessoas";"363";"Mil pessoas";"8";"Mil pessoas";"395";"Mil pessoas"
"Nordeste";"Estudando para concurso ou estudando por conta própria para vestibular/ENEM";"77";"Mil pessoas";"99";"Mil pessoas";"80";"Mil pessoas";"90";"Mil pessoas";"79";"Mil pessoas";"81";"Mil pessoas";"72";"Mil pessoas";"68";"Mil pessoas"
"Nordeste";"Por já ter concluído o nível de estudo que desejava";"203";"Mil pessoas";"240";"Mil pessoas";"322";"Mil pessoas";"289";"Mil pessoas";"384";"Mil pessoas";"362";"Mil pessoas";"363";"Mil pessoas";"376";"Mil pessoas"
"Nordeste";"Não tem interesse";"199";"Mil pessoas";"163";"Mil pessoas";"263";"Mil pessoas";"236";"Mil pessoas";"256";"Mil pessoas";"202";"Mil pessoas";"243";"Mil pessoas";"202";"Mil pessoas"
"Nordeste";"Outro motivo";"42";"Mil pessoas";"74";"Mil pessoas";"71";"Mil pessoas";"107";"Mil pessoas";"73";"Mil pessoas";"102";"Mil pessoas";"64";"Mil pessoas";"85";"Mil pessoas"
"Sudeste";"Precisa trabalhar";"1839";"Mil pessoas";"1378";"Mil pessoas";"1858";"Mil pessoas";"1364";"Mil pessoas";"1947";"Mil pessoas";"1350";"Mil pessoas";"1868";"Mil pessoas";"1347";"Mil pessoas"
"Sudeste";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"64";"Mil pessoas";"80";"Mil pessoas";"57";"Mil pessoas";"70";"Mil pessoas";"41";"Mil pessoas";"58";"Mil pessoas";"58";"Mil pessoas";"42";"Mil pessoas"
"Sudeste";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"557";"Mil pessoas";"689";"Mil pessoas";"403";"Mil pessoas";"491";"Mil pessoas";"313";"Mil pessoas";"355";"Mil pessoas";"287";"Mil pessoas";"313";"Mil pessoas"
"Sudeste";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"9";"Mil pessoas";"411";"Mil pessoas";"12";"Mil pessoas";"352";"Mil pessoas";"9";"Mil pessoas";"356";"Mil pessoas";"17";"Mil pessoas";"347";"Mil pessoas"
"Sudeste";"Estudando para concurso ou estudando por conta própria para vestibular/ENEM";"78";"Mil pessoas";"78";"Mil pessoas";"75";"Mil pessoas";"65";"Mil pessoas";"53";"Mil pessoas";"65";"Mil pessoas";"68";"Mil pessoas";"62";"Mil pessoas"
"Sudeste";"Por já ter concluído o nível de estudo que desejava";"414";"Mil pessoas";"382";"Mil pessoas";"472";"Mil pessoas";"451";"Mil pessoas";"568";"Mil pessoas";"530";"Mil pessoas";"438";"Mil pessoas";"410";"Mil pessoas"
"Sudeste";"Não tem interesse";"432";"Mil pessoas";"283";"Mil pessoas";"479";"Mil pessoas";"326";"Mil pessoas";"492";"Mil pessoas";"308";"Mil pessoas";"487";"Mil pessoas";"362";"Mil pessoas"
"Sudeste";"Outro motivo";"93";"Mil pessoas";"137";"Mil pessoas";"139";"Mil pessoas";"170";"Mil pessoas";"122";"Mil pessoas";"151";"Mil pessoas";"123";"Mil pessoas";"163";"Mil pessoas"
"Sul";"Precisa trabalhar";"577";"Mil pessoas";"405";"Mil pessoas";"576";"Mil pessoas";"400";"Mil pessoas";"619";"Mil pessoas";"421";"Mil pessoas";"621";"Mil pessoas";"441";"Mil pessoas"
"Sul";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"22";"Mil pessoas";"23";"Mil pessoas";"28";"Mil pessoas";"19";"Mil pessoas";"19";"Mil pessoas";"27";"Mil pessoas";"14";"Mil pessoas";"22";"Mil pessoas"
"Sul";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"88";"Mil pessoas";"141";"Mil pessoas";"75";"Mil pessoas";"95";"Mil pessoas";"61";"Mil pessoas";"80";"Mil pessoas";"63";"Mil pessoas";"74";"Mil pessoas"
"Sul";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"4";"Mil pessoas";"124";"Mil pessoas";"4";"Mil pessoas";"108";"Mil pessoas";"4";"Mil pessoas";"109";"Mil pessoas";"5";"Mil pessoas";"106";"Mil pessoas"
