"Tabela 7222 - Pessoas de 15 a 29 anos com o ensino médio completo ou superior incompleto que não frequentam escola, curso técnico, normal (magistério), pré-vestibular ou curso de qualificação profissional, por cor ou raça e principal motivo de atualmente não frequentar"
"Variável - Pessoas de 15 a 29 anos com o ensino médio completo ou superior incompleto que não frequentam escola, curso técnico, normal (magistério), pré-vestibular ou curso de qualificação profissional"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"Ano x Cor ou raça"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"2019";;;;"2022";;;;"2023";;;;"2024"
"Grande Região";"Principal motivo de atualmente não frequentar escola ou outro curso";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Norte";"Precisa trabalhar";"86";"Mil pessoas";"401";"Mil pessoas";"102";"Mil pessoas";"478";"Mil pessoas";"114";"Mil pessoas";"540";"Mil pessoas";"145";"Mil pessoas";"550";"Mil pessoas"
"Norte";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"14";"Mil pessoas";"77";"Mil pessoas";"13";"Mil pessoas";"94";"Mil pessoas";"11";"Mil pessoas";"89";"Mil pessoas";"9";"Mil pessoas";"58";"Mil pessoas"
"Norte";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"39";"Mil pessoas";"224";"Mil pessoas";"33";"Mil pessoas";"157";"Mil pessoas";"25";"Mil pessoas";"136";"Mil pessoas";"20";"Mil pessoas";"106";"Mil pessoas"
"Norte";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"20";"Mil pessoas";"120";"Mil pessoas";"21";"Mil pessoas";"116";"Mil pessoas";"27";"Mil pessoas";"146";"Mil pessoas";"25";"Mil pessoas";"129";"Mil pessoas"
"Norte";"Estudando para concurso ou estudando por conta própria para vestibular/ENEM";"9";"Mil pessoas";"48";"Mil pessoas";"9";"Mil pessoas";"38";"Mil pessoas";"10";"Mil pessoas";"43";"Mil pessoas";"8";"Mil pessoas";"33";"Mil pessoas"
"Norte";"Por já ter concluído o nível de estudo que desejava";"17";"Mil pessoas";"98";"Mil pessoas";"32";"Mil pessoas";"150";"Mil pessoas";"34";"Mil pessoas";"173";"Mil pessoas";"41";"Mil pessoas";"187";"Mil pessoas"
"Norte";"Não tem interesse";"21";"Mil pessoas";"95";"Mil pessoas";"40";"Mil pessoas";"115";"Mil pessoas";"32";"Mil pessoas";"101";"Mil pessoas";"26";"Mil pessoas";"119";"Mil pessoas"
"Norte";"Outro motivo";"12";"Mil pessoas";"37";"Mil pessoas";"15";"Mil pessoas";"53";"Mil pessoas";"7";"Mil pessoas";"37";"Mil pessoas";"10";"Mil pessoas";"31";"Mil pessoas"
"Nordeste";"Precisa trabalhar";"375";"Mil pessoas";"1259";"Mil pessoas";"384";"Mil pessoas";"1293";"Mil pessoas";"417";"Mil pessoas";"1411";"Mil pessoas";"411";"Mil pessoas";"1417";"Mil pessoas"
"Nordeste";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"54";"Mil pessoas";"184";"Mil pessoas";"56";"Mil pessoas";"187";"Mil pessoas";"29";"Mil pessoas";"151";"Mil pessoas";"36";"Mil pessoas";"146";"Mil pessoas"
"Nordeste";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"135";"Mil pessoas";"548";"Mil pessoas";"111";"Mil pessoas";"452";"Mil pessoas";"98";"Mil pessoas";"341";"Mil pessoas";"64";"Mil pessoas";"294";"Mil pessoas"
"Nordeste";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"71";"Mil pessoas";"273";"Mil pessoas";"73";"Mil pessoas";"282";"Mil pessoas";"67";"Mil pessoas";"301";"Mil pessoas";"82";"Mil pessoas";"317";"Mil pessoas"
"Nordeste";"Estudando para concurso ou estudando por conta própria para vestibular/ENEM";"46";"Mil pessoas";"129";"Mil pessoas";"52";"Mil pessoas";"117";"Mil pessoas";"47";"Mil pessoas";"110";"Mil pessoas";"44";"Mil pessoas";"95";"Mil pessoas"
"Nordeste";"Por já ter concluído o nível de estudo que desejava";"102";"Mil pessoas";"336";"Mil pessoas";"123";"Mil pessoas";"481";"Mil pessoas";"164";"Mil pessoas";"570";"Mil pessoas";"161";"Mil pessoas";"563";"Mil pessoas"
"Nordeste";"Não tem interesse";"84";"Mil pessoas";"277";"Mil pessoas";"115";"Mil pessoas";"373";"Mil pessoas";"107";"Mil pessoas";"346";"Mil pessoas";"115";"Mil pessoas";"329";"Mil pessoas"
"Nordeste";"Outro motivo";"31";"Mil pessoas";"80";"Mil pessoas";"59";"Mil pessoas";"117";"Mil pessoas";"41";"Mil pessoas";"131";"Mil pessoas";"40";"Mil pessoas";"109";"Mil pessoas"
"Sudeste";"Precisa trabalhar";"1391";"Mil pessoas";"1800";"Mil pessoas";"1392";"Mil pessoas";"1807";"Mil pessoas";"1329";"Mil pessoas";"1943";"Mil pessoas";"1273";"Mil pessoas";"1930";"Mil pessoas"
"Sudeste";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"66";"Mil pessoas";"78";"Mil pessoas";"56";"Mil pessoas";"70";"Mil pessoas";"42";"Mil pessoas";"56";"Mil pessoas";"33";"Mil pessoas";"66";"Mil pessoas"
"Sudeste";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"480";"Mil pessoas";"759";"Mil pessoas";"335";"Mil pessoas";"554";"Mil pessoas";"295";"Mil pessoas";"368";"Mil pessoas";"215";"Mil pessoas";"379";"Mil pessoas"
"Sudeste";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"206";"Mil pessoas";"212";"Mil pessoas";"131";"Mil pessoas";"226";"Mil pessoas";"138";"Mil pessoas";"223";"Mil pessoas";"150";"Mil pessoas";"211";"Mil pessoas"
"Sudeste";"Estudando para concurso ou estudando por conta própria para vestibular/ENEM";"66";"Mil pessoas";"87";"Mil pessoas";"75";"Mil pessoas";"65";"Mil pessoas";"53";"Mil pessoas";"63";"Mil pessoas";"68";"Mil pessoas";"61";"Mil pessoas"
"Sudeste";"Por já ter concluído o nível de estudo que desejava";"337";"Mil pessoas";"454";"Mil pessoas";"366";"Mil pessoas";"551";"Mil pessoas";"474";"Mil pessoas";"619";"Mil pessoas";"376";"Mil pessoas";"467";"Mil pessoas"
"Sudeste";"Não tem interesse";"303";"Mil pessoas";"410";"Mil pessoas";"330";"Mil pessoas";"470";"Mil pessoas";"347";"Mil pessoas";"447";"Mil pessoas";"351";"Mil pessoas";"494";"Mil pessoas"
"Sudeste";"Outro motivo";"131";"Mil pessoas";"95";"Mil pessoas";"134";"Mil pessoas";"169";"Mil pessoas";"125";"Mil pessoas";"146";"Mil pessoas";"136";"Mil pessoas";"147";"Mil pessoas"
"Sul";"Precisa trabalhar";"704";"Mil pessoas";"271";"Mil pessoas";"641";"Mil pessoas";"328";"Mil pessoas";"674";"Mil pessoas";"362";"Mil pessoas";"696";"Mil pessoas";"363";"Mil pessoas"
"Sul";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"31";"Mil pessoas";"14";"Mil pessoas";"38";"Mil pessoas";"9";"Mil pessoas";"31";"Mil pessoas";"14";"Mil pessoas";"25";"Mil pessoas";"10";"Mil pessoas"
"Sul";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"157";"Mil pessoas";"70";"Mil pessoas";"124";"Mil pessoas";"45";"Mil pessoas";"87";"Mil pessoas";"54";"Mil pessoas";"83";"Mil pessoas";"53";"Mil pessoas"
"Sul";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"81";"Mil pessoas";"44";"Mil pessoas";"76";"Mil pessoas";"35";"Mil pessoas";"73";"Mil pessoas";"38";"Mil pessoas";"68";"Mil pessoas";"43";"Mil pessoas"
"Sul";"Estudando para concurso ou estudando por conta própria para vestibular/ENEM";"29";"Mil pessoas";"14";"Mil pessoas";"22";"Mil pessoas";"9";"Mil pessoas";"25";"Mil pessoas";"6";"Mil pessoas";"27";"Mil pessoas";"8";"Mil pessoas"
"Sul";"Por já ter concluído o nível de estudo que desejava";"134";"Mil pessoas";"46";"Mil pessoas";"170";"Mil pessoas";"80";"Mil pessoas";"187";"Mil pessoas";"76";"Mil pessoas";"188";"Mil pessoas";"75";"Mil pessoas"
"Sul";"Não tem interesse";"168";"Mil pessoas";"60";"Mil pessoas";"180";"Mil pessoas";"66";"Mil pessoas";"165";"Mil pessoas";"75";"Mil pessoas";"166";"Mil pessoas";"83";"Mil pessoas"
"Sul";"Outro motivo";"61";"Mil pessoas";"18";"Mil pessoas";"64";"Mil pessoas";"18";"Mil pessoas";"59";"Mil pessoas";"22";"Mil pessoas";"65";"Mil pessoas";"28";"Mil pessoas"
"Centro-Oeste";"Precisa trabalhar";"164";"Mil pessoas";"320";"Mil pessoas";"156";"Mil pessoas";"404";"Mil pessoas";"173";"Mil pessoas";"419";"Mil pessoas";"189";"Mil pessoas";"493";"Mil pessoas"
"Centro-Oeste";"Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado";"13";"Mil pessoas";"27";"Mil pessoas";"12";"Mil pessoas";"23";"Mil pessoas";"13";"Mil pessoas";"20";"Mil pessoas";"11";"Mil pessoas";"26";"Mil pessoas"
"Centro-Oeste";"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)";"54";"Mil pessoas";"145";"Mil pessoas";"49";"Mil pessoas";"104";"Mil pessoas";"33";"Mil pessoas";"93";"Mil pessoas";"20";"Mil pessoas";"61";"Mil pessoas"
"Centro-Oeste";"Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais";"13";"Mil pessoas";"54";"Mil pessoas";"30";"Mil pessoas";"54";"Mil pessoas";"23";"Mil pessoas";"47";"Mil pessoas";"29";"Mil pessoas";"61";"Mil pessoas"
"Centro-Oeste";"Estudando para concurso ou estudando por conta própria para vestibular/ENEM";"10";"Mil pessoas";"23";"Mil pessoas";"10";"Mil pessoas";"23";"Mil pessoas";"12";"Mil pessoas";"18";"Mil pessoas";"9";"Mil pessoas";"15";"Mil pessoas"
