"Tabela 7307 - Domicílios e Moradores, por situação do domicílio e existência de utilização da internet no domicílio"
"Variável - Domicílios"
"Unidade da Federação";"Existência de utilização da Internet no domicílio";"Ano x Situação do domicílio"
"Unidade da Federação";"Existência de utilização da Internet no domicílio";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Existência de utilização da Internet no domicílio";"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural"
"Rondônia";"Havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rondônia";"Não havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Acre";"Havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Acre";"Não havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Amazonas";"Havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Amazonas";"Não havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Roraima";"Havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Roraima";"Não havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Pará";"Havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Pará";"Não havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Amapá";"Havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Amapá";"Não havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Tocantins";"Havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Tocantins";"Não havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Maranhão";"Havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Maranhão";"Não havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Piauí";"Havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Piauí";"Não havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Ceará";"Havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Ceará";"Não havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rio Grande do Norte";"Havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rio Grande do Norte";"Não havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Paraíba";"Havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Paraíba";"Não havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Pernambuco";"Havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Pernambuco";"Não havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Alagoas";"Havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Alagoas";"Não havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Sergipe";"Havia utilização de internet";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
