"Tabela 7320 - Pessoas de 10 anos ou mais de idade, por sexo, condição de estudante e rede de ensino e curso frequentado"
"Variável - Pessoas de 10 anos ou mais de idade"
"Grande Região";"Condição de estudante, rede de ensino e curso frequentado";"Ano x Sexo"
"Grande Região";"Condição de estudante, rede de ensino e curso frequentado";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Grande Região";"Condição de estudante, rede de ensino e curso frequentado";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Norte";"Não estudante";"5215";"Mil pessoas";"5273";"Mil pessoas";"5398";"Mil pessoas";"5391";"Mil pessoas";"5575";"Mil pessoas";"5505";"Mil pessoas";"5612";"Mil pessoas";"5688";"Mil pessoas";"5821";"Mil pessoas";"5826";"Mil pessoas";"5936";"Mil pessoas";"5956";"Mil pessoas";"6030";"Mil pessoas";"6046";"Mil pessoas";"6167";"Mil pessoas";"6228";"Mil pessoas"
"Norte";"Estudante";"1880";"Mil pessoas";"1925";"Mil pessoas";"1873";"Mil pessoas";"1962";"Mil pessoas";"1914";"Mil pessoas";"1918";"Mil pessoas";"1849";"Mil pessoas";"1950";"Mil pessoas";"1936";"Mil pessoas";"1960";"Mil pessoas";"1918";"Mil pessoas";"1982";"Mil pessoas";"1921";"Mil pessoas";"1987";"Mil pessoas";"1843";"Mil pessoas";"1951";"Mil pessoas"
"Norte";"Rede pública";"1593";"Mil pessoas";"1528";"Mil pessoas";"1576";"Mil pessoas";"1523";"Mil pessoas";"1571";"Mil pessoas";"1470";"Mil pessoas";"1509";"Mil pessoas";"1492";"Mil pessoas";"1589";"Mil pessoas";"1487";"Mil pessoas";"1565";"Mil pessoas";"1466";"Mil pessoas";"1530";"Mil pessoas";"1456";"Mil pessoas";"1475";"Mil pessoas";"1419";"Mil pessoas"
"Norte";"Ensino Fundamental ou EJA do Ensino Fundamental (rede pública)";"1067";"Mil pessoas";"937";"Mil pessoas";"1027";"Mil pessoas";"934";"Mil pessoas";"1014";"Mil pessoas";"898";"Mil pessoas";"958";"Mil pessoas";"904";"Mil pessoas";"988";"Mil pessoas";"891";"Mil pessoas";"1001";"Mil pessoas";"850";"Mil pessoas";"956";"Mil pessoas";"852";"Mil pessoas";"898";"Mil pessoas";"841";"Mil pessoas"
"Norte";"Ensino Médio ou EJA do Ensino Médio (rede pública)";"425";"Mil pessoas";"466";"Mil pessoas";"431";"Mil pessoas";"456";"Mil pessoas";"442";"Mil pessoas";"446";"Mil pessoas";"422";"Mil pessoas";"441";"Mil pessoas";"456";"Mil pessoas";"440";"Mil pessoas";"434";"Mil pessoas";"460";"Mil pessoas";"430";"Mil pessoas";"455";"Mil pessoas";"461";"Mil pessoas";"440";"Mil pessoas"
"Norte";"Superior, Especialização, Mestrado ou Doutorado (rede pública)";"96";"Mil pessoas";"119";"Mil pessoas";"113";"Mil pessoas";"129";"Mil pessoas";"111";"Mil pessoas";"122";"Mil pessoas";"125";"Mil pessoas";"145";"Mil pessoas";"141";"Mil pessoas";"152";"Mil pessoas";"125";"Mil pessoas";"150";"Mil pessoas";"142";"Mil pessoas";"146";"Mil pessoas";"116";"Mil pessoas";"138";"Mil pessoas"
"Norte";"Rede privada";"287";"Mil pessoas";"396";"Mil pessoas";"297";"Mil pessoas";"439";"Mil pessoas";"343";"Mil pessoas";"449";"Mil pessoas";"340";"Mil pessoas";"458";"Mil pessoas";"347";"Mil pessoas";"473";"Mil pessoas";"353";"Mil pessoas";"515";"Mil pessoas";"391";"Mil pessoas";"531";"Mil pessoas";"368";"Mil pessoas";"532";"Mil pessoas"
"Norte";"Ensino Fundamental ou EJA do Ensino Fundamental (rede privada)";"63";"Mil pessoas";"74";"Mil pessoas";"62";"Mil pessoas";"72";"Mil pessoas";"81";"Mil pessoas";"80";"Mil pessoas";"80";"Mil pessoas";"72";"Mil pessoas";"72";"Mil pessoas";"80";"Mil pessoas";"78";"Mil pessoas";"80";"Mil pessoas";"77";"Mil pessoas";"78";"Mil pessoas";"67";"Mil pessoas";"73";"Mil pessoas"
"Norte";"Ensino Médio ou EJA do Ensino Médio (rede privada)";"32";"Mil pessoas";"40";"Mil pessoas";"35";"Mil pessoas";"40";"Mil pessoas";"25";"Mil pessoas";"40";"Mil pessoas";"36";"Mil pessoas";"35";"Mil pessoas";"36";"Mil pessoas";"28";"Mil pessoas";"29";"Mil pessoas";"36";"Mil pessoas";"38";"Mil pessoas";"32";"Mil pessoas";"37";"Mil pessoas";"38";"Mil pessoas"
"Norte";"Superior, Especialização, Mestrado ou Doutorado (rede privada)";"192";"Mil pessoas";"282";"Mil pessoas";"200";"Mil pessoas";"327";"Mil pessoas";"237";"Mil pessoas";"329";"Mil pessoas";"224";"Mil pessoas";"351";"Mil pessoas";"239";"Mil pessoas";"365";"Mil pessoas";"245";"Mil pessoas";"399";"Mil pessoas";"276";"Mil pessoas";"422";"Mil pessoas";"264";"Mil pessoas";"421";"Mil pessoas"
"Nordeste";"Não estudante";"17693";"Mil pessoas";"19187";"Mil pessoas";"17951";"Mil pessoas";"19374";"Mil pessoas";"18080";"Mil pessoas";"19581";"Mil pessoas";"18335";"Mil pessoas";"19907";"Mil pessoas";"18503";"Mil pessoas";"20239";"Mil pessoas";"18767";"Mil pessoas";"20447";"Mil pessoas";"18869";"Mil pessoas";"20742";"Mil pessoas";"19211";"Mil pessoas";"21168";"Mil pessoas"
