"Tabela 7321 - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses, por sexo, condição de estudante e rede de ensino e curso frequentado"
"Variável - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses"
"Grande Região";"Condição de estudante, rede de ensino e curso frequentado";"Ano x Sexo"
"Grande Região";"Condição de estudante, rede de ensino e curso frequentado";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Grande Região";"Condição de estudante, rede de ensino e curso frequentado";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Norte";"Não estudante";"2559";"Mil pessoas";"2879";"Mil pessoas";"3007";"Mil pessoas";"3301";"Mil pessoas";"3413";"Mil pessoas";"3639";"Mil pessoas";"3682";"Mil pessoas";"4073";"Mil pessoas";"4269";"Mil pessoas";"4550";"Mil pessoas";"4758";"Mil pessoas";"4984";"Mil pessoas";"5069";"Mil pessoas";"5249";"Mil pessoas";"5356";"Mil pessoas";"5586";"Mil pessoas"
"Norte";"Estudante";"1146";"Mil pessoas";"1298";"Mil pessoas";"1210";"Mil pessoas";"1395";"Mil pessoas";"1320";"Mil pessoas";"1420";"Mil pessoas";"1336";"Mil pessoas";"1482";"Mil pessoas";"1479";"Mil pessoas";"1559";"Mil pessoas";"1574";"Mil pessoas";"1701";"Mil pessoas";"1615";"Mil pessoas";"1696";"Mil pessoas";"1607";"Mil pessoas";"1730";"Mil pessoas"
"Norte";"Rede pública";"876";"Mil pessoas";"922";"Mil pessoas";"925";"Mil pessoas";"972";"Mil pessoas";"994";"Mil pessoas";"988";"Mil pessoas";"1010";"Mil pessoas";"1039";"Mil pessoas";"1149";"Mil pessoas";"1101";"Mil pessoas";"1230";"Mil pessoas";"1199";"Mil pessoas";"1236";"Mil pessoas";"1182";"Mil pessoas";"1245";"Mil pessoas";"1204";"Mil pessoas"
"Norte";"Ensino Fundamental ou EJA do Ensino Fundamental (rede pública)";"458";"Mil pessoas";"438";"Mil pessoas";"477";"Mil pessoas";"478";"Mil pessoas";"533";"Mil pessoas";"507";"Mil pessoas";"537";"Mil pessoas";"520";"Mil pessoas";"623";"Mil pessoas";"583";"Mil pessoas";"714";"Mil pessoas";"629";"Mil pessoas";"707";"Mil pessoas";"622";"Mil pessoas";"701";"Mil pessoas";"656";"Mil pessoas"
"Norte";"Ensino Médio ou EJA do Ensino Médio (rede pública)";"323";"Mil pessoas";"367";"Mil pessoas";"337";"Mil pessoas";"370";"Mil pessoas";"355";"Mil pessoas";"362";"Mil pessoas";"351";"Mil pessoas";"378";"Mil pessoas";"387";"Mil pessoas";"370";"Mil pessoas";"393";"Mil pessoas";"418";"Mil pessoas";"389";"Mil pessoas";"416";"Mil pessoas";"429";"Mil pessoas";"412";"Mil pessoas"
"Norte";"Superior, Especialização, Mestrado ou Doutorado (rede pública)";"93";"Mil pessoas";"115";"Mil pessoas";"110";"Mil pessoas";"123";"Mil pessoas";"105";"Mil pessoas";"118";"Mil pessoas";"121";"Mil pessoas";"140";"Mil pessoas";"138";"Mil pessoas";"146";"Mil pessoas";"122";"Mil pessoas";"147";"Mil pessoas";"138";"Mil pessoas";"143";"Mil pessoas";"115";"Mil pessoas";"135";"Mil pessoas"
"Norte";"Rede privada";"270";"Mil pessoas";"376";"Mil pessoas";"285";"Mil pessoas";"423";"Mil pessoas";"326";"Mil pessoas";"432";"Mil pessoas";"326";"Mil pessoas";"443";"Mil pessoas";"330";"Mil pessoas";"458";"Mil pessoas";"344";"Mil pessoas";"502";"Mil pessoas";"379";"Mil pessoas";"514";"Mil pessoas";"362";"Mil pessoas";"526";"Mil pessoas"
"Norte";"Ensino Fundamental ou EJA do Ensino Fundamental (rede privada)";"54";"Mil pessoas";"62";"Mil pessoas";"55";"Mil pessoas";"63";"Mil pessoas";"69";"Mil pessoas";"68";"Mil pessoas";"70";"Mil pessoas";"62";"Mil pessoas";"65";"Mil pessoas";"71";"Mil pessoas";"73";"Mil pessoas";"74";"Mil pessoas";"70";"Mil pessoas";"69";"Mil pessoas";"62";"Mil pessoas";"69";"Mil pessoas"
"Norte";"Ensino Médio ou EJA do Ensino Médio (rede privada)";"29";"Mil pessoas";"39";"Mil pessoas";"34";"Mil pessoas";"38";"Mil pessoas";"25";"Mil pessoas";"38";"Mil pessoas";"35";"Mil pessoas";"35";"Mil pessoas";"34";"Mil pessoas";"26";"Mil pessoas";"29";"Mil pessoas";"36";"Mil pessoas";"36";"Mil pessoas";"31";"Mil pessoas";"36";"Mil pessoas";"37";"Mil pessoas"
"Norte";"Superior, Especialização, Mestrado ou Doutorado (rede privada)";"187";"Mil pessoas";"275";"Mil pessoas";"196";"Mil pessoas";"323";"Mil pessoas";"232";"Mil pessoas";"325";"Mil pessoas";"222";"Mil pessoas";"347";"Mil pessoas";"230";"Mil pessoas";"361";"Mil pessoas";"242";"Mil pessoas";"393";"Mil pessoas";"274";"Mil pessoas";"414";"Mil pessoas";"263";"Mil pessoas";"419";"Mil pessoas"
"Nordeste";"Não estudante";"8212";"Mil pessoas";"9528";"Mil pessoas";"9496";"Mil pessoas";"11026";"Mil pessoas";"10704";"Mil pessoas";"12486";"Mil pessoas";"11768";"Mil pessoas";"13784";"Mil pessoas";"13579";"Mil pessoas";"15809";"Mil pessoas";"14791";"Mil pessoas";"17081";"Mil pessoas";"15210";"Mil pessoas";"17591";"Mil pessoas";"16166";"Mil pessoas";"18625";"Mil pessoas"
"Nordeste";"Estudante";"3566";"Mil pessoas";"4075";"Mil pessoas";"3787";"Mil pessoas";"4261";"Mil pessoas";"4010";"Mil pessoas";"4351";"Mil pessoas";"4154";"Mil pessoas";"4352";"Mil pessoas";"4371";"Mil pessoas";"4697";"Mil pessoas";"4564";"Mil pessoas";"4847";"Mil pessoas";"4404";"Mil pessoas";"4794";"Mil pessoas";"4299";"Mil pessoas";"4699";"Mil pessoas"
"Nordeste";"Rede pública";"2592";"Mil pessoas";"2785";"Mil pessoas";"2727";"Mil pessoas";"2875";"Mil pessoas";"2911";"Mil pessoas";"2989";"Mil pessoas";"3111";"Mil pessoas";"2988";"Mil pessoas";"3382";"Mil pessoas";"3452";"Mil pessoas";"3445";"Mil pessoas";"3510";"Mil pessoas";"3379";"Mil pessoas";"3360";"Mil pessoas";"3248";"Mil pessoas";"3265";"Mil pessoas"
"Nordeste";"Ensino Fundamental ou EJA do Ensino Fundamental (rede pública)";"1414";"Mil pessoas";"1329";"Mil pessoas";"1510";"Mil pessoas";"1452";"Mil pessoas";"1628";"Mil pessoas";"1566";"Mil pessoas";"1788";"Mil pessoas";"1582";"Mil pessoas";"1958";"Mil pessoas";"1819";"Mil pessoas";"1966";"Mil pessoas";"1913";"Mil pessoas";"1890";"Mil pessoas";"1801";"Mil pessoas";"1833";"Mil pessoas";"1767";"Mil pessoas"
"Nordeste";"Ensino Médio ou EJA do Ensino Médio (rede pública)";"889";"Mil pessoas";"1085";"Mil pessoas";"890";"Mil pessoas";"1081";"Mil pessoas";"919";"Mil pessoas";"1040";"Mil pessoas";"957";"Mil pessoas";"1041";"Mil pessoas";"1073";"Mil pessoas";"1210";"Mil pessoas";"1107";"Mil pessoas";"1179";"Mil pessoas";"1097";"Mil pessoas";"1112";"Mil pessoas";"1078";"Mil pessoas";"1123";"Mil pessoas"
"Nordeste";"Superior, Especialização, Mestrado ou Doutorado (rede pública)";"283";"Mil pessoas";"368";"Mil pessoas";"320";"Mil pessoas";"336";"Mil pessoas";"362";"Mil pessoas";"378";"Mil pessoas";"364";"Mil pessoas";"362";"Mil pessoas";"342";"Mil pessoas";"408";"Mil pessoas";"357";"Mil pessoas";"400";"Mil pessoas";"379";"Mil pessoas";"428";"Mil pessoas";"337";"Mil pessoas";"376";"Mil pessoas"
"Nordeste";"Rede privada";"974";"Mil pessoas";"1290";"Mil pessoas";"1060";"Mil pessoas";"1386";"Mil pessoas";"1099";"Mil pessoas";"1362";"Mil pessoas";"1043";"Mil pessoas";"1364";"Mil pessoas";"989";"Mil pessoas";"1246";"Mil pessoas";"1119";"Mil pessoas";"1337";"Mil pessoas";"1026";"Mil pessoas";"1434";"Mil pessoas";"1052";"Mil pessoas";"1434";"Mil pessoas"
"Nordeste";"Ensino Fundamental ou EJA do Ensino Fundamental (rede privada)";"364";"Mil pessoas";"362";"Mil pessoas";"386";"Mil pessoas";"388";"Mil pessoas";"405";"Mil pessoas";"374";"Mil pessoas";"369";"Mil pessoas";"405";"Mil pessoas";"361";"Mil pessoas";"364";"Mil pessoas";"422";"Mil pessoas";"341";"Mil pessoas";"363";"Mil pessoas";"374";"Mil pessoas";"380";"Mil pessoas";"382";"Mil pessoas"
"Nordeste";"Ensino Médio ou EJA do Ensino Médio (rede privada)";"130";"Mil pessoas";"123";"Mil pessoas";"127";"Mil pessoas";"127";"Mil pessoas";"109";"Mil pessoas";"126";"Mil pessoas";"99";"Mil pessoas";"108";"Mil pessoas";"123";"Mil pessoas";"129";"Mil pessoas";"107";"Mil pessoas";"131";"Mil pessoas";"115";"Mil pessoas";"119";"Mil pessoas";"113";"Mil pessoas";"131";"Mil pessoas"
"Nordeste";"Superior, Especialização, Mestrado ou Doutorado (rede privada)";"480";"Mil pessoas";"805";"Mil pessoas";"547";"Mil pessoas";"871";"Mil pessoas";"585";"Mil pessoas";"861";"Mil pessoas";"575";"Mil pessoas";"850";"Mil pessoas";"505";"Mil pessoas";"753";"Mil pessoas";"591";"Mil pessoas";"865";"Mil pessoas";"547";"Mil pessoas";"941";"Mil pessoas";"558";"Mil pessoas";"920";"Mil pessoas"
"Sudeste";"Não estudante";"20442";"Mil pessoas";"22121";"Mil pessoas";"22291";"Mil pessoas";"23964";"Mil pessoas";"23867";"Mil pessoas";"25977";"Mil pessoas";"25118";"Mil pessoas";"27221";"Mil pessoas";"26838";"Mil pessoas";"29043";"Mil pessoas";"27195";"Mil pessoas";"29381";"Mil pessoas";"27878";"Mil pessoas";"29937";"Mil pessoas";"28183";"Mil pessoas";"30102";"Mil pessoas"
"Sudeste";"Estudante";"6454";"Mil pessoas";"6498";"Mil pessoas";"6260";"Mil pessoas";"6564";"Mil pessoas";"6450";"Mil pessoas";"6822";"Mil pessoas";"6472";"Mil pessoas";"6800";"Mil pessoas";"6727";"Mil pessoas";"7189";"Mil pessoas";"6769";"Mil pessoas";"7381";"Mil pessoas";"6655";"Mil pessoas";"7140";"Mil pessoas";"6545";"Mil pessoas";"6887";"Mil pessoas"
"Sudeste";"Rede pública";"4145";"Mil pessoas";"4032";"Mil pessoas";"4148";"Mil pessoas";"4015";"Mil pessoas";"4229";"Mil pessoas";"4199";"Mil pessoas";"4173";"Mil pessoas";"4060";"Mil pessoas";"4582";"Mil pessoas";"4252";"Mil pessoas";"4317";"Mil pessoas";"4328";"Mil pessoas";"4232";"Mil pessoas";"4121";"Mil pessoas";"4045";"Mil pessoas";"3827";"Mil pessoas"
"Sudeste";"Ensino Fundamental ou EJA do Ensino Fundamental (rede pública)";"2185";"Mil pessoas";"2121";"Mil pessoas";"2266";"Mil pessoas";"2046";"Mil pessoas";"2383";"Mil pessoas";"2222";"Mil pessoas";"2361";"Mil pessoas";"2209";"Mil pessoas";"2524";"Mil pessoas";"2222";"Mil pessoas";"2409";"Mil pessoas";"2283";"Mil pessoas";"2359";"Mil pessoas";"2211";"Mil pessoas";"2248";"Mil pessoas";"2049";"Mil pessoas"
"Sudeste";"Ensino Médio ou EJA do Ensino Médio (rede pública)";"1529";"Mil pessoas";"1501";"Mil pessoas";"1464";"Mil pessoas";"1518";"Mil pessoas";"1402";"Mil pessoas";"1478";"Mil pessoas";"1372";"Mil pessoas";"1407";"Mil pessoas";"1491";"Mil pessoas";"1416";"Mil pessoas";"1383";"Mil pessoas";"1480";"Mil pessoas";"1333";"Mil pessoas";"1375";"Mil pessoas";"1307";"Mil pessoas";"1262";"Mil pessoas"
"Sudeste";"Superior, Especialização, Mestrado ou Doutorado (rede pública)";"429";"Mil pessoas";"403";"Mil pessoas";"413";"Mil pessoas";"447";"Mil pessoas";"441";"Mil pessoas";"497";"Mil pessoas";"439";"Mil pessoas";"441";"Mil pessoas";"563";"Mil pessoas";"606";"Mil pessoas";"517";"Mil pessoas";"556";"Mil pessoas";"528";"Mil pessoas";"521";"Mil pessoas";"490";"Mil pessoas";"516";"Mil pessoas"
"Sudeste";"Rede privada";"2310";"Mil pessoas";"2466";"Mil pessoas";"2112";"Mil pessoas";"2550";"Mil pessoas";"2222";"Mil pessoas";"2623";"Mil pessoas";"2299";"Mil pessoas";"2740";"Mil pessoas";"2146";"Mil pessoas";"2936";"Mil pessoas";"2451";"Mil pessoas";"3052";"Mil pessoas";"2423";"Mil pessoas";"3020";"Mil pessoas";"2500";"Mil pessoas";"3060";"Mil pessoas"
"Sudeste";"Ensino Fundamental ou EJA do Ensino Fundamental (rede privada)";"602";"Mil pessoas";"546";"Mil pessoas";"554";"Mil pessoas";"574";"Mil pessoas";"571";"Mil pessoas";"573";"Mil pessoas";"600";"Mil pessoas";"580";"Mil pessoas";"606";"Mil pessoas";"684";"Mil pessoas";"657";"Mil pessoas";"598";"Mil pessoas";"624";"Mil pessoas";"611";"Mil pessoas";"670";"Mil pessoas";"678";"Mil pessoas"
"Sudeste";"Ensino Médio ou EJA do Ensino Médio (rede privada)";"352";"Mil pessoas";"312";"Mil pessoas";"259";"Mil pessoas";"282";"Mil pessoas";"267";"Mil pessoas";"243";"Mil pessoas";"245";"Mil pessoas";"284";"Mil pessoas";"209";"Mil pessoas";"282";"Mil pessoas";"271";"Mil pessoas";"278";"Mil pessoas";"264";"Mil pessoas";"300";"Mil pessoas";"296";"Mil pessoas";"313";"Mil pessoas"
"Sudeste";"Superior, Especialização, Mestrado ou Doutorado (rede privada)";"1356";"Mil pessoas";"1608";"Mil pessoas";"1296";"Mil pessoas";"1694";"Mil pessoas";"1384";"Mil pessoas";"1805";"Mil pessoas";"1453";"Mil pessoas";"1875";"Mil pessoas";"1329";"Mil pessoas";"1971";"Mil pessoas";"1523";"Mil pessoas";"2176";"Mil pessoas";"1534";"Mil pessoas";"2109";"Mil pessoas";"1534";"Mil pessoas";"2069";"Mil pessoas"
"Sul";"Não estudante";"6494";"Mil pessoas";"6797";"Mil pessoas";"7177";"Mil pessoas";"7446";"Mil pessoas";"7893";"Mil pessoas";"8181";"Mil pessoas";"8308";"Mil pessoas";"8668";"Mil pessoas";"8927";"Mil pessoas";"9143";"Mil pessoas";"9167";"Mil pessoas";"9401";"Mil pessoas";"9387";"Mil pessoas";"9655";"Mil pessoas";"9788";"Mil pessoas";"10018";"Mil pessoas"
"Sul";"Estudante";"2140";"Mil pessoas";"2297";"Mil pessoas";"2228";"Mil pessoas";"2388";"Mil pessoas";"2222";"Mil pessoas";"2375";"Mil pessoas";"2305";"Mil pessoas";"2404";"Mil pessoas";"2305";"Mil pessoas";"2514";"Mil pessoas";"2361";"Mil pessoas";"2522";"Mil pessoas";"2367";"Mil pessoas";"2519";"Mil pessoas";"2193";"Mil pessoas";"2526";"Mil pessoas"
"Sul";"Rede pública";"1456";"Mil pessoas";"1486";"Mil pessoas";"1498";"Mil pessoas";"1479";"Mil pessoas";"1514";"Mil pessoas";"1456";"Mil pessoas";"1577";"Mil pessoas";"1497";"Mil pessoas";"1590";"Mil pessoas";"1561";"Mil pessoas";"1619";"Mil pessoas";"1568";"Mil pessoas";"1538";"Mil pessoas";"1513";"Mil pessoas";"1425";"Mil pessoas";"1478";"Mil pessoas"
"Sul";"Ensino Fundamental ou EJA do Ensino Fundamental (rede pública)";"830";"Mil pessoas";"779";"Mil pessoas";"887";"Mil pessoas";"817";"Mil pessoas";"894";"Mil pessoas";"795";"Mil pessoas";"925";"Mil pessoas";"815";"Mil pessoas";"900";"Mil pessoas";"833";"Mil pessoas";"921";"Mil pessoas";"849";"Mil pessoas";"902";"Mil pessoas";"831";"Mil pessoas";"844";"Mil pessoas";"850";"Mil pessoas"
"Sul";"Ensino Médio ou EJA do Ensino Médio (rede pública)";"449";"Mil pessoas";"496";"Mil pessoas";"440";"Mil pessoas";"464";"Mil pessoas";"441";"Mil pessoas";"465";"Mil pessoas";"466";"Mil pessoas";"485";"Mil pessoas";"472";"Mil pessoas";"512";"Mil pessoas";"491";"Mil pessoas";"488";"Mil pessoas";"449";"Mil pessoas";"474";"Mil pessoas";"422";"Mil pessoas";"444";"Mil pessoas"
"Sul";"Superior, Especialização, Mestrado ou Doutorado (rede pública)";"176";"Mil pessoas";"208";"Mil pessoas";"169";"Mil pessoas";"197";"Mil pessoas";"178";"Mil pessoas";"194";"Mil pessoas";"184";"Mil pessoas";"194";"Mil pessoas";"214";"Mil pessoas";"209";"Mil pessoas";"201";"Mil pessoas";"224";"Mil pessoas";"183";"Mil pessoas";"199";"Mil pessoas";"160";"Mil pessoas";"184";"Mil pessoas"
"Sul";"Rede privada";"684";"Mil pessoas";"811";"Mil pessoas";"730";"Mil pessoas";"909";"Mil pessoas";"709";"Mil pessoas";"918";"Mil pessoas";"728";"Mil pessoas";"906";"Mil pessoas";"715";"Mil pessoas";"952";"Mil pessoas";"743";"Mil pessoas";"954";"Mil pessoas";"829";"Mil pessoas";"1006";"Mil pessoas";"767";"Mil pessoas";"1047";"Mil pessoas"
"Sul";"Ensino Fundamental ou EJA do Ensino Fundamental (rede privada)";"128";"Mil pessoas";"125";"Mil pessoas";"127";"Mil pessoas";"144";"Mil pessoas";"131";"Mil pessoas";"139";"Mil pessoas";"146";"Mil pessoas";"125";"Mil pessoas";"124";"Mil pessoas";"132";"Mil pessoas";"133";"Mil pessoas";"120";"Mil pessoas";"131";"Mil pessoas";"136";"Mil pessoas";"143";"Mil pessoas";"150";"Mil pessoas"
"Sul";"Ensino Médio ou EJA do Ensino Médio (rede privada)";"81";"Mil pessoas";"85";"Mil pessoas";"75";"Mil pessoas";"88";"Mil pessoas";"71";"Mil pessoas";"81";"Mil pessoas";"80";"Mil pessoas";"75";"Mil pessoas";"81";"Mil pessoas";"80";"Mil pessoas";"73";"Mil pessoas";"77";"Mil pessoas";"84";"Mil pessoas";"83";"Mil pessoas";"78";"Mil pessoas";"102";"Mil pessoas"
