"Tabela 9297 - Pessoas de 25 anos ou mais de idade com deficiência, por nível de instrução"
"Variável - Pessoas de 25 anos ou mais de idade com deficiência"
"Unidade da Federação";"Ano x Nível de instrução"
"Unidade da Federação";"2022"
"Unidade da Federação";"Sem instrução e fundamental incompleto";;"Fundamental completo e médio incompleto";;"Médio completo e superior incompleto";;"Superior completo"
"Rondônia";"92";"Mil pessoas";"15";"Mil pessoas";"19";"Mil pessoas";"10";"Mil pessoas"
"Acre";"38";"Mil pessoas";"4";"Mil pessoas";"10";"Mil pessoas";"5";"Mil pessoas"
"Amazonas";"126";"Mil pessoas";"20";"Mil pessoas";"51";"Mil pessoas";"18";"Mil pessoas"
"Roraima";"16";"Mil pessoas";"4";"Mil pessoas";"7";"Mil pessoas";"3";"Mil pessoas"
"Pará";"471";"Mil pessoas";"69";"Mil pessoas";"117";"Mil pessoas";"30";"Mil pessoas"
"Amapá";"33";"Mil pessoas";"5";"Mil pessoas";"12";"Mil pessoas";"4";"Mil pessoas"
"Tocantins";"92";"Mil pessoas";"11";"Mil pessoas";"17";"Mil pessoas";"9";"Mil pessoas"
"Maranhão";"398";"Mil pessoas";"43";"Mil pessoas";"78";"Mil pessoas";"29";"Mil pessoas"
"Piauí";"226";"Mil pessoas";"25";"Mil pessoas";"34";"Mil pessoas";"16";"Mil pessoas"
"Ceará";"588";"Mil pessoas";"95";"Mil pessoas";"139";"Mil pessoas";"35";"Mil pessoas"
"Rio Grande do Norte";"197";"Mil pessoas";"33";"Mil pessoas";"51";"Mil pessoas";"20";"Mil pessoas"
"Paraíba";"224";"Mil pessoas";"26";"Mil pessoas";"45";"Mil pessoas";"19";"Mil pessoas"
"Pernambuco";"572";"Mil pessoas";"77";"Mil pessoas";"149";"Mil pessoas";"35";"Mil pessoas"
"Alagoas";"216";"Mil pessoas";"21";"Mil pessoas";"38";"Mil pessoas";"15";"Mil pessoas"
"Sergipe";"166";"Mil pessoas";"19";"Mil pessoas";"37";"Mil pessoas";"12";"Mil pessoas"
"Bahia";"899";"Mil pessoas";"112";"Mil pessoas";"242";"Mil pessoas";"77";"Mil pessoas"
"Minas Gerais";"1123";"Mil pessoas";"158";"Mil pessoas";"280";"Mil pessoas";"93";"Mil pessoas"
"Espírito Santo";"195";"Mil pessoas";"35";"Mil pessoas";"53";"Mil pessoas";"19";"Mil pessoas"
"Rio de Janeiro";"622";"Mil pessoas";"185";"Mil pessoas";"308";"Mil pessoas";"130";"Mil pessoas"
"São Paulo";"1745";"Mil pessoas";"411";"Mil pessoas";"698";"Mil pessoas";"310";"Mil pessoas"
"Paraná";"604";"Mil pessoas";"94";"Mil pessoas";"152";"Mil pessoas";"53";"Mil pessoas"
"Santa Catarina";"262";"Mil pessoas";"62";"Mil pessoas";"85";"Mil pessoas";"29";"Mil pessoas"
"Rio Grande do Sul";"639";"Mil pessoas";"141";"Mil pessoas";"164";"Mil pessoas";"64";"Mil pessoas"
"Mato Grosso do Sul";"130";"Mil pessoas";"18";"Mil pessoas";"37";"Mil pessoas";"18";"Mil pessoas"
"Mato Grosso";"168";"Mil pessoas";"36";"Mil pessoas";"53";"Mil pessoas";"24";"Mil pessoas"
"Goiás";"344";"Mil pessoas";"61";"Mil pessoas";"92";"Mil pessoas";"39";"Mil pessoas"
"Distrito Federal";"92";"Mil pessoas";"23";"Mil pessoas";"51";"Mil pessoas";"31";"Mil pessoas"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 3º trimestre"

"Notas"
"Considera-se pessoa com deficiência aquela que respondeu, em ao menos um dos tipos de dificuldades funcionais, Tem muita dificuldade ou Não consegue de modo algum para ""Grau de dificuldade"".
Os tipos de dificuldades funcionais captados foram: para enxergar, mesmo usando óculos ou lentes de contatos; para ouvir, mesmo usando aparelhos auditivos; para andar ou subir degraus; para levantar uma garrafa com dois litros de água da cintura até a altura dos olhos; para pegar objetos pequenos ou abrir e fechar recipientes; para aprender, lembrar-se das coisas ou se concentrar; para realizar cuidados pessoais; e para se comunicar, compreender e ser compreendido. "
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
