"Tabela 9311 - Pessoas de 25 anos ou mais de idade, por nível de instrução e existência de deficiência"
"Variável - Pessoas de 25 anos ou mais de idade"
"Unidade da Federação";"Existência de deficiência";"Ano x Nível de instrução"
"Unidade da Federação";"Existência de deficiência";"2022"
"Unidade da Federação";"Existência de deficiência";"Sem instrução e fundamental incompleto";;"Fundamental completo e médio incompleto";;"Médio completo e superior incompleto";;"Superior completo"
"Rondônia";"Pessoa com deficiência";"92";"Mil pessoas";"15";"Mil pessoas";"19";"Mil pessoas";"10";"Mil pessoas"
"Rondônia";"Pessoa sem deficiência";"361";"Mil pessoas";"132";"Mil pessoas";"322";"Mil pessoas";"180";"Mil pessoas"
"Acre";"Pessoa com deficiência";"38";"Mil pessoas";"4";"Mil pessoas";"10";"Mil pessoas";"5";"Mil pessoas"
"Acre";"Pessoa sem deficiência";"154";"Mil pessoas";"52";"Mil pessoas";"141";"Mil pessoas";"91";"Mil pessoas"
"Amazonas";"Pessoa com deficiência";"126";"Mil pessoas";"20";"Mil pessoas";"51";"Mil pessoas";"18";"Mil pessoas"
"Amazonas";"Pessoa sem deficiência";"571";"Mil pessoas";"231";"Mil pessoas";"897";"Mil pessoas";"372";"Mil pessoas"
"Roraima";"Pessoa com deficiência";"16";"Mil pessoas";"4";"Mil pessoas";"7";"Mil pessoas";"3";"Mil pessoas"
"Roraima";"Pessoa sem deficiência";"70";"Mil pessoas";"34";"Mil pessoas";"135";"Mil pessoas";"59";"Mil pessoas"
"Pará";"Pessoa com deficiência";"471";"Mil pessoas";"69";"Mil pessoas";"117";"Mil pessoas";"30";"Mil pessoas"
"Pará";"Pessoa sem deficiência";"1637";"Mil pessoas";"587";"Mil pessoas";"1441";"Mil pessoas";"675";"Mil pessoas"
"Amapá";"Pessoa com deficiência";"33";"Mil pessoas";"5";"Mil pessoas";"12";"Mil pessoas";"4";"Mil pessoas"
"Amapá";"Pessoa sem deficiência";"113";"Mil pessoas";"50";"Mil pessoas";"174";"Mil pessoas";"103";"Mil pessoas"
"Tocantins";"Pessoa com deficiência";"92";"Mil pessoas";"11";"Mil pessoas";"17";"Mil pessoas";"9";"Mil pessoas"
"Tocantins";"Pessoa sem deficiência";"276";"Mil pessoas";"89";"Mil pessoas";"293";"Mil pessoas";"180";"Mil pessoas"
"Maranhão";"Pessoa com deficiência";"398";"Mil pessoas";"43";"Mil pessoas";"78";"Mil pessoas";"29";"Mil pessoas"
"Maranhão";"Pessoa sem deficiência";"1421";"Mil pessoas";"482";"Mil pessoas";"1196";"Mil pessoas";"451";"Mil pessoas"
"Piauí";"Pessoa com deficiência";"226";"Mil pessoas";"25";"Mil pessoas";"34";"Mil pessoas";"16";"Mil pessoas"
"Piauí";"Pessoa sem deficiência";"729";"Mil pessoas";"194";"Mil pessoas";"507";"Mil pessoas";"327";"Mil pessoas"
"Ceará";"Pessoa com deficiência";"588";"Mil pessoas";"95";"Mil pessoas";"139";"Mil pessoas";"35";"Mil pessoas"
"Ceará";"Pessoa sem deficiência";"1895";"Mil pessoas";"686";"Mil pessoas";"1771";"Mil pessoas";"707";"Mil pessoas"
"Rio Grande do Norte";"Pessoa com deficiência";"197";"Mil pessoas";"33";"Mil pessoas";"51";"Mil pessoas";"20";"Mil pessoas"
