"Tabela 9552 - Domicílios e moradores, por situação do domicílio e situação de segurança alimentar existente no domicílio"
"Variável - Domicílios"
"Unidade da Federação";"Situação de segurança alimentar existente no domicílio";"Ano x Situação do domicílio"
"Unidade da Federação";"Situação de segurança alimentar existente no domicílio";"2023";;;;"2024"
"Unidade da Federação";"Situação de segurança alimentar existente no domicílio";"Urbana";;"Rural";;"Urbana";;"Rural"
"Rondônia";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rondônia";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rondônia";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rondônia";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rondônia";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Acre";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Acre";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Acre";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Acre";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Acre";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Amazonas";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Amazonas";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Amazonas";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Amazonas";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Amazonas";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Roraima";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Roraima";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Roraima";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Roraima";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Roraima";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Pará";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Pará";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Pará";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Pará";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Pará";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Amapá";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Amapá";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Amapá";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Amapá";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Amapá";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Tocantins";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Tocantins";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Tocantins";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Tocantins";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Tocantins";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Maranhão";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Maranhão";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Maranhão";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Maranhão";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Maranhão";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Piauí";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Piauí";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Piauí";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Piauí";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Piauí";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Ceará";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Ceará";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Ceará";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Ceará";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Ceará";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rio Grande do Norte";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rio Grande do Norte";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rio Grande do Norte";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rio Grande do Norte";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rio Grande do Norte";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Paraíba";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Paraíba";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Paraíba";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Paraíba";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Paraíba";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Pernambuco";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Pernambuco";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Pernambuco";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Pernambuco";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Pernambuco";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Alagoas";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Alagoas";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Alagoas";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Alagoas";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Alagoas";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Sergipe";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Sergipe";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Sergipe";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Sergipe";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Sergipe";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Bahia";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Bahia";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Bahia";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Bahia";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Bahia";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Minas Gerais";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Minas Gerais";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Minas Gerais";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Minas Gerais";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Minas Gerais";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Espírito Santo";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Espírito Santo";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Espírito Santo";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Espírito Santo";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Espírito Santo";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rio de Janeiro";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rio de Janeiro";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rio de Janeiro";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rio de Janeiro";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rio de Janeiro";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"São Paulo";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"São Paulo";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"São Paulo";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"São Paulo";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"São Paulo";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Paraná";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Paraná";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Paraná";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Paraná";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Paraná";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Santa Catarina";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Santa Catarina";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Santa Catarina";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Santa Catarina";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Santa Catarina";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rio Grande do Sul";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rio Grande do Sul";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rio Grande do Sul";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rio Grande do Sul";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Rio Grande do Sul";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Mato Grosso do Sul";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Mato Grosso do Sul";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Mato Grosso do Sul";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Mato Grosso do Sul";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Mato Grosso do Sul";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Mato Grosso";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Mato Grosso";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Mato Grosso";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Mato Grosso";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Mato Grosso";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Goiás";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Goiás";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Goiás";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Goiás";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Goiás";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Distrito Federal";"Com segurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Distrito Federal";"Com insegurança alimentar";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Distrito Federal";"Com insegurança alimentar leve";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Distrito Federal";"Com insegurança alimentar moderada";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Distrito Federal";"Com insegurança alimentar grave";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 4º trimestre."

"Notas"
"Considera-se domicílio em situação de insegurança alimentar aquele em que seus moradores, nos últimos três meses,  passaram por ao menos uma das seguintes situações: tiveram a preocupação de que os alimentos acabassem antes de poderem comprar ou receber mais comida, lhes faltaram alimentos antes que tivessem dinheiro para comprar mais comida, ficaram sem dinheiro para terem uma alimentação saudável e variada, e comeram apenas alguns poucos tipos de alimentos que ainda tinham por que o dinheiro acabou. A insegurança alimentar pode ser classificada como leve, moderada ou grave, de acordo com a restrição na qualidade e na quantidade de alimentos consumidos pelos moradores.
A classificação ""Situação do domicílio"" está disponível apenas para os níveis territoriais Brasil e Grande Região.
A partir de 2025, as estimativas deste tema passaram a ser divulgadas com base na nova ponderação da pesquisa, conforme a Nota Técnica 02/2025. Consequentemente, a série histórica dos indicadores foi atualizada."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
