"Tabela 6447 - Pessoas de 10 anos ou mais de idade que utilizaram a Internet no período de referência dos últimos três meses, por situação do domicílio e frequência de utilização da internet",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Variável,Nível,Cód.,Brasil e Grande Região,Ano,Situação do domicílio,Frequência de utilização da internet,valor,unidade
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2022,Urbana,Todos os dias,135682.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2022,Urbana,5 ou 6 vezes por semana,3610.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2022,Urbana,De 1 a 4 vezes por semana,3765.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2022,Urbana,Menos de uma vez por semana,822.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2022,Rural,Todos os dias,15196.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2022,Rural,5 ou 6 vezes por semana,815.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2022,Rural,De 1 a 4 vezes por semana,1360.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2022,Rural,Menos de uma vez por semana,376.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2023,Urbana,Todos os dias,139423.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2023,Urbana,5 ou 6 vezes por semana,3111.0,Mil pessoas
Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,BR,1,Brasil,2023,Urbana,De 1 a 4 vezes por semana,3346.0,Mil pessoas
