Tabela 6578 - Número médio de moradores por domicílio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Variável,Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,,
Número médio de moradores,BR,1,Brasil,2016,3.0,Pessoas
Número médio de moradores,BR,1,Brasil,2017,3.0,Pessoas
Número médio de moradores,BR,1,Brasil,2018,3.0,Pessoas
Número médio de moradores,BR,1,Brasil,2019,3.0,Pessoas
Número médio de moradores,BR,1,Brasil,2022,2.9,Pessoas
Número médio de moradores,BR,1,Brasil,2023,2.8,Pessoas
Número médio de moradores,BR,1,Brasil,2024,2.7,Pessoas
Número médio de moradores,GR,1,Norte,2016,3.6,Pessoas
Número médio de moradores,GR,1,Norte,2017,3.5,Pessoas
Número médio de moradores,GR,1,Norte,2018,3.5,Pessoas
Número médio de moradores,GR,1,Norte,2019,3.4,Pessoas
Número médio de moradores,GR,1,Norte,2022,3.3,Pessoas
Número médio de moradores,GR,1,Norte,2023,3.2,Pessoas
Número médio de moradores,GR,1,Norte,2024,3.1,Pessoas
Número médio de moradores,GR,2,Nordeste,2016,3.2,Pessoas
Número médio de moradores,GR,2,Nordeste,2017,3.2,Pessoas
Número médio de moradores,GR,2,Nordeste,2018,3.1,Pessoas
Número médio de moradores,GR,2,Nordeste,2019,3.1,Pessoas
Número médio de moradores,GR,2,Nordeste,2022,3.0,Pessoas
Número médio de moradores,GR,2,Nordeste,2023,2.8,Pessoas
Número médio de moradores,GR,2,Nordeste,2024,2.8,Pessoas
Número médio de moradores,GR,3,Sudeste,2016,2.9,Pessoas
Número médio de moradores,GR,3,Sudeste,2017,2.9,Pessoas
Número médio de moradores,GR,3,Sudeste,2018,2.9,Pessoas
Número médio de moradores,GR,3,Sudeste,2019,2.9,Pessoas
Número médio de moradores,GR,3,Sudeste,2022,2.8,Pessoas
Número médio de moradores,GR,3,Sudeste,2023,2.7,Pessoas
Número médio de moradores,GR,3,Sudeste,2024,2.7,Pessoas
Número médio de moradores,GR,4,Sul,2016,2.9,Pessoas
Número médio de moradores,GR,4,Sul,2017,2.9,Pessoas
Número médio de moradores,GR,4,Sul,2018,2.8,Pessoas
Número médio de moradores,GR,4,Sul,2019,2.8,Pessoas
Número médio de moradores,GR,4,Sul,2022,2.8,Pessoas
Número médio de moradores,GR,4,Sul,2023,2.7,Pessoas
Número médio de moradores,GR,4,Sul,2024,2.7,Pessoas
Número médio de moradores,GR,5,Centro-Oeste,2016,3.0,Pessoas
Número médio de moradores,GR,5,Centro-Oeste,2017,3.0,Pessoas
Número médio de moradores,GR,5,Centro-Oeste,2018,3.0,Pessoas
Número médio de moradores,GR,5,Centro-Oeste,2019,3.0,Pessoas
Número médio de moradores,GR,5,Centro-Oeste,2022,2.9,Pessoas
Número médio de moradores,GR,5,Centro-Oeste,2023,2.8,Pessoas
Número médio de moradores,GR,5,Centro-Oeste,2024,2.8,Pessoas
Número médio de moradores,UF,11,Rondônia,2016,3.1,Pessoas
Número médio de moradores,UF,11,Rondônia,2017,3.1,Pessoas
Número médio de moradores,UF,11,Rondônia,2018,3.1,Pessoas
Número médio de moradores,UF,11,Rondônia,2019,3.0,Pessoas
Número médio de moradores,UF,11,Rondônia,2022,2.9,Pessoas
Número médio de moradores,UF,11,Rondônia,2023,2.7,Pessoas
Número médio de moradores,UF,11,Rondônia,2024,2.7,Pessoas
Número médio de moradores,UF,12,Acre,2016,3.6,Pessoas
Número médio de moradores,UF,12,Acre,2017,3.5,Pessoas
Número médio de moradores,UF,12,Acre,2018,3.3,Pessoas
Número médio de moradores,UF,12,Acre,2019,3.3,Pessoas
Número médio de moradores,UF,12,Acre,2022,3.2,Pessoas
Número médio de moradores,UF,12,Acre,2023,3.2,Pessoas
Número médio de moradores,UF,12,Acre,2024,3.1,Pessoas
Número médio de moradores,UF,13,Amazonas,2016,3.8,Pessoas
Número médio de moradores,UF,13,Amazonas,2017,3.7,Pessoas
Número médio de moradores,UF,13,Amazonas,2018,3.7,Pessoas
Número médio de moradores,UF,13,Amazonas,2019,3.7,Pessoas
Número médio de moradores,UF,13,Amazonas,2022,3.6,Pessoas
Número médio de moradores,UF,13,Amazonas,2023,3.4,Pessoas
Número médio de moradores,UF,13,Amazonas,2024,3.3,Pessoas
Número médio de moradores,UF,14,Roraima,2016,3.5,Pessoas
Número médio de moradores,UF,14,Roraima,2017,3.5,Pessoas
Número médio de moradores,UF,14,Roraima,2018,3.4,Pessoas
Número médio de moradores,UF,14,Roraima,2019,3.6,Pessoas
Número médio de moradores,UF,14,Roraima,2022,3.4,Pessoas
Número médio de moradores,UF,14,Roraima,2023,3.4,Pessoas
Número médio de moradores,UF,14,Roraima,2024,3.3,Pessoas
Número médio de moradores,UF,15,Pará,2016,3.6,Pessoas
Número médio de moradores,UF,15,Pará,2017,3.6,Pessoas
Número médio de moradores,UF,15,Pará,2018,3.5,Pessoas
Número médio de moradores,UF,15,Pará,2019,3.4,Pessoas
Número médio de moradores,UF,15,Pará,2022,3.4,Pessoas
Número médio de moradores,UF,15,Pará,2023,3.3,Pessoas
Número médio de moradores,UF,15,Pará,2024,3.2,Pessoas
Número médio de moradores,UF,16,Amapá,2016,3.8,Pessoas
Número médio de moradores,UF,16,Amapá,2017,3.8,Pessoas
