"Tabela 7107 - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência, por nível de instrução",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variável,Ano,Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Nível de instrução,,
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,BR,1,Brasil,Total,89695.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,GR,1,Norte,Total,6793.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,GR,2,Nordeste,Total,21609.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,GR,3,Sudeste,Total,39946.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,GR,4,Sul,Total,14297.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,GR,5,Centro-Oeste,Total,7050.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,11,Rondônia,Total,742.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,12,Acre,Total,296.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,13,Amazonas,Total,1414.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,14,Roraima,Total,178.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,15,Pará,Total,3286.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,16,Amapá,Total,282.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,17,Tocantins,Total,595.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,21,Maranhão,Total,2504.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,22,Piauí,Total,1331.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,23,Ceará,Total,3397.0,Mil pessoas
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,2012,UF,24,Rio Grande do Norte,Total,1287.0,Mil pessoas
