"Tabela 7110 - População residente, por cor ou raça e grupo de idade",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Variável,Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Cor ou raça,Grupo de idade,,
População,BR,1,Brasil,2016,Total,0 a 3 anos,11722.0,Mil pessoas
População,BR,1,Brasil,2016,Total,4 a 5 anos,5809.0,Mil pessoas
População,BR,1,Brasil,2016,Total,6 a 9 anos,11777.0,Mil pessoas
População,BR,1,Brasil,2016,Total,10 a 14 anos,15532.0,Mil pessoas
População,BR,1,Brasil,2016,Total,15 a 17 anos,10476.0,Mil pessoas
População,BR,1,Brasil,2016,Total,18 a 24 anos,23751.0,Mil pessoas
População,BR,1,Brasil,2016,Total,25 a 29 anos,17214.0,Mil pessoas
População,BR,1,Brasil,2016,Total,30 a 39 anos,33226.0,Mil pessoas
População,BR,1,Brasil,2016,Total,40 a 59 anos,49024.0,Mil pessoas
População,BR,1,Brasil,2016,Total,60 anos ou mais,25794.0,Mil pessoas
População,BR,1,Brasil,2016,Branca,0 a 3 anos,5511.0,Mil pessoas
População,BR,1,Brasil,2016,Branca,4 a 5 anos,2518.0,Mil pessoas
População,BR,1,Brasil,2016,Branca,6 a 9 anos,4779.0,Mil pessoas
População,BR,1,Brasil,2016,Branca,10 a 14 anos,6068.0,Mil pessoas
População,BR,1,Brasil,2016,Branca,15 a 17 anos,4113.0,Mil pessoas
População,BR,1,Brasil,2016,Branca,18 a 24 anos,9784.0,Mil pessoas
População,BR,1,Brasil,2016,Branca,25 a 29 anos,7444.0,Mil pessoas
População,BR,1,Brasil,2016,Branca,30 a 39 anos,14566.0,Mil pessoas
População,BR,1,Brasil,2016,Branca,40 a 59 anos,22837.0,Mil pessoas
População,BR,1,Brasil,2016,Branca,60 anos ou mais,13531.0,Mil pessoas
População,BR,1,Brasil,2016,Preta ou parda,0 a 3 anos,6147.0,Mil pessoas
População,BR,1,Brasil,2016,Preta ou parda,4 a 5 anos,3266.0,Mil pessoas
População,BR,1,Brasil,2016,Preta ou parda,6 a 9 anos,6936.0,Mil pessoas
População,BR,1,Brasil,2016,Preta ou parda,10 a 14 anos,9372.0,Mil pessoas
População,BR,1,Brasil,2016,Preta ou parda,15 a 17 anos,6297.0,Mil pessoas
População,BR,1,Brasil,2016,Preta ou parda,18 a 24 anos,13805.0,Mil pessoas
População,BR,1,Brasil,2016,Preta ou parda,25 a 29 anos,9635.0,Mil pessoas
População,BR,1,Brasil,2016,Preta ou parda,30 a 39 anos,18373.0,Mil pessoas
População,BR,1,Brasil,2016,Preta ou parda,40 a 59 anos,25776.0,Mil pessoas
População,BR,1,Brasil,2016,Preta ou parda,60 anos ou mais,11953.0,Mil pessoas
População,BR,1,Brasil,2017,Total,0 a 3 anos,11675.0,Mil pessoas
População,BR,1,Brasil,2017,Total,4 a 5 anos,5861.0,Mil pessoas
População,BR,1,Brasil,2017,Total,6 a 9 anos,11702.0,Mil pessoas
População,BR,1,Brasil,2017,Total,10 a 14 anos,15311.0,Mil pessoas
População,BR,1,Brasil,2017,Total,15 a 17 anos,10130.0,Mil pessoas
População,BR,1,Brasil,2017,Total,18 a 24 anos,23868.0,Mil pessoas
População,BR,1,Brasil,2017,Total,25 a 29 anos,17125.0,Mil pessoas
População,BR,1,Brasil,2017,Total,30 a 39 anos,33571.0,Mil pessoas
