"Tabela 7111 - Pessoas de 15 anos ou mais, analfabetas, por sexo e grupo de idade",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"Variável - Pessoas de 15 anos ou mais de idade, analfabetas",,,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Sexo,Grupo de idade,,
BR,1,Brasil,2016,Total,15 anos ou mais,10690.0,Mil pessoas
BR,1,Brasil,2016,Total,18 anos ou mais,10621.0,Mil pessoas
BR,1,Brasil,2016,Total,25 anos ou mais,10387.0,Mil pessoas
BR,1,Brasil,2016,Total,40 anos ou mais,9035.0,Mil pessoas
BR,1,Brasil,2016,Total,60 anos ou mais,5290.0,Mil pessoas
BR,1,Brasil,2016,Homens,15 anos ou mais,5359.0,Mil pessoas
BR,1,Brasil,2016,Homens,18 anos ou mais,5308.0,Mil pessoas
BR,1,Brasil,2016,Homens,25 anos ou mais,5147.0,Mil pessoas
BR,1,Brasil,2016,Homens,40 anos ou mais,4261.0,Mil pessoas
BR,1,Brasil,2016,Homens,60 anos ou mais,2247.0,Mil pessoas
BR,1,Brasil,2016,Mulheres,15 anos ou mais,5330.0,Mil pessoas
BR,1,Brasil,2016,Mulheres,18 anos ou mais,5313.0,Mil pessoas
BR,1,Brasil,2016,Mulheres,25 anos ou mais,5240.0,Mil pessoas
BR,1,Brasil,2016,Mulheres,40 anos ou mais,4774.0,Mil pessoas
BR,1,Brasil,2016,Mulheres,60 anos ou mais,3043.0,Mil pessoas
BR,1,Brasil,2017,Total,15 anos ou mais,10495.0,Mil pessoas
BR,1,Brasil,2017,Total,18 anos ou mais,10436.0,Mil pessoas
BR,1,Brasil,2017,Total,25 anos ou mais,10209.0,Mil pessoas
BR,1,Brasil,2017,Total,40 anos ou mais,8965.0,Mil pessoas
BR,1,Brasil,2017,Total,60 anos ou mais,5193.0,Mil pessoas
BR,1,Brasil,2017,Homens,15 anos ou mais,5214.0,Mil pessoas
BR,1,Brasil,2017,Homens,18 anos ou mais,5172.0,Mil pessoas
BR,1,Brasil,2017,Homens,25 anos ou mais,5015.0,Mil pessoas
BR,1,Brasil,2017,Homens,40 anos ou mais,4215.0,Mil pessoas
BR,1,Brasil,2017,Homens,60 anos ou mais,2171.0,Mil pessoas
BR,1,Brasil,2017,Mulheres,15 anos ou mais,5281.0,Mil pessoas
BR,1,Brasil,2017,Mulheres,18 anos ou mais,5264.0,Mil pessoas
BR,1,Brasil,2017,Mulheres,25 anos ou mais,5194.0,Mil pessoas
BR,1,Brasil,2017,Mulheres,40 anos ou mais,4750.0,Mil pessoas
BR,1,Brasil,2017,Mulheres,60 anos ou mais,3022.0,Mil pessoas
BR,1,Brasil,2018,Total,15 anos ou mais,10265.0,Mil pessoas
BR,1,Brasil,2018,Total,18 anos ou mais,10207.0,Mil pessoas
BR,1,Brasil,2018,Total,25 anos ou mais,10000.0,Mil pessoas
BR,1,Brasil,2018,Total,40 anos ou mais,8871.0,Mil pessoas
BR,1,Brasil,2018,Total,60 anos ou mais,5222.0,Mil pessoas
BR,1,Brasil,2018,Homens,15 anos ou mais,5120.0,Mil pessoas
BR,1,Brasil,2018,Homens,18 anos ou mais,5080.0,Mil pessoas
BR,1,Brasil,2018,Homens,25 anos ou mais,4947.0,Mil pessoas
BR,1,Brasil,2018,Homens,40 anos ou mais,4227.0,Mil pessoas
BR,1,Brasil,2018,Homens,60 anos ou mais,2213.0,Mil pessoas
BR,1,Brasil,2018,Mulheres,15 anos ou mais,5144.0,Mil pessoas
BR,1,Brasil,2018,Mulheres,18 anos ou mais,5128.0,Mil pessoas
BR,1,Brasil,2018,Mulheres,25 anos ou mais,5052.0,Mil pessoas
BR,1,Brasil,2018,Mulheres,40 anos ou mais,4644.0,Mil pessoas
BR,1,Brasil,2018,Mulheres,60 anos ou mais,3008.0,Mil pessoas
BR,1,Brasil,2019,Total,15 anos ou mais,10054.0,Mil pessoas
BR,1,Brasil,2019,Total,18 anos ou mais,10005.0,Mil pessoas
BR,1,Brasil,2019,Total,25 anos ou mais,9785.0,Mil pessoas
BR,1,Brasil,2019,Total,40 anos ou mais,8733.0,Mil pessoas
BR,1,Brasil,2019,Total,60 anos ou mais,5230.0,Mil pessoas
BR,1,Brasil,2019,Homens,15 anos ou mais,5095.0,Mil pessoas
BR,1,Brasil,2019,Homens,18 anos ou mais,5059.0,Mil pessoas
BR,1,Brasil,2019,Homens,25 anos ou mais,4905.0,Mil pessoas
BR,1,Brasil,2019,Homens,40 anos ou mais,4222.0,Mil pessoas
BR,1,Brasil,2019,Homens,60 anos ou mais,2286.0,Mil pessoas
BR,1,Brasil,2019,Mulheres,15 anos ou mais,4959.0,Mil pessoas
BR,1,Brasil,2019,Mulheres,18 anos ou mais,4946.0,Mil pessoas
BR,1,Brasil,2019,Mulheres,25 anos ou mais,4879.0,Mil pessoas
BR,1,Brasil,2019,Mulheres,40 anos ou mais,4511.0,Mil pessoas
BR,1,Brasil,2019,Mulheres,60 anos ou mais,2943.0,Mil pessoas
BR,1,Brasil,2022,Total,15 anos ou mais,9560.0,Mil pessoas
BR,1,Brasil,2022,Total,18 anos ou mais,9515.0,Mil pessoas
BR,1,Brasil,2022,Total,25 anos ou mais,9344.0,Mil pessoas
BR,1,Brasil,2022,Total,40 anos ou mais,8501.0,Mil pessoas
BR,1,Brasil,2022,Total,60 anos ou mais,5171.0,Mil pessoas
BR,1,Brasil,2022,Homens,15 anos ou mais,4834.0,Mil pessoas
BR,1,Brasil,2022,Homens,18 anos ou mais,4801.0,Mil pessoas
BR,1,Brasil,2022,Homens,25 anos ou mais,4689.0,Mil pessoas
BR,1,Brasil,2022,Homens,40 anos ou mais,4131.0,Mil pessoas
BR,1,Brasil,2022,Homens,60 anos ou mais,2236.0,Mil pessoas
BR,1,Brasil,2022,Mulheres,15 anos ou mais,4727.0,Mil pessoas
BR,1,Brasil,2022,Mulheres,18 anos ou mais,4714.0,Mil pessoas
BR,1,Brasil,2022,Mulheres,25 anos ou mais,4655.0,Mil pessoas
BR,1,Brasil,2022,Mulheres,40 anos ou mais,4370.0,Mil pessoas
BR,1,Brasil,2022,Mulheres,60 anos ou mais,2935.0,Mil pessoas
BR,1,Brasil,2023,Total,15 anos ou mais,9328.0,Mil pessoas
BR,1,Brasil,2023,Total,18 anos ou mais,9278.0,Mil pessoas
BR,1,Brasil,2023,Total,25 anos ou mais,9132.0,Mil pessoas
BR,1,Brasil,2023,Total,40 anos ou mais,8384.0,Mil pessoas
BR,1,Brasil,2023,Total,60 anos ou mais,5160.0,Mil pessoas
BR,1,Brasil,2023,Homens,15 anos ou mais,4743.0,Mil pessoas
BR,1,Brasil,2023,Homens,18 anos ou mais,4715.0,Mil pessoas
BR,1,Brasil,2023,Homens,25 anos ou mais,4622.0,Mil pessoas
BR,1,Brasil,2023,Homens,40 anos ou mais,4123.0,Mil pessoas
BR,1,Brasil,2023,Homens,60 anos ou mais,2267.0,Mil pessoas
BR,1,Brasil,2023,Mulheres,15 anos ou mais,4585.0,Mil pessoas
BR,1,Brasil,2023,Mulheres,18 anos ou mais,4563.0,Mil pessoas
BR,1,Brasil,2023,Mulheres,25 anos ou mais,4510.0,Mil pessoas
BR,1,Brasil,2023,Mulheres,40 anos ou mais,4261.0,Mil pessoas
BR,1,Brasil,2023,Mulheres,60 anos ou mais,2893.0,Mil pessoas
BR,1,Brasil,2024,Total,15 anos ou mais,9131.0,Mil pessoas
BR,1,Brasil,2024,Total,18 anos ou mais,9099.0,Mil pessoas
BR,1,Brasil,2024,Total,25 anos ou mais,8965.0,Mil pessoas
BR,1,Brasil,2024,Total,40 anos ou mais,8266.0,Mil pessoas
BR,1,Brasil,2024,Total,60 anos ou mais,5148.0,Mil pessoas
BR,1,Brasil,2024,Homens,15 anos ou mais,4646.0,Mil pessoas
BR,1,Brasil,2024,Homens,18 anos ou mais,4625.0,Mil pessoas
BR,1,Brasil,2024,Homens,25 anos ou mais,4527.0,Mil pessoas
BR,1,Brasil,2024,Homens,40 anos ou mais,4054.0,Mil pessoas
BR,1,Brasil,2024,Homens,60 anos ou mais,2235.0,Mil pessoas
BR,1,Brasil,2024,Mulheres,15 anos ou mais,4485.0,Mil pessoas
BR,1,Brasil,2024,Mulheres,18 anos ou mais,4474.0,Mil pessoas
