"Tabela 7125 - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade, por cor ou raça e grupo de idade",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variável - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,,,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Cor ou raça,Grupo de idade,,
BR,1,Brasil,2016,Total,15 anos ou mais,6.7,%
BR,1,Brasil,2016,Total,18 anos ou mais,7.1,%
BR,1,Brasil,2016,Total,25 anos ou mais,8.3,%
BR,1,Brasil,2016,Total,40 anos ou mais,12.1,%
BR,1,Brasil,2016,Total,60 anos ou mais,20.5,%
BR,1,Brasil,2016,Branca,15 anos ou mais,3.8,%
BR,1,Brasil,2016,Branca,18 anos ou mais,4.1,%
BR,1,Brasil,2016,Branca,25 anos ou mais,4.6,%
BR,1,Brasil,2016,Branca,40 anos ou mais,6.6,%
BR,1,Brasil,2016,Branca,60 anos ou mais,11.8,%
BR,1,Brasil,2016,Preta ou parda,15 anos ou mais,9.1,%
BR,1,Brasil,2016,Preta ou parda,18 anos ou mais,9.8,%
BR,1,Brasil,2016,Preta ou parda,25 anos ou mais,11.6,%
BR,1,Brasil,2016,Preta ou parda,40 anos ou mais,17.4,%
BR,1,Brasil,2016,Preta ou parda,60 anos ou mais,30.7,%
BR,1,Brasil,2017,Total,15 anos ou mais,6.5,%
BR,1,Brasil,2017,Total,18 anos ou mais,6.9,%
BR,1,Brasil,2017,Total,25 anos ou mais,8.0,%
BR,1,Brasil,2017,Total,40 anos ou mais,11.7,%
BR,1,Brasil,2017,Total,60 anos ou mais,19.4,%
BR,1,Brasil,2017,Branca,15 anos ou mais,3.8,%
BR,1,Brasil,2017,Branca,18 anos ou mais,4.0,%
BR,1,Brasil,2017,Branca,25 anos ou mais,4.5,%
BR,1,Brasil,2017,Branca,40 anos ou mais,6.4,%
BR,1,Brasil,2017,Branca,60 anos ou mais,10.9,%
BR,1,Brasil,2017,Preta ou parda,15 anos ou mais,8.7,%
BR,1,Brasil,2017,Preta ou parda,18 anos ou mais,9.3,%
BR,1,Brasil,2017,Preta ou parda,25 anos ou mais,11.0,%
BR,1,Brasil,2017,Preta ou parda,40 anos ou mais,16.6,%
BR,1,Brasil,2017,Preta ou parda,60 anos ou mais,28.9,%
BR,1,Brasil,2018,Total,15 anos ou mais,6.3,%
BR,1,Brasil,2018,Total,18 anos ou mais,6.6,%
BR,1,Brasil,2018,Total,25 anos ou mais,7.7,%
BR,1,Brasil,2018,Total,40 anos ou mais,11.3,%
BR,1,Brasil,2018,Total,60 anos ou mais,18.8,%
BR,1,Brasil,2018,Branca,15 anos ou mais,3.6,%
BR,1,Brasil,2018,Branca,18 anos ou mais,3.8,%
BR,1,Brasil,2018,Branca,25 anos ou mais,4.3,%
BR,1,Brasil,2018,Branca,40 anos ou mais,6.0,%
BR,1,Brasil,2018,Branca,60 anos ou mais,10.4,%
BR,1,Brasil,2018,Preta ou parda,15 anos ou mais,8.4,%
BR,1,Brasil,2018,Preta ou parda,18 anos ou mais,8.9,%
BR,1,Brasil,2018,Preta ou parda,25 anos ou mais,10.6,%
BR,1,Brasil,2018,Preta ou parda,40 anos ou mais,16.0,%
BR,1,Brasil,2018,Preta ou parda,60 anos ou mais,27.6,%
BR,1,Brasil,2019,Total,15 anos ou mais,6.1,%
BR,1,Brasil,2019,Total,18 anos ou mais,6.4,%
BR,1,Brasil,2019,Total,25 anos ou mais,7.4,%
BR,1,Brasil,2019,Total,40 anos ou mais,10.8,%
BR,1,Brasil,2019,Total,60 anos ou mais,18.1,%
BR,1,Brasil,2019,Branca,15 anos ou mais,3.3,%
BR,1,Brasil,2019,Branca,18 anos ou mais,3.5,%
BR,1,Brasil,2019,Branca,25 anos ou mais,3.9,%
BR,1,Brasil,2019,Branca,40 anos ou mais,5.5,%
BR,1,Brasil,2019,Branca,60 anos ou mais,9.5,%
BR,1,Brasil,2019,Preta ou parda,15 anos ou mais,8.2,%
BR,1,Brasil,2019,Preta ou parda,18 anos ou mais,8.7,%
BR,1,Brasil,2019,Preta ou parda,25 anos ou mais,10.3,%
BR,1,Brasil,2019,Preta ou parda,40 anos ou mais,15.5,%
BR,1,Brasil,2019,Preta ou parda,60 anos ou mais,27.2,%
BR,1,Brasil,2022,Total,15 anos ou mais,5.6,%
BR,1,Brasil,2022,Total,18 anos ou mais,5.9,%
BR,1,Brasil,2022,Total,25 anos ou mais,6.8,%
BR,1,Brasil,2022,Total,40 anos ou mais,9.8,%
BR,1,Brasil,2022,Total,60 anos ou mais,16.0,%
BR,1,Brasil,2022,Branca,15 anos ou mais,3.4,%
BR,1,Brasil,2022,Branca,18 anos ou mais,3.6,%
BR,1,Brasil,2022,Branca,25 anos ou mais,4.0,%
BR,1,Brasil,2022,Branca,40 anos ou mais,5.6,%
BR,1,Brasil,2022,Branca,60 anos ou mais,9.3,%
BR,1,Brasil,2022,Preta ou parda,15 anos ou mais,7.4,%
BR,1,Brasil,2022,Preta ou parda,18 anos ou mais,7.8,%
