"Tabela 7126 - Número médio de anos de estudo das pessoas de 15 anos ou mais, por sexo e grupo de idade",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variável - Número médio de anos de estudo das pessoas de 15 anos ou mais de idade,,,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Sexo,Grupo de idade,,
BR,1,Brasil,2016,Homens,15 anos ou mais,9.1,%
BR,1,Brasil,2016,Homens,15 a 17 anos,8.7,%
BR,1,Brasil,2016,Homens,18 a 29 anos,10.6,%
BR,1,Brasil,2016,Homens,18 a 24 anos,10.8,%
BR,1,Brasil,2016,Homens,25 anos ou mais,8.9,%
BR,1,Brasil,2016,Homens,25 a 39 anos,10.5,%
BR,1,Brasil,2016,Homens,40 a 59 anos,8.5,%
BR,1,Brasil,2016,Homens,60 anos ou mais,6.1,%
BR,1,Brasil,2016,Mulheres,15 anos ou mais,9.5,%
BR,1,Brasil,2016,Mulheres,15 a 17 anos,9.3,%
BR,1,Brasil,2016,Mulheres,18 a 29 anos,11.4,%
BR,1,Brasil,2016,Mulheres,18 a 24 anos,11.5,%
BR,1,Brasil,2016,Mulheres,25 anos ou mais,9.2,%
BR,1,Brasil,2016,Mulheres,25 a 39 anos,11.3,%
BR,1,Brasil,2016,Mulheres,40 a 59 anos,9.1,%
BR,1,Brasil,2016,Mulheres,60 anos ou mais,5.9,%
BR,1,Brasil,2017,Homens,15 anos ou mais,9.3,%
BR,1,Brasil,2017,Homens,15 a 17 anos,8.8,%
BR,1,Brasil,2017,Homens,18 a 29 anos,10.8,%
BR,1,Brasil,2017,Homens,18 a 24 anos,10.9,%
BR,1,Brasil,2017,Homens,25 anos ou mais,9.1,%
BR,1,Brasil,2017,Homens,25 a 39 anos,10.7,%
BR,1,Brasil,2017,Homens,40 a 59 anos,8.7,%
BR,1,Brasil,2017,Homens,60 anos ou mais,6.4,%
BR,1,Brasil,2017,Mulheres,15 anos ou mais,9.7,%
BR,1,Brasil,2017,Mulheres,15 a 17 anos,9.3,%
BR,1,Brasil,2017,Mulheres,18 a 29 anos,11.4,%
BR,1,Brasil,2017,Mulheres,18 a 24 anos,11.6,%
BR,1,Brasil,2017,Mulheres,25 anos ou mais,9.4,%
BR,1,Brasil,2017,Mulheres,25 a 39 anos,11.5,%
BR,1,Brasil,2017,Mulheres,40 a 59 anos,9.3,%
BR,1,Brasil,2017,Mulheres,60 anos ou mais,6.2,%
BR,1,Brasil,2018,Homens,15 anos ou mais,9.4,%
BR,1,Brasil,2018,Homens,15 a 17 anos,8.8,%
BR,1,Brasil,2018,Homens,18 a 29 anos,10.9,%
BR,1,Brasil,2018,Homens,18 a 24 anos,11.0,%
BR,1,Brasil,2018,Homens,25 anos ou mais,9.2,%
BR,1,Brasil,2018,Homens,25 a 39 anos,10.9,%
BR,1,Brasil,2018,Homens,40 a 59 anos,8.8,%
BR,1,Brasil,2018,Homens,60 anos ou mais,6.5,%
BR,1,Brasil,2018,Mulheres,15 anos ou mais,9.9,%
BR,1,Brasil,2018,Mulheres,15 a 17 anos,9.4,%
BR,1,Brasil,2018,Mulheres,18 a 29 anos,11.6,%
BR,1,Brasil,2018,Mulheres,18 a 24 anos,11.8,%
BR,1,Brasil,2018,Mulheres,25 anos ou mais,9.6,%
BR,1,Brasil,2018,Mulheres,25 a 39 anos,11.6,%
BR,1,Brasil,2018,Mulheres,40 a 59 anos,9.5,%
BR,1,Brasil,2018,Mulheres,60 anos ou mais,6.3,%
BR,1,Brasil,2019,Homens,15 anos ou mais,9.6,%
BR,1,Brasil,2019,Homens,15 a 17 anos,8.9,%
BR,1,Brasil,2019,Homens,18 a 29 anos,11.1,%
BR,1,Brasil,2019,Homens,18 a 24 anos,11.2,%
BR,1,Brasil,2019,Homens,25 anos ou mais,9.3,%
BR,1,Brasil,2019,Homens,25 a 39 anos,11.0,%
BR,1,Brasil,2019,Homens,40 a 59 anos,9.0,%
BR,1,Brasil,2019,Homens,60 anos ou mais,6.7,%
BR,1,Brasil,2019,Mulheres,15 anos ou mais,10.0,%
BR,1,Brasil,2019,Mulheres,15 a 17 anos,9.4,%
BR,1,Brasil,2019,Mulheres,18 a 29 anos,11.7,%
BR,1,Brasil,2019,Mulheres,18 a 24 anos,11.9,%
BR,1,Brasil,2019,Mulheres,25 anos ou mais,9.7,%
BR,1,Brasil,2019,Mulheres,25 a 39 anos,11.8,%
BR,1,Brasil,2019,Mulheres,40 a 59 anos,9.7,%
BR,1,Brasil,2019,Mulheres,60 anos ou mais,6.5,%
BR,1,Brasil,2022,Homens,15 anos ou mais,9.9,%
BR,1,Brasil,2022,Homens,15 a 17 anos,9.1,%
BR,1,Brasil,2022,Homens,18 a 29 anos,11.3,%
BR,1,Brasil,2022,Homens,18 a 24 anos,11.4,%
BR,1,Brasil,2022,Homens,25 anos ou mais,9.6,%
BR,1,Brasil,2022,Homens,25 a 39 anos,11.3,%
BR,1,Brasil,2022,Homens,40 a 59 anos,9.4,%
BR,1,Brasil,2022,Homens,60 anos ou mais,7.1,%
BR,1,Brasil,2022,Mulheres,15 anos ou mais,10.3,%
BR,1,Brasil,2022,Mulheres,15 a 17 anos,9.5,%
BR,1,Brasil,2022,Mulheres,18 a 29 anos,11.8,%
BR,1,Brasil,2022,Mulheres,18 a 24 anos,12.0,%
BR,1,Brasil,2022,Mulheres,25 anos ou mais,10.1,%
BR,1,Brasil,2022,Mulheres,25 a 39 anos,12.1,%
BR,1,Brasil,2022,Mulheres,40 a 59 anos,10.1,%
BR,1,Brasil,2022,Mulheres,60 anos ou mais,7.0,%
BR,1,Brasil,2023,Homens,15 anos ou mais,9.9,%
BR,1,Brasil,2023,Homens,15 a 17 anos,9.1,%
BR,1,Brasil,2023,Homens,18 a 29 anos,11.4,%
BR,1,Brasil,2023,Homens,18 a 24 anos,11.5,%
BR,1,Brasil,2023,Homens,25 anos ou mais,9.7,%
BR,1,Brasil,2023,Homens,25 a 39 anos,11.5,%
BR,1,Brasil,2023,Homens,40 a 59 anos,9.5,%
BR,1,Brasil,2023,Homens,60 anos ou mais,7.1,%
BR,1,Brasil,2023,Mulheres,15 anos ou mais,10.3,%
BR,1,Brasil,2023,Mulheres,15 a 17 anos,9.4,%
BR,1,Brasil,2023,Mulheres,18 a 29 anos,11.9,%
BR,1,Brasil,2023,Mulheres,18 a 24 anos,12.1,%
BR,1,Brasil,2023,Mulheres,25 anos ou mais,10.1,%
BR,1,Brasil,2023,Mulheres,25 a 39 anos,12.2,%
BR,1,Brasil,2023,Mulheres,40 a 59 anos,10.2,%
BR,1,Brasil,2023,Mulheres,60 anos ou mais,7.1,%
BR,1,Brasil,2024,Homens,15 anos ou mais,10.0,%
BR,1,Brasil,2024,Homens,15 a 17 anos,9.2,%
BR,1,Brasil,2024,Homens,18 a 29 anos,11.4,%
BR,1,Brasil,2024,Homens,18 a 24 anos,11.6,%
BR,1,Brasil,2024,Homens,25 anos ou mais,9.9,%
BR,1,Brasil,2024,Homens,25 a 39 anos,11.6,%
BR,1,Brasil,2024,Homens,40 a 59 anos,9.7,%
BR,1,Brasil,2024,Homens,60 anos ou mais,7.4,%
BR,1,Brasil,2024,Mulheres,15 anos ou mais,10.4,%
BR,1,Brasil,2024,Mulheres,15 a 17 anos,9.4,%
BR,1,Brasil,2024,Mulheres,18 a 29 anos,11.9,%
BR,1,Brasil,2024,Mulheres,18 a 24 anos,12.2,%
BR,1,Brasil,2024,Mulheres,25 anos ou mais,10.3,%
BR,1,Brasil,2024,Mulheres,25 a 39 anos,12.3,%
BR,1,Brasil,2024,Mulheres,40 a 59 anos,10.5,%
BR,1,Brasil,2024,Mulheres,60 anos ou mais,7.3,%
GR,1,Norte,2016,Homens,15 anos ou mais,8.4,%
GR,1,Norte,2016,Homens,15 a 17 anos,8.2,%
GR,1,Norte,2016,Homens,18 a 29 anos,10.1,%
GR,1,Norte,2016,Homens,18 a 24 anos,10.1,%
GR,1,Norte,2016,Homens,25 anos ou mais,7.9,%
GR,1,Norte,2016,Homens,25 a 39 anos,9.4,%
GR,1,Norte,2016,Homens,40 a 59 anos,7.5,%
GR,1,Norte,2016,Homens,60 anos ou mais,4.5,%
GR,1,Norte,2016,Mulheres,15 anos ou mais,9.2,%
GR,1,Norte,2016,Mulheres,15 a 17 anos,8.9,%
GR,1,Norte,2016,Mulheres,18 a 29 anos,10.7,%
GR,1,Norte,2016,Mulheres,18 a 24 anos,10.7,%
GR,1,Norte,2016,Mulheres,25 anos ou mais,8.9,%
GR,1,Norte,2016,Mulheres,25 a 39 anos,10.5,%
GR,1,Norte,2016,Mulheres,40 a 59 anos,8.6,%
GR,1,Norte,2016,Mulheres,60 anos ou mais,4.7,%
GR,1,Norte,2017,Homens,15 anos ou mais,8.6,%
GR,1,Norte,2017,Homens,15 a 17 anos,8.3,%
GR,1,Norte,2017,Homens,18 a 29 anos,10.3,%
GR,1,Norte,2017,Homens,18 a 24 anos,10.3,%
GR,1,Norte,2017,Homens,25 anos ou mais,8.2,%
GR,1,Norte,2017,Homens,25 a 39 anos,9.8,%
GR,1,Norte,2017,Homens,40 a 59 anos,7.7,%
GR,1,Norte,2017,Homens,60 anos ou mais,4.9,%
GR,1,Norte,2017,Mulheres,15 anos ou mais,9.4,%
GR,1,Norte,2017,Mulheres,15 a 17 anos,9.0,%
GR,1,Norte,2017,Mulheres,18 a 29 anos,10.8,%
GR,1,Norte,2017,Mulheres,18 a 24 anos,11.0,%
GR,1,Norte,2017,Mulheres,25 anos ou mais,9.1,%
GR,1,Norte,2017,Mulheres,25 a 39 anos,10.9,%
GR,1,Norte,2017,Mulheres,40 a 59 anos,8.8,%
GR,1,Norte,2017,Mulheres,60 anos ou mais,5.2,%
GR,1,Norte,2018,Homens,15 anos ou mais,8.8,%
GR,1,Norte,2018,Homens,15 a 17 anos,8.5,%
GR,1,Norte,2018,Homens,18 a 29 anos,10.4,%
GR,1,Norte,2018,Homens,18 a 24 anos,10.4,%
GR,1,Norte,2018,Homens,25 anos ou mais,8.4,%
GR,1,Norte,2018,Homens,25 a 39 anos,10.1,%
GR,1,Norte,2018,Homens,40 a 59 anos,7.9,%
GR,1,Norte,2018,Homens,60 anos ou mais,5.1,%
GR,1,Norte,2018,Mulheres,15 anos ou mais,9.6,%
GR,1,Norte,2018,Mulheres,15 a 17 anos,8.9,%
GR,1,Norte,2018,Mulheres,18 a 29 anos,11.0,%
GR,1,Norte,2018,Mulheres,18 a 24 anos,11.1,%
GR,1,Norte,2018,Mulheres,25 anos ou mais,9.3,%
GR,1,Norte,2018,Mulheres,25 a 39 anos,11.0,%
GR,1,Norte,2018,Mulheres,40 a 59 anos,9.0,%
GR,1,Norte,2018,Mulheres,60 anos ou mais,5.4,%
GR,1,Norte,2019,Homens,15 anos ou mais,9.0,%
GR,1,Norte,2019,Homens,15 a 17 anos,8.5,%
GR,1,Norte,2019,Homens,18 a 29 anos,10.6,%
GR,1,Norte,2019,Homens,18 a 24 anos,10.6,%
GR,1,Norte,2019,Homens,25 anos ou mais,8.6,%
GR,1,Norte,2019,Homens,25 a 39 anos,10.2,%
GR,1,Norte,2019,Homens,40 a 59 anos,8.2,%
GR,1,Norte,2019,Homens,60 anos ou mais,5.4,%
GR,1,Norte,2019,Mulheres,15 anos ou mais,9.7,%
GR,1,Norte,2019,Mulheres,15 a 17 anos,9.0,%
GR,1,Norte,2019,Mulheres,18 a 29 anos,11.1,%
GR,1,Norte,2019,Mulheres,18 a 24 anos,11.2,%
GR,1,Norte,2019,Mulheres,25 anos ou mais,9.4,%
GR,1,Norte,2019,Mulheres,25 a 39 anos,11.1,%
GR,1,Norte,2019,Mulheres,40 a 59 anos,9.3,%
GR,1,Norte,2019,Mulheres,60 anos ou mais,5.6,%
GR,1,Norte,2022,Homens,15 anos ou mais,9.3,%
GR,1,Norte,2022,Homens,15 a 17 anos,8.8,%
GR,1,Norte,2022,Homens,18 a 29 anos,11.0,%
GR,1,Norte,2022,Homens,18 a 24 anos,11.0,%
GR,1,Norte,2022,Homens,25 anos ou mais,8.9,%
GR,1,Norte,2022,Homens,25 a 39 anos,10.7,%
GR,1,Norte,2022,Homens,40 a 59 anos,8.6,%
GR,1,Norte,2022,Homens,60 anos ou mais,5.5,%
GR,1,Norte,2022,Mulheres,15 anos ou mais,10.0,%
GR,1,Norte,2022,Mulheres,15 a 17 anos,9.2,%
GR,1,Norte,2022,Mulheres,18 a 29 anos,11.4,%
GR,1,Norte,2022,Mulheres,18 a 24 anos,11.5,%
GR,1,Norte,2022,Mulheres,25 anos ou mais,9.8,%
GR,1,Norte,2022,Mulheres,25 a 39 anos,11.5,%
GR,1,Norte,2022,Mulheres,40 a 59 anos,9.8,%
GR,1,Norte,2022,Mulheres,60 anos ou mais,6.1,%
GR,1,Norte,2023,Homens,15 anos ou mais,9.4,%
GR,1,Norte,2023,Homens,15 a 17 anos,8.8,%
GR,1,Norte,2023,Homens,18 a 29 anos,10.9,%
GR,1,Norte,2023,Homens,18 a 24 anos,11.0,%
GR,1,Norte,2023,Homens,25 anos ou mais,9.1,%
GR,1,Norte,2023,Homens,25 a 39 anos,10.8,%
GR,1,Norte,2023,Homens,40 a 59 anos,8.7,%
GR,1,Norte,2023,Homens,60 anos ou mais,5.7,%
