"Tabela 7127 - Número médio de anos de estudo das pessoas de 15 anos ou mais, por cor ou raça e grupo de idade",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variável - Número médio de anos de estudo das pessoas de 15 anos ou mais de idade,,,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Cor ou raça,Grupo de idade,,
BR,1,Brasil,2016,Branca,15 anos ou mais,10.3,Anos
BR,1,Brasil,2016,Branca,15 a 17 anos,9.4,Anos
BR,1,Brasil,2016,Branca,18 a 29 anos,11.7,Anos
BR,1,Brasil,2016,Branca,18 a 24 anos,11.9,Anos
BR,1,Brasil,2016,Branca,25 anos ou mais,10.1,Anos
BR,1,Brasil,2016,Branca,25 a 39 anos,12.0,Anos
BR,1,Brasil,2016,Branca,40 a 59 anos,10.0,Anos
BR,1,Brasil,2016,Branca,60 anos ou mais,7.2,Anos
BR,1,Brasil,2016,Preta ou parda,15 anos ou mais,8.6,Anos
BR,1,Brasil,2016,Preta ou parda,15 a 17 anos,8.8,Anos
BR,1,Brasil,2016,Preta ou parda,18 a 29 anos,10.5,Anos
BR,1,Brasil,2016,Preta ou parda,18 a 24 anos,10.5,Anos
BR,1,Brasil,2016,Preta ou parda,25 anos ou mais,8.1,Anos
BR,1,Brasil,2016,Preta ou parda,25 a 39 anos,10.0,Anos
BR,1,Brasil,2016,Preta ou parda,40 a 59 anos,7.7,Anos
BR,1,Brasil,2016,Preta ou parda,60 anos ou mais,4.5,Anos
BR,1,Brasil,2017,Branca,15 anos ou mais,10.4,Anos
BR,1,Brasil,2017,Branca,15 a 17 anos,9.5,Anos
BR,1,Brasil,2017,Branca,18 a 29 anos,11.7,Anos
BR,1,Brasil,2017,Branca,18 a 24 anos,12.0,Anos
BR,1,Brasil,2017,Branca,25 anos ou mais,10.3,Anos
BR,1,Brasil,2017,Branca,25 a 39 anos,12.1,Anos
BR,1,Brasil,2017,Branca,40 a 59 anos,10.2,Anos
BR,1,Brasil,2017,Branca,60 anos ou mais,7.5,Anos
BR,1,Brasil,2017,Preta ou parda,15 anos ou mais,8.8,Anos
BR,1,Brasil,2017,Preta ou parda,15 a 17 anos,8.8,Anos
BR,1,Brasil,2017,Preta ou parda,18 a 29 anos,10.7,Anos
BR,1,Brasil,2017,Preta ou parda,18 a 24 anos,10.7,Anos
BR,1,Brasil,2017,Preta ou parda,25 anos ou mais,8.4,Anos
BR,1,Brasil,2017,Preta ou parda,25 a 39 anos,10.3,Anos
BR,1,Brasil,2017,Preta ou parda,40 a 59 anos,8.0,Anos
BR,1,Brasil,2017,Preta ou parda,60 anos ou mais,4.9,Anos
BR,1,Brasil,2018,Branca,15 anos ou mais,10.6,Anos
BR,1,Brasil,2018,Branca,15 a 17 anos,9.4,Anos
BR,1,Brasil,2018,Branca,18 a 29 anos,11.9,Anos
BR,1,Brasil,2018,Branca,18 a 24 anos,12.1,Anos
BR,1,Brasil,2018,Branca,25 anos ou mais,10.4,Anos
BR,1,Brasil,2018,Branca,25 a 39 anos,12.3,Anos
BR,1,Brasil,2018,Branca,40 a 59 anos,10.4,Anos
BR,1,Brasil,2018,Branca,60 anos ou mais,7.7,Anos
BR,1,Brasil,2018,Preta ou parda,15 anos ou mais,8.9,Anos
