"Tabela 7128 - Pessoas de 14 anos ou mais de idade, por sexo e nível de instrução",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Variável,Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Sexo,Nível de instrução,,
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2016,Homens,Total,78678.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2016,Homens,Sem instrução,4661.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2016,Homens,Ensino fundamental incompleto ou equivalente,25689.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2016,Homens,Ensino fundamental completo ou equivalente,8585.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2016,Homens,Ensino médio incompleto ou equivalente,6488.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2016,Homens,Ensino médio completo ou equivalente,20989.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2016,Homens,Ensino superior incompleto ou equivalente,3701.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2016,Homens,Superior completo,8565.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2016,Mulheres,Total,83970.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2016,Mulheres,Sem instrução,4949.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2016,Mulheres,Ensino fundamental incompleto ou equivalente,24468.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2016,Mulheres,Ensino fundamental completo ou equivalente,8440.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2016,Mulheres,Ensino médio incompleto ou equivalente,6487.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2016,Mulheres,Ensino médio completo ou equivalente,23585.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2016,Mulheres,Ensino superior incompleto ou equivalente,4312.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2016,Mulheres,Superior completo,11730.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2017,Homens,Total,79585.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2017,Homens,Sem instrução,4271.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2017,Homens,Ensino fundamental incompleto ou equivalente,25810.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2017,Homens,Ensino fundamental completo ou equivalente,8148.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2017,Homens,Ensino médio incompleto ou equivalente,6975.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2017,Homens,Ensino médio completo ou equivalente,21645.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2017,Homens,Ensino superior incompleto ou equivalente,3925.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2017,Homens,Superior completo,8811.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2017,Mulheres,Total,84961.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2017,Mulheres,Sem instrução,4613.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2017,Mulheres,Ensino fundamental incompleto ou equivalente,24529.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2017,Mulheres,Ensino fundamental completo ou equivalente,7940.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2017,Mulheres,Ensino médio incompleto ou equivalente,6750.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2017,Mulheres,Ensino médio completo ou equivalente,24330.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2017,Mulheres,Ensino superior incompleto ou equivalente,4426.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2017,Mulheres,Superior completo,12372.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2018,Homens,Total,80450.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2018,Homens,Sem instrução,4143.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2018,Homens,Ensino fundamental incompleto ou equivalente,25574.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2018,Homens,Ensino fundamental completo ou equivalente,7880.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2018,Homens,Ensino médio incompleto ou equivalente,6929.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2018,Homens,Ensino médio completo ou equivalente,22081.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2018,Homens,Ensino superior incompleto ou equivalente,4342.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2018,Homens,Superior completo,9501.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2018,Mulheres,Total,85904.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2018,Mulheres,Sem instrução,4508.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2018,Mulheres,Ensino fundamental incompleto ou equivalente,24162.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2018,Mulheres,Ensino fundamental completo ou equivalente,7618.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2018,Mulheres,Ensino médio incompleto ou equivalente,6805.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2018,Mulheres,Ensino médio completo ou equivalente,24794.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2018,Mulheres,Ensino superior incompleto ou equivalente,4889.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2018,Mulheres,Superior completo,13128.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2019,Homens,Total,81299.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2019,Homens,Sem instrução,3941.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2019,Homens,Ensino fundamental incompleto ou equivalente,25007.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2019,Homens,Ensino fundamental completo ou equivalente,7801.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2019,Homens,Ensino médio incompleto ou equivalente,7034.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2019,Homens,Ensino médio completo ou equivalente,22917.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2019,Homens,Ensino superior incompleto ou equivalente,4487.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2019,Homens,Superior completo,10111.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2019,Mulheres,Total,86829.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2019,Mulheres,Sem instrução,4166.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2019,Mulheres,Ensino fundamental incompleto ou equivalente,23756.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2019,Mulheres,Ensino fundamental completo ou equivalente,7594.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2019,Mulheres,Ensino médio incompleto ou equivalente,6736.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2019,Mulheres,Ensino médio completo ou equivalente,25472.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2019,Mulheres,Ensino superior incompleto ou equivalente,4968.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2019,Mulheres,Superior completo,14137.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2022,Homens,Total,83655.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2022,Homens,Sem instrução,4133.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2022,Homens,Ensino fundamental incompleto ou equivalente,23179.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2022,Homens,Ensino fundamental completo ou equivalente,7639.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2022,Homens,Ensino médio incompleto ou equivalente,7394.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2022,Homens,Ensino médio completo ou equivalente,25436.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2022,Homens,Ensino superior incompleto ou equivalente,4314.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2022,Homens,Superior completo,11560.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2022,Mulheres,Total,89412.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2022,Mulheres,Sem instrução,4410.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2022,Mulheres,Ensino fundamental incompleto ou equivalente,22120.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2022,Mulheres,Ensino fundamental completo ou equivalente,7445.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2022,Mulheres,Ensino médio incompleto ou equivalente,7011.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2022,Mulheres,Ensino médio completo ou equivalente,27457.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2022,Mulheres,Ensino superior incompleto ou equivalente,4822.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2022,Mulheres,Superior completo,16147.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2023,Homens,Total,84387.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2023,Homens,Sem instrução,4274.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2023,Homens,Ensino fundamental incompleto ou equivalente,22510.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2023,Homens,Ensino fundamental completo ou equivalente,7500.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2023,Homens,Ensino médio incompleto ou equivalente,7337.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2023,Homens,Ensino médio completo ou equivalente,26264.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2023,Homens,Ensino superior incompleto ou equivalente,4394.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2023,Homens,Superior completo,12110.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2023,Mulheres,Total,90220.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2023,Mulheres,Sem instrução,4433.0,Mil pessoas
Pessoas de 14 anos ou mais de idade,BR,1,Brasil,2023,Mulheres,Ensino fundamental incompleto ou equivalente,21806.0,Mil pessoas
